"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","NO REGISTRADO","NULO"
"Tetepango","1303","BASICA","0","15","0","232","11","21","13","0","132","0","2","1","1","0","4"
"Tetepango","1303","CONTIGUA 1","0","31","0","257","5","9","8","0","108","0","0","0","0","0","12"
"Tetepango","1303","CONTIGUA 2","0","40","0","225","8","26","7","0","111","4","2","1","0","0","7"
"Tetepango","1304","BASICA","0","42","0","172","7","25","17","0","118","2","0","2","0","1","10"
"Tetepango","1304","CONTIGUA 1","0","55","0","185","7","26","21","0","110","4","0","1","1","0","8"
"Tetepango","1305","BASICA","0","62","0","147","6","55","16","0","96","4","0","1","0","0","12"
"Tetepango","1305","CONTIGUA 1","0","42","0","165","7","50","13","0","129","4","2","1","0","1","6"
"Tetepango","1306","BASICA","0","30","0","145","5","17","25","0","99","4","0","3","0","0","7"
"Tetepango","1306","CONTIGUA 1","0","45","0","146","8","22","27","0","89","1","1","4","0","0","9"
"Tetepango","1306","CONTIGUA 2","0","57","0","137","6","19","22","0","93","4","0","0","0","0","4"
"Tetepango","1307","BASICA","0","33","0","215","4","21","40","0","96","3","1","0","0","0","13"
"Tetepango","1307","CONTIGUA 1","0","29","0","259","6","18","31","0","75","3","4","0","0","0","8"
"Tetepango","1308","BASICA","0","26","0","208","2","16","31","0","136","2","0","1","0","5","15"
"Tetepango","1309","BASICA","0","22","0","320","2","24","17","0","88","2","0","0","0","0","4"
"Tetepango","1309","CONTIGUA 1","0","26","0","280","1","21","17","0","122","3","0","0","0","0","10"
