"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","JOSÉ LUIS MUÑOZ SOTO","NO REGISTRADO","NULO"
"Huasca De Ocampo","386","BASICA","130","129","132","3","1","2","6","11","1","1","0","0","0","9","0","5"
"Huasca De Ocampo","386","CONTIGUA 1","128","125","128","3","3","2","10","13","5","2","1","1","0","0","0","5"
"Huasca De Ocampo","387","BASICA","85","78","109","5","1","0","4","4","8","0","0","1","0","4","0","1"
"Huasca De Ocampo","387","CONTIGUA 1","79","95","95","5","4","0","3","3","11","0","0","0","0","4","0","3"
"Huasca De Ocampo","388","BASICA","27","46","131","1","0","3","1","2","1","0","0","0","0","2","0","3"
"Huasca De Ocampo","389","BASICA","18","50","69","2","0","0","2","0","1","0","0","0","0","4","0","3"
"Huasca De Ocampo","390","BASICA","48","41","30","4","0","1","0","1","1","1","0","1","0","2","0","2"
"Huasca De Ocampo","391","BASICA","205","52","106","3","0","1","3","9","2","0","0","0","0","9","0","10"
"Huasca De Ocampo","392","BASICA","106","127","178","3","0","0","10","1","3","2","0","0","0","0","0","9"
"Huasca De Ocampo","392","CONTIGUA 1","117","122","114","2","1","1","5","9","3","0","0","0","0","7","0","13"
"Huasca De Ocampo","393","BASICA","77","75","83","7","0","1","0","4","3","0","0","0","0","3","0","6"
"Huasca De Ocampo","394","BASICA","73","72","36","1","1","0","0","3","1","0","0","0","0","7","0","4"
"Huasca De Ocampo","395","BASICA","30","89","182","4","1","0","0","20","0","1","0","0","0","1","0","5"
"Huasca De Ocampo","395","CONTIGUA 1","55","75","193","3","1","0","3","14","0","0","1","2","0","0","0","7"
"Huasca De Ocampo","396","BASICA","85","132","175","0","3","0","6","5","3","3","0","0","0","12","0","10"
"Huasca De Ocampo","397","BASICA","129","85","56","2","1","1","1","4","9","2","0","0","0","7","0","7"
"Huasca De Ocampo","397","CONTIGUA 1","119","72","78","2","1","1","4","2","4","0","0","1","0","19","0","2"
"Huasca De Ocampo","398","BASICA","143","82","53","2","2","0","4","4","5","0","0","0","0","2","0","8"
"Huasca De Ocampo","398","CONTIGUA 1","133","80","41","2","2","1","3","10","9","2","1","0","0","10","0","14"
"Huasca De Ocampo","399","BASICA","119","85","116","1","3","0","7","12","6","1","0","0","0","12","0","9"
"Huasca De Ocampo","399","CONTIGUA 1","127","82","139","3","0","0","3","0","13","3","0","0","0","15","0","8"
"Huasca De Ocampo","400","BASICA","132","66","169","4","1","2","1","11","2","1","1","0","0","5","0","7"
"Huasca De Ocampo","400","CONTIGUA 1","100","42","214","1","0","0","0","4","1","0","0","0","0","5","0","8"
"Huasca De Ocampo","400","CONTIGUA 2","103","38","185","8","1","0","5","3","1","0","0","0","0","8","0","5"
"Huasca De Ocampo","401","BASICA","59","51","103","2","0","1","3","5","6","2","0","2","0","4","0","6"
"Huasca De Ocampo","402","BASICA","52","80","99","2","2","0","6","3","4","2","0","1","0","11","0","4"
"Huasca De Ocampo","403","BASICA","167","129","114","2","1","2","0","3","2","1","0","0","0","6","0","4"
"Huasca De Ocampo","404","BASICA","25","77","61","2","1","2","3","3","2","2","0","3","0","6","0","3"
