"Municipio","NO. CASILLA","TIPO DE CASILLA","Partido Acción Nacional","Partido Revolucionario Institutcional","Partido de la Revolcuión Democrática","Partido del Trabajo","Partido Verde","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","C.N.R","VOTOS NULOS"
"La misión","646","BÁSICA","0","173","185",NA,NA,NA,"0",NA,"0","0","7"
"La misión","646","CONTIGUA 1","0","169","195","0","0","0","1","0","0","0","3"
"La misión","647","BÁSICA","0","268","269","0","0","0","1","0","0","0","20"
"La misión","648","BÁSICA","0","185","164","0","0","0","0","0","2","0","11"
"La misión","649","BÁSICA","0","242","260","0","0","0","2","0","5","0","4"
"La misión","650","BASICA","0","151","315","0","0","0","0","0","0","0","9"
"La misión","650","CONTIGUA 1","0","184","282","0","0","0","3","0","1","0","10"
"La misión","651","BASICA","0","82","195","0","0","0","2","0","0","0","7"
"La misión","652","BASICA","0","78","153","0","0","0","4","0","1","0","12"
"La misión","653","BÁSICA","0","115","235","0","0","0","1","0","1","0","15"
"La misión","654","BASICA","0","144","188","0","0","0","3","0","0","0","14"
"La misión","654","CONTIGUA 1","0","109","203","0","0","0","0","0","1","0","4"
"La misión","655","BASICA","0","38","212","0","0","0","0","0","0","0","4"
"La misión","655","EXTRAORDINARIA 1","0","49","244","0","0","0","0","0","0","0","4"
"La misión","655","EXTRAORDINARIA 1 CONTIGUA 1","0","32","280","0","0","0","2","0","0","0","6"
"La misión","656","BASICA","0","98","168","0","0","0","3","0","0","0","8"
