"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","HUMBERTO ENDONIO SALINAS","JOSÉ LUIS ARROYAVE HERNÁNDEZ","NO REGISTRADO","NULO"
"Huichapan","510","BASICA","76","100","5","0","35","0","24","12","2","98","47","0","9"
"Huichapan","510","CONTIGUA 1","96","91","3","0","41","0","18","18","2","98","38","0","10"
"Huichapan","510","CONTIGUA 2","67","88","11","0","46","0","13","14","1","106","52","0","4"
"Huichapan","511","BASICA","38","52","1","0","30","0","8","24","3","140","23","0","5"
"Huichapan","511","CONTIGUA 1","32","104","5","0","22","0","10","12","1","131","38","0","6"
"Huichapan","511","CONTIGUA 2","48","80","3","0","19","0","15","18","4","118","29","2","12"
"Huichapan","511","ESPECIAL 1","8","9","1","0","5","0","3","4","1","14","4","0","0"
"Huichapan","512","BASICA","40","106","2","0","27","0","16","11","1","131","44","0","11"
"Huichapan","512","CONTIGUA 1","51","111","2","0","20","0","8","15","1","120","57","0","6"
"Huichapan","513","BASICA","53","110","2","0","31","0","9","24","6","65","60","0","7"
"Huichapan","513","CONTIGUA 1","62","128","8","0","43","0","5","17","6","62","42","0","4"
"Huichapan","513","CONTIGUA 2","48","138","1","0","41","0","7","19","4","91","44","0","8"
"Huichapan","514","BASICA","22","45","4","0","34","0","9","2","3","23","70","0","19"
"Huichapan","515","BASICA","9","43","0","0","10","0","4","4","1","15","61","0","7"
"Huichapan","516","BASICA","16","68","3","0","61","0","5","4","0","36","10","0","7"
"Huichapan","517","BASICA","40","74","3","0","21","0","9","7","1","38","64","0","8"
"Huichapan","517","CONTIGUA 1","23","68","7","0","27","0","5","10","1","27","90","0","11"
"Huichapan","518","BASICA","76","95","3","0","64","0","10","6","1","36","19","0","13"
"Huichapan","518","CONTIGUA 1","53","99","5","0","78","0","6","9","1","31","17","0","8"
"Huichapan","519","BASICA","80","109","9","0","48","0","30","4","2","166","14","0","16"
