"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","HEBLEN ANGELES HERNÁNDEZ","NO REGISTRADO","NULO"
"Santiago de Anaya","1091","BASICA","6","113","3","0","9","0","40","14","2","214","0","0"
"Santiago de Anaya","1091","CONTIGUA 1","3","120","2","0","6","2","50","10","3","221","0","0"
"Santiago de Anaya","1091","CONTIGUA 2","2","109","3","0","3","3","51","8","3","236","0","0"
"Santiago de Anaya","1092","BASICA","1","31","0","0","1","0","30","1","1","26","0","0"
"Santiago de Anaya","1093","BASICA","1","24","0","0","4","0","5","2","1","31","0","0"
"Santiago de Anaya","1094","BASICA","0","35","9","0","0","0","10","1","1","107","0","0"
"Santiago de Anaya","1095","BASICA","2","47","1","0","3","0","21","0","1","26","0","0"
"Santiago de Anaya","1096","BASICA","2","53","5","0","3","6","17","2","2","223","0","0"
"Santiago de Anaya","1096","CONTIGUA 1","2","55","0","0","1","2","27","6","1","126","0","0"
"Santiago de Anaya","1097","BASICA","4","71","3","0","7","4","89","5","1","68","0","0"
"Santiago de Anaya","1098","BASICA","6","128","3","0","1","7","102","1","6","38","0","0"
"Santiago de Anaya","1099","BASICA","27","130","0","0","5","2","178","10","1","28","0","0"
"Santiago de Anaya","1099","CONTIGUA 1","20","90","25","0","6","1","205","10","3","26","0","0"
"Santiago de Anaya","1099","CONTIGUA 2","25","99","19","0","0","2","201","3","0","27","0","0"
"Santiago de Anaya","1100","BASICA","14","203","28","0","5","6","103","17","1","72","0","0"
"Santiago de Anaya","1100","CONTIGUA 1","15","169","5","0","7","25","88","26","1","25","0","0"
"Santiago de Anaya","1101","BASICA","14","203","28","0","5","6","103","18","1","72","0","0"
"Santiago de Anaya","1102","BASICA","3","59","7","0","0","0","11","9","1","185","0","0"
"Santiago de Anaya","1103","BASICA","3","103","7","0","5","2","15","3","2","57","0","0"
"Santiago de Anaya","1104","BASICA","0","77","1","0","3","0","21","6","0","33","0","0"
"Santiago de Anaya","1105","BASICA","3","89","7","0","1","1","32","5","2","117","0","0"
"Santiago de Anaya","1105","CONTIGUA 1","7","64","9","0","3","7","25","8","2","111","0","0"
"Santiago de Anaya","1106","BASICA","0","124","6","0","3","5","56","18","6","129","0","0"
"Santiago de Anaya","1107","BASICA","8","199","4","0","1","1","36","21","0","95","0","0"
"Santiago de Anaya","1108","BASICA","10","104","7","0","1","2","99","12","0","99","0","0"
"Santiago de Anaya","1109","BASICA","2","164","3","0","3","2","30","63","0","116","0","0"
"Santiago de Anaya","1109","CONTIGUA 1","6","186","2","0","0","5","21","30","5","120","0","0"
