"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","ADÁN RÍOS ESTRADA","JAVIER GÓMEZ PICHARDO","NO REGISTRADO","NULO"
"Atitalaquia","152","BASICA","197","87","11","4","3","4","4","23","0","0","1","0","1","11","42","0","12"
"Atitalaquia","152","CONTIGUA 1","216","80","9","3","2","3","4","28","0","1","0","0","0","9","33","0","8"
"Atitalaquia","152","CONTIGUA 2","206","92","5","2","6","13","3","25","0","0","0","0","0","10","33","0","11"
"Atitalaquia","153","BASICA","164","112","7","2","3","6","7","33","0","2","1","1","0","11","35","0","3"
"Atitalaquia","153","CONTIGUA 1","164","109","11","2","6","9","9","25","0","0","0","0","0","14","36","0","7"
"Atitalaquia","153","CONTIGUA 2","167","90","5","7","6","6","6","18","0","4","0","0","0","22","63","0","7"
"Atitalaquia","153","CONTIGUA 3","202","113","7","5","2","3","6","32","0","1","0","0","0","13","22","0","9"
"Atitalaquia","154","BASICA","120","71","106","8","2","8","3","21","0","0","0","0","0","18","43","1","4"
"Atitalaquia","154","CONTIGUA 1","135","119","70","5","4","5","5","6","0","2","0","1","0","18","21","0","3"
"Atitalaquia","154","CONTIGUA 2","142","78","99","10","0","8","4","12","0","1","1","1","0","23","18","0","7"
"Atitalaquia","155","BASICA","125","74","43","3","2","17","5","36","0","0","0","0","2","43","6","0","7"
"Atitalaquia","155","CONTIGUA 1","110","79","44","3","0","7","5","47","0","0","0","0","0","31","15","0","6"
"Atitalaquia","155","CONTIGUA 2","99","82","32","2","0","5","3","40","0","1","0","0","0","60","15","0","7"
"Atitalaquia","156","BASICA","163","119","12","2","1","7","3","30","0","1","0","1","0","31","14","0","6"
"Atitalaquia","156","CONTIGUA 1","169","102","13","4","3","8","7","27","0","2","1","0","0","35","24","0","3"
"Atitalaquia","156","CONTIGUA 2","158","127","13","8","2","8","17","21","0","0","1","0","0","29","14","0","11"
"Atitalaquia","157","BASICA","129","84","27","3","2","10","3","60","0","0","0","1","0","17","23","0","7"
"Atitalaquia","157","CONTIGUA 1","123","83","16","3","2","9","2","53","0","1","0","0","0","8","26","1","3"
"Atitalaquia","157","CONTIGUA 2","155","94","15","5","2","6","5","53","0","0","0","0","0","8","32","0","7"
"Atitalaquia","157","CONTIGUA 3","139","84","21","5","1","7","5","66","0","1","1","0","0","10","27","0","7"
"Atitalaquia","157","CONTIGUA 4","124","80","19","7","5","15","4","48","0","1","0","0","0","4","23","0","11"
"Atitalaquia","158","BASICA","151","144","15","1","1","6","5","17","0","2","0","0","1","6","1","0","4"
"Atitalaquia","158","CONTIGUA 1","126","148","19","1","2","10","6","18","0","3","0","2","0","4","6","0","4"
"Atitalaquia","158","CONTIGUA 2","143","108","14","2","5","12","3","31","0","0","0","0","0","11","8","0","11"
"Atitalaquia","158","CONTIGUA 3","165","145","15","0","0","5","0","23","0","0","0","0","0","20","7","0","4"
"Atitalaquia","159","BASICA","39","83","7","3","2","8","2","42","0","2","1","0","0","0","27","1","7"
"Atitalaquia","159","CONTIGUA 1","33","75","7","6","0","8","2","53","0","1","1","0","0","1","34","0","7"
"Atitalaquia","160","BASICA","31","60","6","3","2","7","1","39","0","0","0","0","0","11","29","0","8"
"Atitalaquia","160","CONTIGUA 1","32","66","7","7","4","5","3","41","0","0","0","0","0","2","31","0","9"
"Atitalaquia","161","BASICA","114","68","12","7","0","11","7","70","0","2","0","1","0","29","7","0","7"
"Atitalaquia","161","CONTIGUA 1","91","60","13","9","3","28","13","69","0","0","0","0","0","44","2","0","6"
"Atitalaquia","161","CONTIGUA 2","86","62","8","8","3","22","8","74","0","1","0","0","0","30","7","0","10"
"Atitalaquia","161","CONTIGUA 3","95","97","14","8","1","19","13","62","0","1","0","0","0","52","3","0","7"
