"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","FERNANDO CERÓN SOSA","NO REGISTRADO","NULO"
"Emiliano Zapata","350","BASICA","40","105","0","0","0","149","4","9","2","0","0","0","0","22","0","5"
"Emiliano Zapata","350","CONTIGUA 1","34","76","0","0","0","169","1","7","0","0","0","0","0","11","0","6"
"Emiliano Zapata","351","BASICA","43","103","0","0","1","139","9","10","3","1","1","0","0","13","0","9"
"Emiliano Zapata","351","CONTIGUA 1","29","114","0","0","2","131","2","14","5","2","0","0","0","27","0","7"
"Emiliano Zapata","351","CONTIGUA 2","44","101","0","0","0","143","4","9","3","0","0","0","0","35","0","3"
"Emiliano Zapata","352","BASICA","47","64","0","0","6","175","2","10","1","2","1","0","0","27","0","7"
"Emiliano Zapata","352","CONTIGUA 1","40","84","0","0","3","152","1","17","2","0","1","0","0","11","0","8"
"Emiliano Zapata","352","CONTIGUA 2","57","75","0","0","4","144","3","22","5","0","0","0","0","30","0","0"
"Emiliano Zapata","353","BASICA","48","125","0","0","2","252","4","25","3","1","1","0","0","16","0","13"
"Emiliano Zapata","353","CONTIGUA 1","52","99","0","0","2","256","4","26","4","0","2","0","0","7","0","4"
"Emiliano Zapata","354","BASICA","77","119","0","0","4","220","6","12","1","0","0","0","0","0","0","14"
"Emiliano Zapata","354","CONTIGUA 1","82","97","0","0","6","195","3","20","7","1","0","0","0","14","1","9"
"Emiliano Zapata","355","BASICA","40","77","0","0","4","298","0","5","5","0","5","1","5","8","0","13"
"Emiliano Zapata","355","CONTIGUA 1","48","81","0","0","2","302","3","7","5","0","3","0","0","0","1","12"
"Emiliano Zapata","356","BASICA","37","77","0","0","1","221","4","4","4","2","0","0","0","9","0","8"
"Emiliano Zapata","356","CONTIGUA 1","32","93","0","0","3","215","2","6","5","2","0","0","0","6","0","8"
"Emiliano Zapata","357","BASICA","49","113","0","0","1","212","3","7","10","2","0","0","0","10","0","4"
"Emiliano Zapata","357","CONTIGUA 1","63","96","0","0","1","239","3","8","5","2","3","0","0","9","0","8"
