"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","MARCO ANTONIO OLVERA JIMÉNEZ","NO REGISTRADO","NULO"
"San Agustín Tlaxiaca","1008","BASICA","28","213","10","5","5","7","8","34","150","3","0","0","0","9","0","7"
"San Agustín Tlaxiaca","1008","CONTIGUA 1","37","172","10","4","3","8","9","26","203","1","0","0","0","17","0","22"
"San Agustín Tlaxiaca","1008","CONTIGUA 2","22","186","15","2","1","4","4","34","149","3","1","0","1","30","0","12"
"San Agustín Tlaxiaca","1009","BASICA","28","124","11","4","3","12","1","14","119","1","0","0","0","13","0","10"
"San Agustín Tlaxiaca","1009","CONTIGUA 1","21","153","8","4","1","7","3","8","151","0","0","0","0","18","1","9"
"San Agustín Tlaxiaca","1009","CONTIGUA 2","34","115","20","3","4","9","3","24","100","1","1","1","0","21","0","6"
"San Agustín Tlaxiaca","1010","BASICA","32","148","17","0","1","3","5","9","161","2","0","1","0","13","0","5"
"San Agustín Tlaxiaca","1010","CONTIGUA 1","24","136","7","2","5","2","7","15","176","0","1","0","0","19","0","12"
"San Agustín Tlaxiaca","1010","CONTIGUA 2","33","148","13","2","2","2","4","3","138","2","0","0","0","17","0","14"
"San Agustín Tlaxiaca","1010","CONTIGUA 3","33","132","7","2","6","1","6","17","160","1","0","0","0","16","0","10"
"San Agustín Tlaxiaca","1011","BASICA","37","198","14","5","0","6","11","10","168","2","0","0","0","9","0","11"
"San Agustín Tlaxiaca","1011","CONTIGUA 1","22","193","3","8","2","7","1","8","217","1","1","0","0","4","0","4"
"San Agustín Tlaxiaca","1011","CONTIGUA 2","26","179","8","8","3","5","6","13","183","1","1","0","0","10","0","12"
"San Agustín Tlaxiaca","1012","BASICA","41","124","2","5","0","5","10","10","167","1","0","0","0","23","0","13"
"San Agustín Tlaxiaca","1013","BASICA","29","112","16","1","4","2","13","27","165","0","0","1","0","11","0","5"
"San Agustín Tlaxiaca","1013","CONTIGUA 1","29","137","13","3","2","4","10","17","144","0","0","0","0","9","0","8"
"San Agustín Tlaxiaca","1013","CONTIGUA 2","28","126","23","2","6","2","13","12","122","0","0","0","0","10","1","13"
"San Agustín Tlaxiaca","1014","BASICA","73","100","10","1","0","7","4","7","112","0","0","0","0","9","0","11"
"San Agustín Tlaxiaca","1014","CONTIGUA 1","59","116","8","3","2","6","5","3","82","0","0","0","0","24","0","4"
"San Agustín Tlaxiaca","1014","CONTIGUA 2","54","90","10","5","2","11","0","12","84","0","0","0","0","16","1","5"
"San Agustín Tlaxiaca","1015","BASICA","88","80","7","2","2","9","3","17","101","0","1","0","0","6","0","5"
"San Agustín Tlaxiaca","1015","CONTIGUA 1","73","92","11","3","3","4","5","9","110","0","0","0","6","6","0","9"
"San Agustín Tlaxiaca","1015","CONTIGUA 2","66","120","9","4","2","6","4","6","63","0","0","0","0","9","0","13"
"San Agustín Tlaxiaca","1016","BASICA","72","90","17","4","5","8","9","9","79","0","0","0","0","6","0","16"
"San Agustín Tlaxiaca","1016","CONTIGUA 1","84","83","16","1","7","6","10","13","89","0","0","1","0","5","0","6"
"San Agustín Tlaxiaca","1016","CONTIGUA 2","83","66","6","1","3","7","6","12","87","0","0","2","0","6","0","8"
"San Agustín Tlaxiaca","1016","CONTIGUA 3","79","75","9","1","4","10","7","16","91","0","1","0","0","5","0","10"
"San Agustín Tlaxiaca","1017","BASICA","36","69","12","2","0","1","5","6","103","0","0","0","0","8","0","4"
"San Agustín Tlaxiaca","1017","CONTIGUA 1","54","72","8","1","6","6","2","11","78","0","0","0","0","11","0","5"
"San Agustín Tlaxiaca","1018","BASICA","7","57","0","5","4","2","6","10","51","0","0","0","0","14","0","9"
"San Agustín Tlaxiaca","1019","BASICA","11","133","3","1","3","2","4","5","104","0","0","1","0","4","0","5"
"San Agustín Tlaxiaca","1020","BASICA","41","218","17","6","7","1","9","7","139","0","1","1","0","5","4","4"
"San Agustín Tlaxiaca","1020","CONTIGUA 1","28","213","20","2","4","3","2","20","135","0","0","0","0","7","0","11"
"San Agustín Tlaxiaca","1021","BASICA","24","146","27","3","8","1","7","14","111","0","1","1","0","5","0","9"
"San Agustín Tlaxiaca","1021","CONTIGUA 1","20","139","22","5","15","9","1","12","122","0","0","0","0","15","0","13"
"San Agustín Tlaxiaca","1022","BASICA","54","186","7","5","1","3","5","10","184","0","0","1","0","6","0","14"
"San Agustín Tlaxiaca","1023","BASICA","5","25","0","0","1","1","3","6","42","0","0","0","0","15","0","1"
"San Agustín Tlaxiaca","1023","EXTRAORDINARIA 1","28","109","99","4","6","3","9","14","23","1","2","1","0","2","0","2"
"San Agustín Tlaxiaca","1024","BASICA","4","99","25","1","3","2","1","35","33","0","0","0","0","4","0","8"
"San Agustín Tlaxiaca","1025","BASICA","19","99","49","1","1","2","3","15","60","0","0","0","0","3","0","5"
