"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","JULIO RAMÓN MENCHACA SALAZAR","NO REGISTRADO","NULO"
"Pachuca de Soto","742","BASICA","96","44","13","1","3","31","8","21","4","0","0","0","0","16","0","15"
"Pachuca de Soto","742","CONTIGUA 1","75","60","17","1","8","35","4","21","5","0","0","0","0","0","0","9"
"Pachuca de Soto","832","BASICA","57","54","11","5","3","35","2","21","1","0","1","0","0","0","9","12"
"Pachuca de Soto","832","CONTIGUA 1","71","49","12","6","2","19","10","21","6","0","1","0","0","14","1","11"
"Pachuca de Soto","833","BASICA","80","64","9","4","3","30","6","21","5","0","0","0","0","4","0","5"
"Pachuca de Soto","833","CONTIGUA 1","74","72","8","2","9","43","3","23","0","0","0","0","0","19","0","8"
"Pachuca de Soto","834","BASICA","74","64","6","7","0","29","2","22","4","0","1","0","0","12","0","7"
"Pachuca de Soto","835","BASICA","110","70","13","3","5","22","4","27","5","79","75","74","9","29","0","10"
"Pachuca de Soto","836","BASICA","95","86","17","5","5","16","11","23","5","0","0","0","0","13","0","8"
"Pachuca de Soto","837","BASICA","77","49","4","6","3","19","9","22","2","0","0","0","0","0","0","6"
"Pachuca de Soto","837","CONTIGUA 1","70","46","5","10","2","13","9","17","1","0","1","0","1","7","0","7"
"Pachuca de Soto","838","BASICA","86","38","5","0","1","15","3","17","3","0","0","0","0","10","0","5"
"Pachuca de Soto","839","BASICA","106","86","6","3","3","37","5","19","5","5","0","0","0","17","0","11"
"Pachuca de Soto","840","BASICA","77","46","13","1","2","35","2","20","4","0","1","0","0","11","0","8"
"Pachuca de Soto","840","CONTIGUA 1","94","98","4","4","5","24","2","9","9","0","0","1","0","19","0","9"
"Pachuca de Soto","841","BASICA","103","78","4","7","3","32","7","22","9","0","0","0","0","15","0","3"
"Pachuca de Soto","842","BASICA","131","69","11","7","7","53","8","15","8","0","0","0","0","40","2","6"
"Pachuca de Soto","843","BASICA","95","71","6","2","1","14","4","9","0","76","72","75","5","18","0","6"
"Pachuca de Soto","843","CONTIGUA 1","109","52","4","5","3","10","2","16","3","0","0","0","0","0","0","5"
"Pachuca de Soto","844","BASICA","78","80","6","3","4","10","6","34","1","0","1","0","0","7","0","5"
"Pachuca de Soto","844","CONTIGUA 1","72","77","6","2","3","14","5","27","3","0","1","0","0","14","0","1"
"Pachuca de Soto","845","BASICA","62","61","8","3","1","34","3","12","3","1","1","0","0","21","0","8"
"Pachuca de Soto","846","BASICA","107","61","12","4","3","76","5","21","10","0","0","0","0","37","0","10"
"Pachuca de Soto","847","BASICA","71","62","8","8","3","18","6","15","0","0","0","0","0","23","0","4"
"Pachuca de Soto","847","CONTIGUA 1","56","64","10","7","0","22","3","15","5","0","0","0","0","0","0","2"
"Pachuca de Soto","848","BASICA","106","54","5","4","5","14","13","13","13","0","0","0","0","15","0","15"
"Pachuca de Soto","848","CONTIGUA 1","100","60","19","4","0","27","6","19","5","0","0","0","0","15","0","5"
"Pachuca de Soto","848","CONTIGUA 2","122","93","7","2","1","35","3","30","5","0","0","0","0","0","0","13"
"Pachuca de Soto","849","BASICA","110","82","10","5","7","41","7","19","5","0","0","0","0","18","0","9"
"Pachuca de Soto","850","BASICA","141","101","7","2","1","112","3","18","5","0","1","0","0","50","0","11"
"Pachuca de Soto","850","CONTIGUA 1","156","95","5","2","3","100","6","25","10","0","0","0","0","55","0","10"
"Pachuca de Soto","851","BASICA","160","124","4","0","2","70","4","15","2","0","0","0","48","0","0","13"
"Pachuca de Soto","851","CONTIGUA 1","173","92","3","0","3","82","9","23","3","0","0","0","0","45","0","8"
"Pachuca de Soto","852","BASICA","73","90","16","3","9","40","9","26","4","1","3","0","0","22","0","9"
"Pachuca de Soto","852","CONTIGUA 1","78","88","16","4","6","32","9","18","4","0","0","0","0","14","0","11"
"Pachuca de Soto","852","CONTIGUA 10","111","95","16","3","4","30","9","24","7","0","0","1","0","19","0","12"
"Pachuca de Soto","852","CONTIGUA 11","73","87","12","6","5","35","7","20","6","0","2","0","0","0","0","11"
"Pachuca de Soto","852","CONTIGUA 12","101","69","25","1","4","19","9","25","0","0","0","0","0","28","0","11"
"Pachuca de Soto","852","CONTIGUA 2","82","100","15","3","6","35","12","29","3","1","2","0","20","0","0","8"
"Pachuca de Soto","852","CONTIGUA 3","88","83","19","4","6","33","5","18","7","0","0","0","0","15","0","4"
