"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","ARMANDO SALOMÓN CAMARGO","NO REGISTRADO","NULO"
"Actopan","34","BASICA","1","61","9","2","1","24","8","14","181","0","0","0","0","8","0","9"
"Actopan","34","CONTIGUA 1","3","63","15","2","0","15","13","20","198","0","0","0","0","7","0","9"
"Actopan","34","CONTIGUA 2","5","83","22","8","3","23","4","14","205","6","0","0","0","13","0","6"
"Actopan","34","CONTIGUA 3","1","46","16","2","2","25","14","15","220","2","1","0","1","7","0","9"
"Actopan","34","CONTIGUA 4","4","75","23","1","2","20","6","15","193","3","0","1","0","5","0","9"
"Actopan","34","CONTIGUA 5","3","73","9","6","3","25","23","18","165","0","0","2","0","8","0","6"
"Actopan","35","BASICA","6","73","29","5","2","14","7","15","195","0","0","1","0","5","0","15"
"Actopan","35","CONTIGUA 1","5","80","19","4","5","42","9","11","227","1","0","0","0","2","0","7"
"Actopan","35","CONTIGUA 2","3","74","18","2","5","23","9","13","193","0","0","1","0","2","0","7"
"Actopan","36","BASICA","10","74","15","2","4","28","4","19","155","0","0","0","0","3","0","12"
"Actopan","36","CONTIGUA 1","5","46","24","2","1","26","2","20","184","0","2","0","0","4","0","9"
"Actopan","37","BASICA","5","63","22","4","2","28","14","12","200","0","0","1","0","3","1","4"
"Actopan","37","CONTIGUA 1","6","72","16","4","2","29","7","17","201","0","0","0","0","3","0","10"
"Actopan","37","CONTIGUA 2","10","43","14","6","2","21","7","20","204","1","0","1","0","8","0","8"
"Actopan","38","BASICA","4","92","12","3","3","40","3","29","172","0","0","0","0","6","0","15"
"Actopan","38","CONTIGUA 1","2","81","16","1","0","47","6","29","208","1","0","0","0","4","0","8"
"Actopan","39","BASICA","8","81","21","1","0","25","7","17","164","2","0","0","0","3","0","3"
"Actopan","39","CONTIGUA 1","15","81","19","3","2","16","7","23","152","0","0","0","0","7","0","7"
"Actopan","39","CONTIGUA 2","10","91","14","3","2","12","8","24","181","2","0","0","0","4","0","6"
"Actopan","40","BASICA","5","85","25","0","0","26","7","23","185","0","0","0","0","4","0","4"
"Actopan","40","CONTIGUA 1","6","70","29","0","1","43","7","31","189","0","1","1","1","7","0","5"
"Actopan","40","CONTIGUA 2","9","94","21","3","2","20","16","26","188","0","1","0","0","5","0","10"
"Actopan","41","BASICA","7","71","22","7","2","25","7","17","191","0","0","0","0","11","0","8"
"Actopan","41","CONTIGUA 1","8","58","35","1","6","35","5","25","184","0","0","0","0","3","0","12"
"Actopan","42","BASICA","9","92","11","7","5","8","3","19","143","0","0","0","0","3","0","10"
"Actopan","42","CONTIGUA 1","9","92","11","7","5","8","3","19","144","0","0","0","0","3","0","9"
"Actopan","43","BASICA","4","82","12","5","1","29","9","26","203","0","0","0","0","6","0","8"
"Actopan","43","CONTIGUA 1","5","77","19","4","2","9","3","24","204","1","1","0","0","3","0","5"
"Actopan","44","BASICA","7","78","16","4","0","19","7","25","190","1","0","0","0","8","0","5"
"Actopan","44","CONTIGUA 1","6","84","19","2","2","19","6","22","184","1","0","0","0","6","0","8"
"Actopan","44","CONTIGUA 2","10","54","11","5","0","20","5","22","207","0","0","0","0","17","0","8"
"Actopan","45","BASICA","11","79","23","8","1","24","6","25","190","1","0","0","0","1","0","5"
"Actopan","45","CONTIGUA 1","6","83","31","4","2","28","14","18","198","1","3","1","0","3","1","14"
"Actopan","46","BASICA","6","48","16","2","10","15","8","21","172","0","0","0","0","3","0","13"
"Actopan","46","CONTIGUA 1","7","73","20","4","2","16","9","19","161","0","0","0","0","6","0","5"
"Actopan","46","CONTIGUA 2","6","39","28","4","0","21","7","27","153","0","0","0","0","1","0","7"
"Actopan","46","ESPECIAL 1","2","5","5","1","1","1","1","5","28","1","0","0","0","0","0","0"
"Actopan","47","BASICA","2","80","17","5","2","13","8","24","160","0","0","0","0","1","0","10"
"Actopan","47","CONTIGUA 1","7","84","33","7","2","19","9","29","140","1","0","0","0","8","0","13"
"Actopan","48","BASICA","1","52","5","1","4","23","1","4","31","1","0","0","0","1","0","7"
"Actopan","49","BASICA","0","64","53","0","1","2","0","2","25","0","0","0","0","2","0","3"
"Actopan","51","BASICA","2","44","22","4","4","3","9","5","60","0","0","0","0","3","0","4"
"Actopan","52","BASICA","2","53","23","2","3","6","7","15","26","1","0","0","0","1","0","1"
"Actopan","52","CONTIGUA 1","5","59","28","2","0","6","4","8","60","1","0","0","0","2","0","3"
"Actopan","53","BASICA","4","32","10","0","2","10","1","34","137","1","0","0","0","5","0","3"
"Actopan","54","BASICA","4","71","66","1","6","38","4","8","79","0","0","0","0","8","0","5"
"Actopan","54","CONTIGUA 1","2","72","42","2","3","37","4","7","107","0","0","0","0","1","0","8"
"Actopan","55","BASICA","4","165","22","0","3","6","13","14","171","1","2","0","0","8","0","8"
