CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,CI_1,CI_2,CI_3,CI_4,CI_5,CI_6,CI_7,CI_8,CI_9,CI_10,CI_11,CI_12,CI_13,CI_14,CI_15,CI_16,CI_17,CI_18,CI_19,CI_20,CI_21,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,821,4,2,2,0,1,0,1,1,1,16,0,0,1,3,0,0,1,0,0,0,1,0,13,40,227,6,7,10,17,195,14,61,620,2273
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,822,3,2,2,0,0,1,5,0,1,10,0,0,1,5,0,1,2,0,0,0,1,0,15,26,226,10,7,18,6,193,20,51,603,2130
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,823,3,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,10,11,206,12,7,31,9,159,11,42,505,1983
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,824,4,5,2,0,0,0,0,0,0,1,1,0,2,1,1,1,0,2,0,1,1,1,13,16,271,8,6,11,11,209,18,48,630,2403
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,825,2,0,0,1,1,2,1,0,8,0,0,0,0,0,0,0,2,0,0,1,2,2,5,12,214,6,6,10,12,139,8,32,464,1430
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,826,2,7,2,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,2,9,24,194,4,8,9,12,111,15,33,435,1451
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,827,5,7,0,2,1,1,2,1,0,2,0,1,1,2,0,1,2,0,0,1,0,0,21,36,455,6,6,10,17,351,16,84,1026,3346
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,828,3,6,1,1,0,0,1,1,1,5,0,0,0,0,1,0,0,0,0,1,1,0,13,14,194,2,2,7,11,159,8,46,475,1603
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,829,2,1,0,2,1,1,0,0,0,2,0,0,1,0,1,0,0,0,0,0,1,0,8,26,115,3,2,9,4,125,4,31,337,1454
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,830,3,0,2,4,0,2,1,2,0,4,0,0,0,0,1,0,1,0,0,0,3,1,10,14,230,10,7,4,6,140,23,48,513,1648
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,831,3,0,3,1,0,0,1,0,1,2,1,0,1,0,0,0,0,1,0,1,0,0,7,15,318,6,3,5,10,133,16,50,575,1816
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,832,2,3,0,0,1,0,1,0,2,5,0,1,0,2,1,1,0,0,0,1,0,0,11,17,193,6,4,10,9,180,11,50,509,1380
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,833,4,4,2,1,1,1,2,1,0,7,0,1,1,1,1,0,1,0,0,0,0,0,18,36,399,10,4,10,21,253,15,86,876,2837
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,834,3,4,2,1,0,2,2,0,1,0,1,0,0,0,1,0,0,0,0,0,2,2,15,16,224,2,2,3,5,140,7,44,476,1549
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,835,3,11,0,1,1,7,0,0,1,1,0,0,2,1,0,0,0,0,1,1,0,1,14,19,231,10,1,8,4,141,8,33,497,1659
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,836,2,2,1,2,0,0,0,2,0,3,0,1,0,0,1,0,0,0,0,0,0,0,10,16,242,7,6,0,8,102,7,29,439,1230
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,837,2,2,1,1,0,0,0,0,2,2,0,0,0,2,1,0,0,0,0,1,0,0,21,12,147,9,5,7,8,161,11,32,425,1379
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,838,2,3,0,2,0,2,2,0,2,2,0,0,0,0,0,0,0,0,1,0,2,2,13,25,204,7,1,6,4,150,6,28,462,1248
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,839,2,3,1,2,1,0,1,2,0,3,0,0,1,0,0,0,1,0,0,2,0,1,9,13,169,12,6,7,12,174,23,38,481,1456
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,840,2,0,2,0,0,0,0,0,1,5,1,1,0,0,0,0,0,0,0,0,0,0,6,19,149,8,5,7,5,140,12,30,391,1496
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,841,3,3,0,1,1,4,3,1,1,3,1,0,0,1,0,0,0,0,0,5,0,1,6,38,253,4,11,11,14,192,14,46,614,2086
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,842,4,4,0,0,1,1,2,1,1,3,0,0,8,1,0,0,0,0,0,0,1,1,19,19,287,12,6,14,13,181,13,57,645,2292
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,843,3,4,2,0,1,0,0,1,2,2,2,0,1,1,0,1,0,0,0,1,0,2,8,28,175,3,9,12,8,140,16,39,458,1728
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,844,3,1,0,1,2,0,0,2,1,1,0,1,2,2,0,0,0,0,0,0,0,1,10,29,183,4,2,5,16,150,9,24,446,1541
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,845,2,4,1,0,1,2,0,1,4,2,0,0,2,0,0,0,1,1,1,3,2,1,8,16,179,7,2,7,12,116,7,20,400,1201
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,846,2,0,2,0,0,3,0,0,0,2,0,0,2,3,1,0,4,0,0,1,1,2,11,10,195,8,2,3,11,148,9,19,437,1383
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,847,2,0,0,0,1,0,0,0,2,3,0,0,6,0,0,0,1,0,0,0,0,0,4,8,117,2,3,1,5,72,10,25,260,1035
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,848,3,0,2,1,0,1,0,1,0,4,0,0,18,0,0,0,1,0,0,0,0,1,8,31,180,2,3,6,9,136,9,36,449,1661
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,849,3,1,0,0,0,0,0,0,1,3,0,0,2,0,0,0,0,0,2,1,1,0,14,22,252,9,5,3,5,130,8,25,484,1860
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,850,3,1,2,0,0,0,0,0,0,6,1,0,1,1,0,0,0,1,0,0,2,1,21,21,148,8,4,7,15,181,15,18,454,1725
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,851,2,4,2,1,1,7,0,0,6,1,0,0,1,0,0,0,1,0,0,1,2,2,14,21,100,3,2,7,4,111,18,21,330,1209
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,852,7,3,3,5,2,4,1,2,3,4,0,0,4,1,1,0,1,1,0,10,2,3,21,30,648,19,19,23,17,385,35,120,1367,4681
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,853,2,6,2,1,2,7,2,1,0,1,0,3,0,1,1,0,2,0,0,0,4,0,15,18,97,1,5,7,3,118,8,31,336,1240
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,854,3,2,2,1,0,1,0,3,5,5,1,0,1,2,0,0,0,0,0,0,1,0,25,31,131,10,2,2,9,171,17,36,458,1634
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,855,2,0,3,4,0,0,0,1,2,3,1,2,1,0,2,0,1,0,0,0,5,1,39,22,119,8,3,8,12,159,5,30,431,1448
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,856,3,1,1,1,1,1,0,2,0,4,2,0,1,1,0,0,0,1,0,0,0,2,21,16,184,8,3,7,11,177,16,45,506,1574
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,857,3,2,8,1,0,2,1,0,4,4,0,1,1,0,1,0,0,1,0,2,0,2,24,15,166,7,4,3,15,161,20,45,490,1516
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,858,2,1,0,1,0,0,0,1,0,2,0,0,3,1,1,0,1,0,0,1,0,0,15,16,198,0,2,7,6,106,8,23,393,1274
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,859,4,1,3,2,2,1,0,2,2,4,0,0,2,0,0,0,0,0,0,1,1,1,29,28,293,32,7,4,9,191,17,63,695,2488
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,860,3,0,2,3,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,21,19,340,7,6,6,15,169,21,52,666,2185
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,861,2,6,5,0,0,2,2,0,0,4,0,1,4,0,0,0,0,1,0,1,1,2,10,17,86,0,2,3,15,154,13,35,364,1393
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,862,1,4,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,23,13,55,3,1,2,5,52,7,17,187,624
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,863,2,1,1,1,1,0,0,1,1,4,0,1,1,1,0,1,0,0,1,1,0,3,14,20,171,8,7,3,8,173,22,39,484,1302
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,864,2,4,1,2,0,1,2,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,5,8,174,7,6,7,10,109,15,36,393,1353
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,865,8,6,3,4,2,3,1,0,2,5,1,1,6,0,1,0,2,0,1,3,3,2,33,76,793,33,13,21,23,442,42,117,1639,5799
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,866,2,4,0,3,2,0,0,3,1,1,0,0,1,1,1,0,1,0,0,0,1,1,20,56,204,7,0,10,14,128,8,48,515,1381
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,867,2,3,1,0,0,3,1,1,0,1,0,0,3,0,2,0,0,1,0,1,1,1,7,10,134,15,7,8,10,117,20,23,370,1242
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,868,2,3,2,1,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,5,14,111,5,5,10,5,90,16,31,304,1199
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,869,2,2,2,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,6,19,96,5,4,6,7,94,22,27,301,1205
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,870,2,2,2,0,2,2,1,1,0,0,0,0,0,2,2,0,0,0,0,1,0,1,13,13,135,1,3,5,9,104,8,17,324,1213
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,871,3,4,2,1,1,0,2,0,2,3,1,0,3,0,2,1,0,0,0,2,0,0,18,23,157,11,3,7,4,142,16,30,435,1705
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,872,2,1,1,0,2,1,2,0,0,2,1,0,2,2,2,0,2,2,0,1,0,1,24,23,166,4,4,6,13,115,15,27,419,1315
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,873,2,1,1,0,1,0,1,4,1,7,0,0,5,1,2,0,1,0,0,2,0,1,11,26,135,6,5,5,8,111,10,33,378,1377
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,874,2,3,5,2,0,2,1,0,4,4,0,0,4,2,1,0,1,2,0,0,2,2,19,14,205,5,2,8,7,123,11,31,460,1328
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,875,3,3,8,0,0,1,0,0,0,3,2,1,4,0,0,0,0,0,0,0,1,2,17,19,212,15,2,5,8,148,13,34,498,1884
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,876,4,7,1,2,0,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,1,0,17,44,538,7,9,5,10,230,24,91,993,2843
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,877,4,4,1,0,0,1,0,3,0,4,2,1,1,0,0,0,0,0,0,0,3,1,14,38,555,11,11,10,12,211,24,85,992,2598
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,878,3,1,0,3,2,0,1,1,1,2,0,0,2,1,1,0,1,0,0,0,0,2,17,22,223,7,3,6,11,176,21,44,548,2026
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,879,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,12,157,1,1,3,4,110,5,26,331,1452
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,880,2,3,0,1,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,2,4,10,166,7,2,3,5,87,2,13,312,1391
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,881,3,1,1,0,0,1,0,0,0,2,0,1,21,0,0,0,0,0,0,0,0,1,9,13,175,10,3,4,9,146,9,52,458,1989
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,882,3,1,0,0,0,0,0,0,4,3,0,0,6,0,0,0,0,0,0,0,1,0,13,22,172,7,1,5,9,132,8,31,415,1579
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,883,3,2,0,2,0,0,0,1,2,5,1,3,6,2,0,1,0,0,0,1,0,2,14,29,135,12,2,8,11,171,17,32,459,1767
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,884,2,2,3,0,1,0,0,0,2,3,0,2,3,0,1,1,1,1,0,0,2,1,16,20,207,12,7,7,8,126,8,37,471,1437
