CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,1,B,1,0,B,16,39,78,4,29,1,22,28,4,0,0,1,4,3,1,2,13,245,0,31,276,667,Acta casilla,,,http://iepct.mx/elecciones2018/GUB/1/GUB_0001_B.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,1,C,1,0,C01,19,44,76,4,27,3,210,17,2,0,1,0,1,1,0,0,5,410,0,26,436,667,Acta casilla,,,http://iepct.mx/elecciones2018/GUB/1/GUB_0001_C01.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,1,C,2,0,C02,20,32,71,7,26,2,214,20,2,0,1,0,3,2,0,1,12,413,0,35,448,666,Acta casilla,,,http://iepct.mx/elecciones2018/GUB/1/GUB_0001_C02.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,1,C,3,0,C03,24,38,78,10,26,5,187,24,3,2,0,0,2,0,1,0,16,416,0,22,438,666,Acta casilla,,,http://iepct.mx/elecciones2018/GUB/1/GUB_0001_C03.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,2,B,1,0,B,18,48,71,4,29,3,195,23,0,3,0,1,2,2,0,2,7,408,0,14,422,649,Acta casilla,,,http://iepct.mx/elecciones2018/GUB/1/GUB_0002_B.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,2,C,1,0,C01,20,42,79,7,26,3,213,0,2,0,0,2,0,0,0,1,18,413,0,28,441,649,Acta casilla,,,http://iepct.mx/elecciones2018/GUB/1/GUB_0002_C01.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,2,C,2,0,C02,19,31,96,1,24,2,209,18,1,2,0,3,3,1,1,1,13,425,0,19,444,648,Acta casilla,,,http://iepct.mx/elecciones2018/GUB/1/GUB_0002_C02.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,3,B,1,0,B,17,42,46,1,27,0,193,13,1,0,0,0,1,1,0,0,0,342,0,0,342,549,Acta casilla,,,http://iepct.mx/elecciones2018/GUB/1/GUB_0003_B.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,3,C,1,0,C01,19,36,50,2,26,1,201,18,0,0,0,0,2,0,0,1,16,372,0,18,390,549,Acta casilla,,,http://iepct.mx/elecciones2018/GUB/1/GUB_0003_C01.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,4,B,1,0,B,7,35,72,2,23,2,183,23,0,1,0,0,1,0,0,2,15,366,0,32,398,531,Acta casilla,,,http://iepct.mx/elecciones2018/GUB/1/GUB_0004_B.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,4,C,1,0,C01,17,43,65,2,24,2,172,24,1,0,1,0,3,1,0,3,10,368,1,17,386,530,Acta casilla,,,http://iepct.mx/elecciones2018/GUB/1/GUB_0004_C01.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,5,B,1,0,B,14,32,55,4,24,0,188,13,2,2,0,3,4,1,0,0,14,356,1,18,375,563,Acta casilla,,,http://iepct.mx/elecciones2018/GUB/1/GUB_0005_B.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,5,C,1,0,C01,17,36,50,4,23,3,199,15,2,0,0,0,0,1,0,1,15,366,0,15,381,563,Acta casilla,,,http://iepct.mx/elecciones2018/GUB/1/GUB_0005_C01.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,5,C,2,0,C02,13,28,68,3,20,2,203,13,4,0,0,0,2,0,0,0,16,372,0,17,389,562,Acta casilla,,,http://iepct.mx/elecciones2018/GUB/1/GUB_0005_C02.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,6,B,1,0,B,33,55,108,1,23,4,234,22,9,0,0,0,0,0,0,0,8,497,0,20,517,705,Acta casilla,,,http://iepct.mx/elecciones2018/GUB/1/GUB_0006_B.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,6,S,1,0,S01,11,32,50,6,20,2,245,26,1,0,1,0,2,0,0,2,0,398,0,14,412,0,Acta casilla,,,http://iepct.mx/elecciones2018/GUB/1/GUB_0006_SMR01.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,7,B,1,0,B,12,35,75,6,32,1,240,18,2,0,0,1,0,1,1,4,24,452,0,28,480,604,Acta casilla,,,http://iepct.mx/elecciones2018/GUB/1/GUB_0007_B.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,7,C,1,0,C01,1,57,0,0,1,3,272,0,82,0,0,0,1,0,0,0,33,450,0,21,471,604,Acta casilla,,,http://iepct.mx/elecciones2018/GUB/1/GUB_0007_C01.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,8,B,1,0,B,10,47,42,8,16,6,124,49,2,0,2,1,4,1,0,3,6,321,0,58,379,545,Acta casilla,,,http://iepct.mx/elecciones2018/GUB/1/GUB_0008_B.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,8,C,1,0,C01,9,27,45,6,15,5,130,40,1,0,0,0,2,1,0,3,6,290,0,37,327,545,Acta casilla,,,http://iepct.mx/elecciones2018/GUB/1/GUB_0008_C01.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,9,B,1,0,B,7,21,59,9,33,2,198,57,0,0,0,0,1,0,0,4,11,402,0,54,456,641,Acta casilla,,,http://iepct.mx/elecciones2018/GUB/1/GUB_0009_B.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,9,C,1,0,C01,10,39,36,4,32,5,174,63,0,0,0,0,0,0,0,0,3,366,0,49,415,640,Acta casilla,,,http://iepct.mx/elecciones2018/GUB/1/GUB_0009_C01.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,10,B,1,0,B,11,22,38,4,9,0,39,16,1,0,1,0,0,0,0,0,3,144,0,11,155,201,Acta casilla,,,http://iepct.mx/elecciones2018/GUB/1/GUB_0010_B.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,11,B,1,0,B,19,12,45,5,16,1,115,104,80,0,0,0,220,0,0,0,0,617,0,53,670,534,Acta casilla,,,http://iepct.mx/elecciones2018/GUB/1/GUB_0011_B.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,12,B,1,0,B,11,41,34,5,24,6,171,124,1,0,0,0,5,2,0,5,8,437,0,32,469,639,Acta casilla,,,http://iepct.mx/elecciones2018/GUB/1/GUB_0012_B.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,13,B,1,0,B,6,46,54,4,14,8,167,13,3,0,0,2,4,0,1,1,6,329,0,54,383,531,Acta casilla,,,http://iepct.mx/elecciones2018/GUB/1/GUB_0013_B.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,13,C,1,0,C01,13,25,52,3,27,1,168,8,3,1,0,0,0,0,0,1,2,304,0,62,366,531,Acta casilla,,,http://iepct.mx/elecciones2018/GUB/1/GUB_0013_C01.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,14,B,1,0,B,24,35,72,5,34,3,261,13,4,0,0,1,3,0,0,4,4,463,0,52,515,736,Acta casilla,,,http://iepct.mx/elecciones2018/GUB/1/GUB_0014_B.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,15,B,1,0,B,14,44,97,6,41,12,248,11,4,0,0,1,2,2,0,2,8,492,0,51,543,722,Acta casilla,,,http://iepct.mx/elecciones2018/GUB/1/GUB_0015_B.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,16,B,1,0,B,14,54,51,1,20,4,268,20,0,0,0,1,1,1,0,5,6,446,0,65,511,723,Acta casilla,,,http://iepct.mx/elecciones2018/GUB/1/GUB_0016_B.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,17,B,1,0,B,16,19,58,4,24,4,136,17,4,1,0,1,5,1,0,2,3,295,0,39,334,429,Acta casilla,,,http://iepct.mx/elecciones2018/GUB/1/GUB_0017_B.jpg
