CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,34,1,11,43,42,3,10,3,34,78,1,0,0,1,0,0,1,0,1,228,1,16,245,391
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,35,2,35,37,208,7,38,3,333,77,3,2,1,1,4,1,1,4,30,785,10,92,887,1149
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,36,1,27,38,97,9,36,2,194,42,4,4,0,0,0,0,0,0,18,471,0,43,514,654
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,37,2,40,49,287,9,49,0,302,111,2,5,0,4,3,3,0,4,9,877,0,70,947,1236
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,38,2,27,83,91,11,31,4,220,92,4,0,0,0,7,0,1,1,10,582,0,66,648,785
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,39,2,27,44,114,9,40,3,161,80,2,3,1,1,4,0,0,1,11,501,0,59,560,820
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,40,2,34,63,77,9,47,3,207,26,4,0,0,2,3,0,0,2,9,486,0,97,583,808
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,41,2,47,71,87,7,12,3,180,173,1,1,0,0,0,0,0,6,24,612,0,54,666,947
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,42,4,52,141,158,14,54,4,537,118,3,0,1,0,4,1,0,3,8,1098,0,173,1271,1639
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,43,2,13,65,83,1,26,3,271,88,5,1,0,2,1,1,0,2,11,573,0,101,674,987
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,44,3,54,76,54,12,32,6,318,155,3,1,0,0,2,2,0,2,6,723,0,59,782,1042
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,45,2,35,92,120,11,36,3,291,93,3,0,0,0,3,1,0,0,5,693,0,64,757,1071
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1089,2,14,137,36,6,28,1,287,6,0,0,0,0,1,2,0,3,2,523,0,34,557,710
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1090,3,29,340,102,9,34,6,734,1,3,0,0,0,3,0,0,2,5,1268,0,31,1299,2117
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1091,2,13,131,39,6,15,1,273,4,1,0,0,0,4,1,1,0,3,492,0,9,501,789
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1092,1,14,159,45,3,9,1,208,5,3,0,0,0,5,0,0,0,2,454,0,10,464,628
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1093,1,6,108,59,7,16,0,258,3,2,0,1,0,0,0,0,0,0,460,0,15,475,703
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1094,2,10,175,74,5,12,0,348,4,2,0,0,1,6,1,0,2,5,645,0,14,659,926
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1095,1,16,138,61,3,13,0,302,0,0,0,0,0,0,1,0,0,5,539,0,7,546,679
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1096,2,21,189,75,10,21,4,446,10,2,2,0,0,4,3,0,2,9,798,0,23,821,1130
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1097,2,10,155,67,5,19,1,399,5,1,0,0,0,4,2,0,1,2,671,0,15,686,955
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1098,2,9,226,49,7,33,3,413,4,1,0,0,0,9,4,0,0,5,763,0,38,801,1122
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1099,3,30,308,103,12,27,5,808,8,5,2,1,1,20,0,0,0,9,1339,5,33,1377,1493
