ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
27,TABASCO,1,BALANCAN,44,81,1244,2967,4273,303,1573,186,11406,3092,287,40,13,41,345,39,10,95,580,26494,14,2655,29163,40024,
27,TABASCO,2,CARDENAS,122,302,1622,8716,21890,1659,1702,930,70285,903,372,141,28,204,1011,413,63,265,837,111041,86,4325,115452,172275,
27,TABASCO,3,CENTLA,64,135,1822,6500,10317,1025,1528,532,25345,2502,237,80,22,83,453,169,33,300,479,51427,67,2429,53923,72426,
27,TABASCO,4,CENTRO,278,824,7811,41789,25804,6562,6347,3145,219853,3023,1280,319,130,311,5162,1930,237,1265,12687,337655,405,8467,346527,505368,
27,TABASCO,5,COMALCALCO,97,259,2053,13909,25439,1075,1588,732,59074,486,876,186,34,166,603,247,27,207,698,107400,38,3366,110804,148837,
27,TABASCO,6,CUNDUACAN,59,154,2035,7294,9382,1529,1879,472,31874,511,521,89,41,95,674,269,36,149,1031,57881,110,3019,61010,91994,
27,TABASCO,7,EMILIANO ZAPATA,16,41,2109,1442,1079,587,775,75,8576,105,53,37,17,9,76,36,1,19,92,15088,1,1762,16851,22973,
27,TABASCO,8,HUIMANGUILLO,97,238,904,12903,23269,1284,1258,677,41870,616,708,134,29,172,1213,261,32,243,782,86355,129,4127,90611,128545,
27,TABASCO,9,JALAPA,28,54,411,3335,4515,474,513,288,9681,165,110,23,6,37,118,32,4,25,173,19910,1,1866,21777,27884,
27,TABASCO,10,JALPA DE MENDEZ,37,100,788,5474,7630,1048,895,482,28045,222,172,56,5,61,246,148,13,73,841,46199,14,2354,48567,62418,
27,TABASCO,11,JONUTA,26,47,189,1130,6603,211,261,1675,8130,141,63,26,3,35,58,18,3,18,48,18612,16,778,19406,22847,
27,TABASCO,12,MACUSPANA,82,202,1909,6302,6922,1328,1409,686,47942,1876,577,173,48,144,1402,493,123,782,1684,73800,94,4547,78441,116099,
27,TABASCO,13,NACAJUCA,37,144,2657,6723,6072,1294,1544,582,41936,376,330,107,31,64,682,285,19,159,1490,64351,43,4239,68633,92145,
27,TABASCO,14,PARAISO,45,117,1263,5545,7692,719,988,512,31046,262,129,49,23,58,323,134,17,100,859,49719,22,1821,51562,68267,
27,TABASCO,15,TACOTALPA,27,64,639,3067,2662,542,2021,245,10609,310,245,31,17,76,346,59,10,42,280,21201,6,2785,23992,33033,
27,TABASCO,16,TEAPA,26,68,708,4034,2913,620,1062,1063,12492,361,104,32,3,30,194,65,12,68,478,24239,15,2426,26680,39754,
27,TABASCO,17,TENOSIQUE,44,82,664,7458,2598,385,728,110,16525,226,57,16,7,13,174,51,6,47,196,29261,7,1217,30485,42729,
