CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,RED,PRI_PVEM,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND41,CAND_IND42,CAND_IND43,CAND_IND44,CAND_IND45,CAND_IND46,CAND_IND47,CAND_IND48,CAND_IND49,CAND_IND50,CAND_IND51,CAND_IND52,CAND_IND53,CAND_IND54,CAND_IND55,CAND_IND56,CAND_IND57,CAND_IND58,CAND_IND59,CAND_IND60,CAND_IND61,CAND_IND62,CAND_IND63,CAND_IND64,CAND_IND65,CAND_IND66,CAND_IND67,CAND_IND68,CAND_IND69,CAND_IND70,CAND_IND71,CAND_IND72,CAND_IND73,CAND_IND74,CAND_IND75,CAND_IND76,CAND_IND77,CAND_IND78,CAND_IND79,CAND_IND80,CAND_IND81,CAND_IND82,CAND_IND83,CAND_IND84,CAND_IND85,CAND_IND86,CAND_IND87,CAND_IND88,CAND_IND89,CAND_IND90,CAND_IND91,CAND_IND92,CAND_IND93,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
2,19,NUEVO LEON,20,GARCIA,1,ABASOLO,1,B,1,0,B,49,101,4,3,9,87,16,6,0,11,0,0,0,0,0,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348,0,5,353,435,ACTA CASILLA,,,
2,19,NUEVO LEON,20,GARCIA,1,ABASOLO,1,C,1,0,C01,27,109,4,6,6,76,5,1,0,15,1,1,0,0,0,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318,1,6,325,434,ACTA CASILLA,,,
2,19,NUEVO LEON,20,GARCIA,1,ABASOLO,2,B,1,0,B,22,121,14,6,9,122,7,9,3,31,1,0,0,0,0,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514,0,20,534,710,ACTA CASILLA,,,
2,19,NUEVO LEON,20,GARCIA,1,ABASOLO,2,C,1,0,C01,21,109,9,3,9,151,6,7,2,41,0,1,0,0,0,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499,0,23,522,709,ACTA CASILLA,,,
2,19,NUEVO LEON,21,SABINAS HIDALGO,2,AGUALEGUAS,3,B,1,0,B,143,132,0,0,0,52,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,0,5,335,414,ACTA CASILLA,,,
2,19,NUEVO LEON,21,SABINAS HIDALGO,2,AGUALEGUAS,3,C,1,0,C01,136,139,0,0,0,47,5,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327,0,1,328,413,ACTA CASILLA,,,
2,19,NUEVO LEON,21,SABINAS HIDALGO,2,AGUALEGUAS,4,B,1,0,B,169,121,0,0,0,70,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,0,4,364,472,ACTA CASILLA,,,
2,19,NUEVO LEON,21,SABINAS HIDALGO,2,AGUALEGUAS,5,B,1,0,B,241,161,0,0,0,34,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437,0,3,440,552,ACTA CASILLA,,,
2,19,NUEVO LEON,21,SABINAS HIDALGO,2,AGUALEGUAS,6,B,1,0,B,166,158,0,0,0,79,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,0,4,408,572,ACTA CASILLA,,,
2,19,NUEVO LEON,21,SABINAS HIDALGO,2,AGUALEGUAS,7,B,1,0,B,36,54,0,1,0,56,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,0,4,151,239,ACTA CASILLA,,,
