CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,RED,PRI_PVEM ,PT_MORENA_ES ,PT_MORENA ,PT_ES ,MORENA_ES , CAND_IND41, CAND_IND42, CAND_IND43, CAND_IND44, CAND_IND45, CAND_IND46, CAND_IND47, CAND_IND48, CAND_IND49, CAND_IND50, CAND_IND51, CAND_IND52, CAND_IND53, CAND_IND54, CAND_IND55, CAND_IND56, CAND_IND57, CAND_IND58, CAND_IND59, CAND_IND60, CAND_IND61, CAND_IND62, CAND_IND63, CAND_IND64, CAND_IND65, CAND_IND66, CAND_IND67, CAND_IND68, CAND_IND69, CAND_IND70, CAND_IND71, CAND_IND72, CAND_IND73, CAND_IND74, CAND_IND75, CAND_IND76, CAND_IND77, CAND_IND78, CAND_IND79, CAND_IND80, CAND_IND81, CAND_IND82, CAND_IND83, CAND_IND84, CAND_IND85, CAND_IND86, CAND_IND87, CAND_IND88, CAND_IND89, CAND_IND90, CAND_IND91, CAND_IND92, CAND_IND93, NUM_VOTOS_VALIDOS, NUM_VOTOS_CAN_NREG, NUM_VOTOS_NULOS, TOTAL_VOTOS, LISTA_NOMINAL
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1432,3,56,408,4,4,57,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532,0,24,556,1738
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1433,3,84,407,0,1,51,2,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549,0,17,566,1759
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1434,3,84,415,1,5,59,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569,1,24,594,2040
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1435,4,103,555,0,7,94,3,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,767,0,30,797,2462
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1436,3,117,362,1,6,61,4,5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556,0,23,579,1996
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1437,3,87,284,0,1,83,3,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,460,0,12,472,1601
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1438,3,132,353,1,6,96,3,6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,599,0,13,612,2039
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1439,3,139,283,4,7,62,3,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,502,0,12,514,1815
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1440,3,117,367,1,10,84,1,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582,0,15,597,2124
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1441,3,130,378,2,5,121,2,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,639,0,26,665,2205
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1442,3,146,387,1,8,126,2,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,677,0,13,690,2212
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1443,3,86,469,1,2,73,4,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,639,1,18,658,2234
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1444,3,91,462,2,4,84,3,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648,0,29,677,2090
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1445,2,66,239,2,5,79,2,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,396,0,10,406,1210
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1446,3,142,367,3,2,94,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611,1,14,626,2006
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1447,3,75,311,1,6,81,1,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475,1,14,490,1746
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1448,8,450,601,6,25,337,8,13,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,1444,0,46,1490,5820
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1449,5,240,363,0,10,181,3,5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,804,1,25,830,3324
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1450,3,129,297,3,6,123,3,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564,0,16,580,2069
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1451,3,68,296,0,9,117,2,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,499,0,12,511,2065
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1452,3,108,363,5,4,95,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,581,0,11,592,2111
