DTTO. LOCAL,CVE,MUNICIPIO,Sección,Casillas,PAN,PRI,PRD,PT,PVEM,CD,PSN,PAS,PAC,COALICION,Nulos,No Registrados,TOTAL
16,1,Acacoyagua,1,B,13,251,178,1,0,0,0,1,0,,13,0,457
16,1,Acacoyagua,1,CA,12,212,190,4,0,0,0,5,0,,16,0,439
16,1,Acacoyagua,1,X1,7,232,95,1,0,0,0,2,0,,13,0,350
16,1,Acacoyagua,2,B,15,211,100,12,0,0,0,3,0,,9,0,350
16,1,Acacoyagua,2,CA,21,169,120,7,0,0,0,4,0,,5,0,326
16,1,Acacoyagua,2,CB,21,176,138,4,0,0,0,3,0,,5,0,347
16,1,Acacoyagua,3,B,26,186,114,12,0,0,0,1,0,,7,0,346
16,1,Acacoyagua,3,CA,34,218,76,8,0,0,0,1,0,,6,0,343
16,1,Acacoyagua,3,CB,23,185,99,13,0,0,0,5,0,,4,0,329
16,1,Acacoyagua,4,B,53,71,156,0,0,0,0,17,0,,19,0,316
16,1,Acacoyagua,5,B,12,132,131,1,0,0,0,6,0,,9,0,291
16,1,Acacoyagua,5,X1,12,87,157,2,0,0,0,6,0,,5,0,269
16,1,Acacoyagua,6,B,11,161,201,5,0,0,0,18,0,,14,0,410
16,1,Acacoyagua,6,CA,26,137,176,4,0,0,0,10,0,,14,0,367
,,,,,,,,,,,,,,,,,
3,2,Acala,7,B,64,138,0,0,0,0,0,2,0,118,3,0,325
3,2,Acala,7,CA,67,142,0,0,0,0,0,4,0,103,11,0,327
3,2,Acala,7,CB,60,130,0,0,0,0,0,4,0,96,11,0,301
3,2,Acala,8,B,66,121,0,0,0,0,0,6,0,151,8,0,352
3,2,Acala,8,CA,73,112,0,0,0,0,0,3,0,140,4,0,332
3,2,Acala,9,B,91,134,0,0,0,0,0,3,0,201,10,0,439
3,2,Acala,9,CA,74,124,0,0,0,0,0,3,0,191,11,0,403
3,2,Acala,10,B,92,145,0,0,0,0,0,3,0,114,7,0,361
3,2,Acala,10,CA,67,137,0,0,0,0,0,4,0,138,4,0,350
3,2,Acala,10,CB,68,149,0,0,0,0,0,3,0,151,4,0,375
3,2,Acala,11,B,72,171,0,0,0,0,0,1,0,144,3,0,391
3,2,Acala,11,CA,65,186,0,0,0,0,0,3,0,134,4,0,392
