CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,,,,,
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1403,1,262,32,6,3,5,6,1,164,1,3,5,1,0,2,3,0,0,0,0,494,0,12,506,734,,,,,
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1404,2,407,68,6,5,5,8,5,169,6,5,3,1,0,0,8,1,0,2,0,699,0,11,710,1035,,,,,
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1405,2,385,45,3,4,4,6,4,78,0,5,0,0,0,1,2,2,0,1,0,540,0,9,549,948,,,,,
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1406,2,365,47,8,10,13,11,3,257,4,2,0,0,0,2,1,0,4,1,0,728,0,13,741,1091,,,,,
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1407,2,97,31,1,12,4,2,2,185,8,0,1,0,0,2,3,4,0,0,0,352,0,12,364,480,,,,,
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1408,2,260,37,10,11,12,7,2,612,8,6,0,0,0,2,12,3,0,5,0,987,0,12,999,1381,,,,,
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1409,2,195,39,4,7,10,5,5,311,6,5,2,1,0,0,3,2,0,0,0,595,0,7,602,855,,,,,
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1410,1,152,36,5,6,12,4,7,213,4,0,0,0,0,5,10,1,0,3,0,458,0,19,477,706,,,,,
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1411,2,249,46,6,5,8,6,8,185,3,1,1,0,0,2,3,1,0,1,0,525,0,11,536,838,,,,,
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1412,4,308,68,13,32,24,20,12,756,13,5,0,0,0,6,21,12,1,9,0,1300,0,35,1335,2329,,,,,
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4696,2,93,91,10,5,12,6,6,262,5,0,0,0,0,3,1,4,3,5,0,506,0,13,519,808,,,,,
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4697,2,157,164,14,10,16,11,6,574,6,0,0,0,0,4,23,5,0,2,0,992,0,24,1016,1475,,,,,
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4698,2,126,122,13,7,7,10,11,325,8,3,1,1,0,2,7,1,0,1,0,645,0,26,671,968,,,,,
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4699,2,186,126,21,17,17,17,11,490,12,4,2,0,1,5,10,1,0,4,0,924,0,23,947,1375,,,,,
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4700,2,150,140,11,5,24,14,8,387,11,0,3,0,0,2,11,9,0,1,0,776,0,26,802,1161,,,,,
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4701,2,122,123,5,13,13,11,15,349,3,0,0,1,0,5,4,7,0,3,0,674,0,25,699,1071,,,,,
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4702,2,293,59,7,3,13,7,9,218,6,3,0,1,0,5,4,2,0,2,0,632,0,13,645,860,,,,,
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4703,2,200,202,13,11,19,4,4,219,3,3,1,0,0,5,2,3,1,1,0,691,0,33,724,1028,,,,,
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4704,1,81,29,3,7,1,4,2,3,6,1,0,0,0,3,2,1,0,0,0,143,0,14,157,297,,,,,
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4705,1,115,60,6,6,12,5,4,100,10,1,4,1,0,0,2,1,0,0,0,327,0,19,346,498,,,,,
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4706,1,74,64,9,4,8,3,4,117,2,0,1,0,0,3,1,0,0,0,0,290,0,17,307,430,,,,,
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4707,2,141,137,13,9,8,3,5,217,7,2,1,0,1,1,2,3,0,2,0,552,0,33,585,889,,,,,
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4708,2,232,128,14,9,13,11,12,232,2,3,0,0,0,2,3,3,0,1,0,665,0,43,708,998,,,,,
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4709,1,103,106,11,3,9,5,15,233,9,1,1,0,0,1,2,1,0,0,0,500,0,9,509,685,,,,,
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4710,2,123,89,2,4,4,7,5,127,9,3,0,1,0,1,8,0,1,2,0,386,0,18,404,1054,,,,,
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4711,2,123,171,12,9,11,16,7,193,9,3,0,2,0,4,6,1,0,1,0,568,0,27,595,807,,,,,
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2776,3,457,170,27,18,14,20,42,233,8,10,5,0,0,0,2,1,0,4,0,1011,0,34,1045,1667,,,,,
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2777,3,470,166,27,22,9,22,27,282,9,8,4,2,0,6,5,0,0,3,0,1062,0,21,1083,1835,,,,,
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2778,1,85,25,5,2,3,2,8,37,0,4,1,0,0,0,2,3,0,2,0,179,0,8,187,346,,,,,
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2779,1,86,34,3,4,6,2,4,37,2,2,1,1,1,0,1,0,0,0,0,184,0,12,196,340,,,,,
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2780,1,33,38,4,2,1,4,3,33,0,1,3,1,0,0,0,2,1,0,0,126,0,7,133,198,,,,,
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2781,2,95,57,21,6,7,5,11,98,5,2,4,1,0,0,1,1,0,1,0,315,0,10,325,529,,,,,
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2782,1,27,33,4,2,2,2,3,13,0,4,2,0,0,2,0,0,0,1,0,95,0,4,99,192,,,,,
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2783,1,73,61,2,3,5,14,9,5,3,1,2,0,0,0,0,0,0,1,0,179,0,2,181,273,,,,,
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2784,2,77,35,4,4,2,11,8,20,1,2,1,0,0,1,1,0,0,0,0,167,0,10,177,285,,,,,
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2785,1,117,40,4,8,4,5,6,33,0,1,0,2,0,2,1,1,0,0,0,224,0,8,232,370,,,,,
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2786,1,128,77,5,14,14,10,5,108,4,2,0,0,0,2,5,3,1,1,0,379,0,16,395,567,,,,,
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2787,1,163,117,10,16,6,4,12,69,5,2,3,0,0,5,1,0,1,1,0,415,0,19,434,604,,,,,
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2788,2,258,65,10,9,10,17,12,65,5,9,5,1,0,1,0,1,0,2,0,470,0,23,493,909,,,,,
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2789,1,41,26,3,1,7,2,6,34,0,1,1,0,0,0,0,0,0,0,0,122,0,4,126,201,,,,,
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2790,2,308,209,18,8,8,13,10,147,5,4,4,0,0,5,0,3,0,1,0,743,0,24,767,1172,,,,,
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2791,1,83,40,2,1,2,2,1,36,0,1,0,0,0,0,0,0,0,0,0,168,0,3,171,263,,,,,
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2792,1,79,33,2,3,2,4,6,57,2,0,0,0,0,3,3,1,0,1,0,196,0,9,205,402,,,,,
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2793,1,129,47,8,4,6,2,15,42,1,7,1,0,0,1,1,0,0,1,0,265,0,22,287,528,,,,,
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2794,1,114,63,3,5,6,2,9,6,5,1,2,1,0,2,2,0,0,0,0,221,0,5,226,470,,,,,
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2795,2,100,21,12,4,8,8,9,86,6,0,1,0,0,0,1,0,0,1,0,257,0,4,261,435,,,,,
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2796,1,46,10,1,1,4,0,5,11,0,0,0,0,0,0,2,0,0,0,0,80,0,2,82,117,,,,,
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2797,1,190,29,8,1,2,3,25,26,0,1,0,0,1,0,0,0,0,0,0,286,0,10,296,468,,,,,
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2798,1,75,62,7,7,5,7,9,113,3,1,2,0,0,0,0,1,0,1,0,293,0,12,305,557,,,,,
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2799,1,75,19,5,2,5,2,7,30,2,1,3,0,0,0,2,2,0,0,0,155,0,11,166,277,,,,,
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2800,1,59,12,12,5,5,0,3,60,1,4,2,0,0,0,0,0,0,0,0,163,0,8,171,261,,,,,
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2801,1,76,50,3,2,6,2,15,72,6,2,0,0,0,0,1,0,0,3,0,238,0,16,254,490,,,,,
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2802,2,240,67,19,9,11,4,20,109,6,2,2,0,0,2,1,1,0,1,0,494,0,6,500,971,,,,,
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2803,1,54,13,3,3,4,4,4,4,51,3,0,0,0,0,0,0,0,1,0,144,0,13,157,234,,,,,
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2804,1,65,25,2,4,4,4,8,44,2,0,0,0,0,2,1,0,0,0,0,161,0,4,165,282,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2814,1,147,41,9,11,7,11,14,97,11,0,3,1,0,0,4,4,0,1,0,361,0,20,381,715,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2815,2,179,92,5,11,12,7,13,282,2,3,0,0,0,2,5,0,0,1,0,614,0,14,628,909,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2816,3,302,108,15,16,28,8,14,496,7,3,3,0,0,0,12,11,0,3,0,1026,0,48,1074,1583,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2817,2,235,108,6,17,22,10,20,362,3,1,2,2,0,5,10,2,0,1,0,806,1,21,828,1160,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2818,1,186,95,5,10,3,1,8,198,5,1,2,2,0,4,7,0,0,2,0,529,0,11,540,722,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2819,5,536,374,23,68,36,18,40,981,20,7,3,1,1,4,20,11,1,6,0,2150,0,67,2217,3266,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2820,2,199,132,3,13,2,3,14,241,4,1,3,0,0,3,3,0,0,3,0,624,0,18,642,915,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2821,1,122,48,3,10,8,5,5,136,4,10,0,1,0,2,2,0,0,0,0,356,0,15,371,515,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2822,1,165,87,4,14,6,3,13,177,6,1,0,0,0,2,2,1,0,2,0,483,0,17,500,743,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2823,2,213,96,4,17,6,3,11,309,4,1,3,0,0,4,4,2,0,3,0,680,0,25,705,1048,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2824,2,238,101,11,13,16,3,19,386,14,1,1,2,0,1,11,1,1,1,0,820,0,19,839,1277,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2825,2,325,54,6,19,21,8,9,380,14,0,4,2,0,2,7,4,0,1,0,856,1,42,899,1359,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2826,2,246,71,12,13,17,12,5,198,11,0,1,0,0,3,4,0,0,1,0,594,0,19,613,950,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2827,2,272,37,6,13,10,9,18,336,10,0,2,1,0,0,3,3,1,1,0,722,0,21,743,1076,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2828,1,102,38,2,14,6,4,12,182,6,1,2,0,0,1,3,3,0,3,0,379,0,16,395,614,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2829,1,128,76,3,13,4,3,9,180,5,3,1,2,0,1,3,2,0,0,0,433,1,10,444,693,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2830,2,172,140,9,52,6,2,22,261,5,2,2,1,0,2,3,2,0,3,0,684,0,12,696,999,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2831,2,232,114,7,31,12,8,23,264,9,2,2,0,0,2,4,1,0,0,0,711,0,17,728,1086,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2832,2,230,65,4,16,12,7,13,193,4,1,2,0,0,0,2,1,0,0,0,550,0,16,566,754,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2833,4,419,236,17,31,32,17,44,638,27,4,0,1,0,7,10,5,0,7,0,1495,1,51,1547,2138,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2834,2,215,73,11,14,8,6,8,271,7,1,2,0,0,5,2,3,0,1,0,627,0,24,651,998,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2835,3,389,178,22,30,30,13,33,472,18,7,3,2,0,3,11,2,0,3,0,1216,0,37,1253,2246,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2836,4,365,189,16,38,25,19,81,739,11,4,2,2,0,2,9,7,0,0,0,1509,0,30,1539,2402,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2837,3,339,152,16,35,24,14,23,635,13,3,0,2,1,1,6,0,1,1,0,1266,0,39,1305,2024,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2838,2,162,38,8,14,8,9,3,204,7,0,0,2,0,0,6,1,1,0,0,463,0,18,481,785,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2839,2,172,49,9,13,17,8,6,231,5,2,4,0,0,0,2,1,1,2,0,522,0,20,542,873,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2840,2,202,72,14,5,8,12,6,186,11,0,2,2,1,0,2,0,0,0,0,523,0,30,553,966,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2841,1,235,37,2,4,4,5,3,42,1,5,1,2,0,0,0,1,0,2,0,344,0,10,354,471,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2842,1,78,12,1,1,2,3,1,38,0,0,0,0,0,1,1,1,0,0,0,139,0,7,146,219,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2843,1,142,5,3,3,4,0,2,26,3,0,3,0,0,1,0,0,0,0,0,192,0,4,196,330,,,,,
