ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,MORENA_PT_ES,MORENA_PT,MORENA_ES,PT_ES,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
11,GUANAJUATO,1,ABASOLO,50,117,9465,11191,412,1853,959,310,408,8516,372,245,117,57,22,,,,,,,,,,,,,,,,,,,,,,,,,,33927,5,1097,33932,67145,
11,GUANAJUATO,2,ACAMBARO,90,175,8050,2508,9487,1432,1197,957,1045,10364,483,273,147,52,34,805,6111,,,,,,,,,,,,,,,,,,,,,,,,42945,51,1944,44940,95102,
11,GUANAJUATO,3,SAN MIGUEL DE ALLENDE,103,223,21774,5980,1425,2303,1366,623,2366,11163,928,228,74,53,25,,,,,,,,,,,,,,,,,,,3874,1399,,,,,,53581,95,2340,56016,126028,
11,GUANAJUATO,4,APASEO EL ALTO,44,90,4523,4367,861,1923,327,3944,495,8120,144,237,54,26,16,,,,,,,,,,,,,,,,,,,,,,,,,,25037,14,964,25051,50108,
11,GUANAJUATO,5,APASEO EL GRANDE,43,113,8803,5756,378,10136,515,386,,4747,226,97,33,33,13,,,886,565,274,,,,,,,,,,,,,,,,,,,,,32848,10,1145,32858,66615,
11,GUANAJUATO,6,ATARJEA,5,10,1580,459,,75,6,10,,40,2,1,0,0,0,,,,,,1029,,,,,,,,,,,,,,,,,,,,3202,0,207,3409,4242,
11,GUANAJUATO,7,CELAYA,247,629,62586,18663,2430,8266,3920,4056,3166,36544,2944,929,386,336,175,,,,,,,38118,,,,,,,,,,,,,,,,,,,182519,373,5639,188531,373130,
11,GUANAJUATO,8,MANUEL DOBLADO,42,62,6830,8231,314,1628,94,40,98,390,16,7,7,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,17661,5,600,18266,31241,
11,GUANAJUATO,9,COMONFORT,43,101,5478,2567,,3742,570,1448,1341,7425,389,138,41,22,14,,,,,,,,3615,,,,,,,,,,,,,,,,,,26790,6,1282,28078,59583,
11,GUANAJUATO,10,CORONEO,10,18,2621,2229,,527,112,32,70,183,19,4,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,5800,3,275,6078,9461,
11,GUANAJUATO,11,CORTAZAR,55,131,17480,3226,16098,1305,427,247,1732,2137,195,58,19,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,42945,12,1254,44211,74090,
11,GUANAJUATO,12,CUERAMARO,21,40,5504,1218,337,666,164,2192,1307,329,17,7,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,11749,1,517,11734,23226,
11,GUANAJUATO,13,DOCTOR MORA,12,30,4522,1092,718,190,140,3663,430,523,58,16,7,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,11362,0,430,11792,18050,
11,GUANAJUATO,14,DOLORES HIDALGO CIN,71,192,11559,16392,1243,5829,1150,2018,840,3122,317,100,40,31,5,,,,,,,,,1160,10605,,,,,,,,,,,,,,,,54411,79,2695,54490,112026,
11,GUANAJUATO,15,GUANAJUATO,93,238,27292,8443,4861,6201,2469,1115,1495,13658,1037,318,137,60,21,,,,,,,,,,,,,,,,,,,,,,,,,,67107,50,2224,69381,137513,
11,GUANAJUATO,16,HUANIMARO,13,29,2576,176,872,2410,38,1503,117,275,11,5,1,1,1,,,,,,,,,,,1423,,,,,,,,,,,,,,,9409,1,420,9830,16900,
11,GUANAJUATO,17,IRAPUATO,249,680,75192,38293,2229,5683,5393,2267,2962,43437,2823,1172,484,172,118,,,,,,,,,,,,17987,,,,,,,,,,,,,,198212,372,6326,204910,415087,
11,GUANAJUATO,18,JARAL DEL PROGRESO,26,51,6980,7263,261,825,120,125,1475,899,41,18,16,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,18032,3,503,18032,28989,
11,GUANAJUATO,19,JERECUARO,56,81,4162,7303,286,2641,203,3374,155,1710,102,42,20,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,20010,5,1322,20015,41440,
11,GUANAJUATO,20,LEON,723,1836,326206,64268,7078,63529,9824,11732,9623,81144,7977,1976,842,345,174,,,,,,,,,,,,,,,,,,,,,,,,,,584718,480,18872,604070,1114438,
11,GUANAJUATO,21,MOROLEON,35,76,4309,2848,10730,1814,358,279,174,2606,92,27,24,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,23268,11,700,23979,43487,
11,GUANAJUATO,22,OCAMPO,18,36,3242,3102,464,204,66,2149,255,427,22,5,7,2,0,,,,,,,,,,,,,99,,,,,,,,,,,,,10044,1,403,10045,17804,
11,GUANAJUATO,23,PENJAMO,114,228,17425,12705,1077,3420,1416,602,978,13457,378,398,157,55,36,,,,,,,,,,,,,,1925,,,,,,,,,,,,54029,103,2324,54132,124292,
11,GUANAJUATO,24,PUEBLO NUEVO,8,21,1410,3175,214,73,31,51,1849,208,9,1,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,7025,0,252,7277,10744,
11,GUANAJUATO,25,PURISIMA DEL RINCON,25,86,14681,7446,,1492,249,249,501,1958,119,39,23,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,26765,8,782,26773,53515,
11,GUANAJUATO,26,ROMITA,50,84,6432,10107,367,458,257,163,2813,3630,55,96,45,33,4,,,,,,,,,,,,,,,,,,,,,,,,,,24460,24,743,25227,45218,
11,GUANAJUATO,27,SALAMANCA,154,361,28948,15063,1573,3342,3100,1448,1946,27383,1099,636,256,97,56,,,,,,,,,,,,,,,3653,24675,,,,,,,,,,113275,209,3765,117249,212516,
11,GUANAJUATO,28,SALVATIERRA,84,153,18337,8548,984,3495,1016,733,1023,7675,322,275,107,32,19,,,,,,,,,,,,,,,,,,,,,,,,,,42566,19,1650,42585,84454,
11,GUANAJUATO,29,SAN DIEGO DE LA UNION,28,50,7659,4248,630,560,173,886,188,542,124,17,4,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,15045,2,584,15631,27250,
11,GUANAJUATO,30,SAN FELIPE,71,146,8172,4247,750,10220,496,2609,7416,2189,172,48,23,19,2,,,,,,,,,,,,,,,,,725,,,,,,,,,37088,47,1998,39133,80941,
11,GUANAJUATO,31,SAN FRANCISCO DEL RINCON,59,153,12786,17392,252,9481,442,2002,342,3915,176,63,50,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,46920,10,1436,46930,91009,
11,GUANAJUATO,32,SAN JOSE ITURBIDE,38,99,6251,1565,1233,2500,609,5968,4859,6700,315,165,64,35,9,,,,,,,,,,,,,,,,,,397,,,,,,,,30670,29,1658,30699,58276,
11,GUANAJUATO,33,SAN LUIS DE LA PAZ,57,148,12097,13623,1528,2790,830,961,1934,7050,537,144,51,23,19,,,,,,,,,,,,,,,,,,,,,,,,,,41587,29,2062,41587,88157,
11,GUANAJUATO,34,SANTA CATARINA,5,10,1513,1145,,,,27,,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2912,1,90,3003,4309,
11,GUANAJUATO,35,SANTA CRUZ DE JUVENTINO ROSAS,36,101,8020,1763,12626,1847,370,168,421,5336,227,64,32,17,8,,,,,,,,,,,,,,,,,,,,,1355,,,,,32254,20,1063,32274,60770,
11,GUANAJUATO,36,SANTIAGO MARAVATIO,10,13,1879,2265,,84,7,,14,78,5,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,4333,0,141,4474,6671,
11,GUANAJUATO,37,SILAO DE LA VICTORIA,78,223,20146,10560,1157,7953,1418,794,1196,13827,508,373,121,57,15,,,,,,,,,,,,,,,,,,,,,,,,,,58125,41,1816,59982,134585,
11,GUANAJUATO,38,TARANDACUAO,12,20,1968,1360,,1149,30,363,412,440,13,8,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,5750,1,240,5751,10229,
11,GUANAJUATO,39,TARIMORO,34,60,6797,3280,180,914,251,1189,375,1902,68,37,21,7,5,,,,,,,,,,,,,,,,,,,,,,958,,,,15984,35,596,16019,31224,
11,GUANAJUATO,40,TIERRA BLANCA,10,23,2694,1643,2070,2301,0,103,21,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9198,1,361,9199,13033,
11,GUANAJUATO,41,URIANGATO,26,81,2407,8164,149,5194,176,1067,209,2050,119,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,6536,,,26071,6,894,26077,49270,
