ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,MORENA_PT_ES,MORENA_PT,MORENA_ES,PT_ES,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
11,GUANAJUATO,18,PENJAMO,1,ABASOLO,1,3,250,441,4,40,13,10,6,131,4,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,902,0,30,932,1535
11,GUANAJUATO,18,PENJAMO,1,ABASOLO,2,3,341,476,7,41,13,6,12,262,8,5,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,1175,0,33,1208,1987
11,GUANAJUATO,18,PENJAMO,1,ABASOLO,3,3,226,379,2,38,14,4,15,174,6,5,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,867,0,19,886,1519
11,GUANAJUATO,18,PENJAMO,1,ABASOLO,4,2,158,319,3,23,5,2,8,99,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,619,0,11,630,970
11,GUANAJUATO,18,PENJAMO,1,ABASOLO,5,2,160,297,0,32,10,4,7,82,12,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,607,1,22,630,1094
11,GUANAJUATO,18,PENJAMO,1,ABASOLO,6,4,354,618,4,48,30,9,17,241,9,7,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,1344,0,33,1377,2809
11,GUANAJUATO,18,PENJAMO,1,ABASOLO,7,2,211,329,4,54,5,8,11,109,6,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,738,0,9,747,1322
11,GUANAJUATO,18,PENJAMO,1,ABASOLO,8,2,258,391,3,23,11,4,14,142,15,9,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,873,0,32,905,1397
11,GUANAJUATO,18,PENJAMO,1,ABASOLO,9,4,319,642,1,44,21,6,23,260,8,6,6,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,1338,1,42,1381,2296
11,GUANAJUATO,18,PENJAMO,1,ABASOLO,10,3,319,405,14,36,17,5,10,245,4,11,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,1070,0,22,1092,1821
11,GUANAJUATO,18,PENJAMO,1,ABASOLO,11,5,525,853,13,101,22,5,27,320,15,4,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,1890,0,31,1921,3411
11,GUANAJUATO,18,PENJAMO,1,ABASOLO,12,2,80,325,14,22,18,11,11,123,10,3,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,618,0,36,654,1302
11,GUANAJUATO,18,PENJAMO,1,ABASOLO,13,1,84,122,7,27,17,7,7,97,2,3,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,377,0,26,403,749
11,GUANAJUATO,18,PENJAMO,1,ABASOLO,14,1,48,40,3,15,13,2,3,40,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,166,0,7,173,338
11,GUANAJUATO,18,PENJAMO,1,ABASOLO,15,1,113,36,4,16,4,4,4,54,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,238,0,9,247,695
11,GUANAJUATO,18,PENJAMO,1,ABASOLO,16,3,212,341,16,25,47,10,8,185,7,8,7,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,868,0,55,923,1837
11,GUANAJUATO,18,PENJAMO,1,ABASOLO,17,2,184,201,11,20,34,4,5,230,5,8,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,709,0,28,737,1369
11,GUANAJUATO,18,PENJAMO,1,ABASOLO,18,2,110,82,6,44,17,3,4,119,6,5,8,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,407,0,18,425,883
11,GUANAJUATO,18,PENJAMO,1,ABASOLO,19,2,132,56,10,23,36,4,1,175,11,13,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,465,0,8,473,1115
11,GUANAJUATO,18,PENJAMO,1,ABASOLO,20,3,279,152,7,12,29,9,9,270,7,10,7,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,794,0,27,821,1941
11,GUANAJUATO,18,PENJAMO,1,ABASOLO,21,3,148,172,9,20,49,8,1,308,12,9,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,748,0,24,772,1808
11,GUANAJUATO,18,PENJAMO,1,ABASOLO,22,4,274,215,6,57,41,12,7,345,5,12,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,978,1,36,1015,2219
11,GUANAJUATO,18,PENJAMO,1,ABASOLO,23,1,105,42,3,20,5,1,1,46,4,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,229,0,2,231,497
11,GUANAJUATO,18,PENJAMO,1,ABASOLO,24,3,313,287,12,44,22,7,13,351,8,13,9,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,1084,0,41,1125,1814
11,GUANAJUATO,18,PENJAMO,1,ABASOLO,25,2,135,158,3,24,9,3,9,154,1,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,500,0,12,512,991
11,GUANAJUATO,18,PENJAMO,1,ABASOLO,26,3,119,91,10,20,46,7,3,534,18,21,6,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,877,0,30,907,1619
11,GUANAJUATO,18,PENJAMO,1,ABASOLO,27,3,257,244,4,48,21,6,6,195,22,8,2,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,822,0,19,841,1523
11,GUANAJUATO,18,PENJAMO,1,ABASOLO,28,1,72,62,8,16,9,4,1,72,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,247,0,3,250,402
11,GUANAJUATO,18,PENJAMO,1,ABASOLO,29,2,155,169,4,20,15,3,7,84,11,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,471,0,25,496,989
11,GUANAJUATO,18,PENJAMO,1,ABASOLO,30,2,168,74,5,32,13,5,2,80,4,6,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,391,0,18,409,796
11,GUANAJUATO,18,PENJAMO,1,ABASOLO,31,3,214,177,21,50,30,6,5,261,10,7,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,786,0,17,803,1610
