ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,PRS,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD_PT_PRS,PAN_PRD_PT,PAN_PRD_PRS,PAN_PT_PRS,PRD_PT_PRS,PAN_PRD,PAN_PT,PAN_PRS,PRD_PT,PRD_PRS,PT_PRS,CAND_IND38,CAND_IND39,CAND_IND40,CAND_IND41,CAND_IND42,CAND_IND43,CAND_IND44,CAND_IND45,CAND_IND46,CAND_IND47,CAND_IND48,CAND_IND49,CAND_IND50,CAND_IND51,CAND_IND52,CAND_IND53,CAND_IND54,CAND_IND55,CAND_IND56,CAND_IND57,CAND_IND58,CAND_IND59,CAND_IND60,CAND_IND61,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
18,NAYARIT,1,ACAPONETA,47,64,780,4704,2012,112,570,61,348,175,7090,302,49,16,1,3,3,64,1,1,17,1,5,835,,,,,,,,,,,,,,,,,,,,,,,,3,17150,803,17956,25837,0.695
18,NAYARIT,2,AHUACATLAN,17,26,1877,3012,43,73,0,43,2169,30,231,0,21,5,4,2,0,4,11,1,0,0,1,,606,,,,,,,,,,,,,,,,,,,,,,,1,8133,211,8345,11841,0.7048
18,NAYARIT,3,AMATLAN DE CAÑAS,22,26,1018,1531,392,65,0,14,191,756,493,1913,10,3,1,0,0,4,9,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,6405,221,6626,9290,0.7132
18,NAYARIT,4,BAHIA DE BANDERAS,34,148,13486,13747,1094,2042,327,432,4263,590,1389,0,550,106,13,11,4,105,67,11,32,1,9,,,8214,,,,,,,,,,,,,,,,,,,,,,5,46493,1475,47973,96718,0.496
18,NAYARIT,5,COMPOSTELA,72,115,10044,8440,552,945,431,301,2416,337,3603,501,101,37,7,8,2,37,52,11,13,1,6,,,,2885,,,,,,,,,,,,,,,,,,,,,9,30730,1223,31962,54393,0.5876
18,NAYARIT,6,HUAJICORI,19,24,111,2597,751,23,0,17,39,40,2252,0,11,2,0,1,1,17,1,1,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,5871,222,6093,7764,0.7848
18,NAYARIT,7,IXTLAN DEL RIO,24,40,3464,1552,84,285,1842,25,4443,44,253,180,30,9,1,0,1,4,30,1,5,0,0,,,,,515,,,,,,,,,,,,,,,,,,,,3,12768,535,13306,20223,0.658
18,NAYARIT,8,JALA,18,28,3299,3472,38,15,66,5,733,1251,251,48,15,3,2,1,0,8,2,2,0,0,1,,,,,,251,,,,,,,,,,,,,,,,,,,0,9463,282,9745,12805,0.761
18,NAYARIT,9,DEL NAYAR,20,50,7101,2694,588,116,496,82,756,226,879,350,87,14,4,2,0,54,14,15,7,2,0,,,,,,,1553,145,,,,,,,,,,,,,,,,,0,15185,1137,16322,24778,0.6587
18,NAYARIT,10,ROSAMORADA,43,61,2307,4433,756,1164,155,78,258,4363,2293,138,76,15,2,7,2,28,30,3,15,2,3,,,,,,,,,1068,,,,,,,,,,,,,,,,0,17196,686,17882,25130,0.7116
18,NAYARIT,11,RUIZ,27,41,6390,3475,126,122,0,31,673,0,289,72,60,16,8,1,0,26,6,9,2,0,3,,,,,,,,,,133,,,,,,,,,,,,,,,3,11442,317,11762,16748,0.7023
18,NAYARIT,12,SAN BLAS,48,67,3205,4387,491,176,357,123,779,2621,1338,253,28,9,4,1,1,25,15,3,4,2,3,,,,,,,,,,,326,3538,,,,,,,,,,,,,4,17689,1042,18735,28811,0.6503
18,NAYARIT,13,SAN PEDRO LAGUNILLAS,12,15,1620,986,82,25,616,9,56,14,374,0,15,3,1,0,0,11,4,1,1,0,3,,,,,,,,,,,,,437,,,,,,,,,,,,0,4258,160,4418,6216,0.7107
18,NAYARIT,14,SANTA MARIA DEL ORO,23,37,1040,3411,700,680,471,50,1259,2426,1271,0,21,14,1,2,1,15,15,2,18,3,1,,,,,,,,,,,,,,,,,,,,,,,,,3,11401,623,12027,17397,0.6913
18,NAYARIT,15,SANTIAGO IXCUINTLA,112,150,9329,12551,9858,1918,797,653,1078,549,2956,321,392,125,22,5,24,291,35,14,91,15,14,,,,,,,,,,,,,,1660,,,,,,,,,,,7,42698,1691,44396,69121,0.6423
18,NAYARIT,16,TECUALA,50,65,1382,6006,2180,118,447,93,740,462,985,74,47,13,4,2,4,65,3,2,17,5,1,,,,,,,,,,,,,,,5509,,,,,,,,,,0,18159,842,19001,28594,0.6645
18,NAYARIT,17,TEPIC,298,536,31510,28825,13823,3210,3417,577,4184,2436,16965,1360,1003,322,29,16,26,705,91,26,124,11,49,,,,,,,,,,,,,,,,26476,2456,35082,,,,,,,57,172723,4679,177459,290823,0.6102
18,NAYARIT,18,TUXPAN,34,48,4559,4993,1165,515,94,86,354,957,711,362,48,17,3,0,2,47,15,2,10,0,0,,,,,,,,,,,,,,,,,,,423,283,,,,,4,14646,535,15185,22045,0.6888
18,NAYARIT,19,XALISCO,22,65,8362,4344,477,269,274,46,1007,415,2476,229,91,26,2,1,2,73,10,3,9,0,2,,,,,,,,,,,,,,,,,,,,,610,3720,,,3,22448,723,23174,37730,0.6142
18,NAYARIT,20,LA YESCA,11,18,521,861,25,115,0,27,1741,0,1711,0,20,7,6,4,0,2,13,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,,108,101,0,5266,227,5493,7846,0.7001
