ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,PRS,MC,NVA_ALIANZA,MORENA,ES,CAND_IND38,CAND_IND39,CAND_IND40,CAND_IND41,CAND_IND42,CAND_IND43,CAND_IND44,CAND_IND45,CAND_IND46,CAND_IND47,CAND_IND48,CAND_IND49,CAND_IND50,CAND_IND51,CAND_IND52,CAND_IND53,CAND_IND54,CAND_IND55,CAND_IND56,CAND_IND57,CAND_IND58,CAND_IND59,CAND_IND60,CAND_IND61,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
18,NAYARIT,1,ACAPONETA,47,64,832,4704,2075,142,570,77,348,175,7090,302,835,,,,,,,,,,,,,,,,,,,,,,,,3,17150,803,17956,25837,0.695
18,NAYARIT,2,AHUACATLAN,17,26,1897,3012,52,87,0,49,2169,30,231,0,,606,,,,,,,,,,,,,,,,,,,,,,,1,8133,211,8345,11841,0.7048
18,NAYARIT,3,AMATLAN DE CAÑAS,22,26,1031,1531,400,73,0,17,191,756,493,1913,,,,,,,,,,,,,,,,,,,,,,,,,0,6405,221,6626,9290,0.7132
18,NAYARIT,4,BAHIA DE BANDERAS,34,148,13762,13747,1340,2275,327,586,4263,590,1389,0,,,8214,,,,,,,,,,,,,,,,,,,,,,5,46493,1475,47973,96718,0.496
18,NAYARIT,5,COMPOSTELA,72,115,10140,8440,617,1022,431,338,2416,337,3603,501,,,,2885,,,,,,,,,,,,,,,,,,,,,9,30730,1223,31962,54393,0.5876
18,NAYARIT,6,HUAJICORI,19,24,126,2597,769,29,0,19,39,40,2252,0,,,,,,,,,,,,,,,,,,,,,,,,,0,5871,222,6093,7764,0.7848
18,NAYARIT,7,IXTLAN DEL RIO,24,40,3494,1552,98,315,1842,32,4443,44,253,180,,,,,515,,,,,,,,,,,,,,,,,,,,3,12768,535,13306,20223,0.658
18,NAYARIT,8,JALA,18,28,3312,3472,48,22,66,9,733,1251,251,48,,,,,,251,,,,,,,,,,,,,,,,,,,0,9463,282,9745,12805,0.761
18,NAYARIT,9,DEL NAYAR,20,50,7173,2694,648,153,496,112,756,226,879,350,,,,,,,1553,145,,,,,,,,,,,,,,,,,0,15185,1137,16322,24778,0.6587
18,NAYARIT,10,ROSAMORADA,43,61,2366,4433,804,1216,155,102,258,4363,2293,138,,,,,,,,,1068,,,,,,,,,,,,,,,,0,17196,686,17882,25130,0.7116
18,NAYARIT,11,RUIZ,27,41,6436,3475,163,148,0,53,673,0,289,72,,,,,,,,,,133,,,,,,,,,,,,,,,3,11442,317,11762,16748,0.7023
18,NAYARIT,12,SAN BLAS,48,67,3241,4387,518,197,357,134,779,2621,1338,253,,,,,,,,,,,326,3538,,,,,,,,,,,,,4,17689,1042,18735,28811,0.6503
18,NAYARIT,13,SAN PEDRO LAGUNILLAS,12,15,1635,986,93,34,616,13,56,14,374,0,,,,,,,,,,,,,437,,,,,,,,,,,,0,4258,160,4418,6216,0.7107
18,NAYARIT,14,SANTA MARIA DEL ORO,23,37,1070,3411,729,707,471,57,1259,2426,1271,0,,,,,,,,,,,,,,,,,,,,,,,,,3,11401,623,12027,17397,0.6913
18,NAYARIT,15,SANTIAGO IXCUINTLA,112,150,9648,12551,10214,2136,797,788,1078,549,2956,321,,,,,,,,,,,,,,1660,,,,,,,,,,,7,42698,1691,44396,69121,0.6423
18,NAYARIT,16,TECUALA,50,65,1435,6006,2246,146,447,109,740,462,985,74,,,,,,,,,,,,,,,5509,,,,,,,,,,0,18159,842,19001,28594,0.6645
18,NAYARIT,17,TEPIC,298,536,32297,28825,14620,3714,3417,891,4184,2436,16965,1360,,,,,,,,,,,,,,,,26476,2456,35082,,,,,,,57,172723,4679,177459,290823,0.6102
18,NAYARIT,18,TUXPAN,34,48,4611,4993,1213,545,94,100,354,957,711,362,,,,,,,,,,,,,,,,,,,423,283,,,,,4,14646,535,15185,22045,0.6888
18,NAYARIT,19,XALISCO,22,65,8440,4344,552,311,274,70,1007,415,2476,229,,,,,,,,,,,,,,,,,,,,,610,3720,,,3,22448,723,23174,37730,0.6142
18,NAYARIT,20,LA YESCA,11,18,542,861,35,130,0,37,1741,0,1711,0,,,,,,,,,,,,,,,,,,,,,,,108,101,0,5266,227,5493,7846,0.7001
