CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,PRS,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD_PT_PRS,PAN_PRD_PT,PAN_PRD_PRS,PAN_PT_PRS,PRD_PT_PRS,PAN_PRD,PAN_PT,PAN_PRS,PRD_PT,PRD_PRS,PT_PRS,CAND_IND38,CAND_IND39,CAND_IND40,CAND_IND41,CAND_IND42,CAND_IND43,CAND_IND44,CAND_IND45,CAND_IND46,CAND_IND47,CAND_IND48,CAND_IND49,CAND_IND50,CAND_IND51,CAND_IND52,CAND_IND53,CAND_IND54,CAND_IND55,CAND_IND56,CAND_IND57,CAND_IND58,CAND_IND59,CAND_IND60,CAND_IND61,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,1,B,4,121,25,13,11,1,6,2,116,9,0,0,0,0,0,0,0,0,0,0,0,16,,,,,,,,,,,,,,,,,,,,,,,,0,324,21,345,486,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,2,B,8,101,21,1,14,1,5,4,101,5,3,0,0,0,0,1,0,0,1,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,0,275,15,290,476,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,2,C01,12,107,26,2,10,0,4,3,110,7,0,1,0,0,0,3,0,0,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,0,295,21,316,475,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,3,B,16,116,75,1,7,2,7,12,111,3,3,0,0,0,1,2,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,0,363,17,380,651,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,3,C01,15,103,55,1,16,1,14,6,110,5,2,2,0,0,0,0,0,0,2,0,0,14,,,,,,,,,,,,,,,,,,,,,,,,0,346,14,360,651,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,3,C02,13,98,49,1,11,1,6,4,147,6,4,0,0,0,0,1,0,0,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,0,354,10,364,651,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,4,B,10,101,57,4,14,1,21,6,182,2,2,1,0,0,0,0,0,0,1,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,0,412,8,420,672,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,5,B,10,76,48,1,14,3,5,5,96,10,1,0,0,0,0,1,0,0,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,0,282,17,299,456,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,5,C01,12,56,59,2,19,1,2,3,107,7,1,1,0,1,1,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,0,277,17,294,456,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,6,B,3,71,53,2,18,1,5,3,104,4,0,0,0,0,0,0,0,0,0,0,0,24,,,,,,,,,,,,,,,,,,,,,,,,0,288,12,300,418,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,7,B,16,71,61,3,6,1,10,3,132,9,1,0,0,0,0,1,0,0,0,0,0,24,,,,,,,,,,,,,,,,,,,,,,,,1,338,7,346,474,,,,
