ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
23,QUINTANA ROO,1,KANTUNILKIN,54,128,13010,13201,1933,4689,717,1112,812,4095,1716,1290,239,698,23,5,46,43540,1387,44973,75198,0.5981
23,QUINTANA ROO,2,CANCÚN,66,138,4399,6117,2011,6814,1363,903,636,6363,3304,519,141,559,12,8,51,33149,1228,34428,81055,0.4247
23,QUINTANA ROO,3,CANCÚN,60,112,3194,3914,1846,5885,515,562,1071,4125,5520,603,151,460,6,12,22,27864,1109,28995,61851,0.4688
23,QUINTANA ROO,4,CANCÚN,62,115,3678,5351,2319,8415,496,736,519,4200,2964,620,141,769,14,12,29,30234,1184,31447,63626,0.4942
23,QUINTANA ROO,5,CANCÚN,80,145,7432,5900,2460,6349,739,1017,741,5800,2620,998,131,797,38,11,84,35033,1582,36699,76928,0.4771
23,QUINTANA ROO,6,CANCÚN,53,114,5141,5795,2090,6945,755,940,750,5363,3045,734,198,892,2,7,48,32657,1374,34079,67707,0.5033
23,QUINTANA ROO,7,CANCÚN,53,120,7987,5629,2018,5598,594,1166,918,5653,2791,795,122,707,7,19,88,34004,1446,35538,71906,0.4942
23,QUINTANA ROO,8,CANCÚN,48,117,9335,5166,1421,5401,422,2300,632,3924,1977,772,94,575,3,9,54,32031,1300,33385,71606,0.4787
23,QUINTANA ROO,9,TULUM,127,204,8229,14196,5496,2119,613,793,846,8760,1443,2325,268,670,32,8,33,45798,1524,47355,109016,0.4344
23,QUINTANA ROO,10,PLAYA DEL CARMEN,71,139,7104,8073,3620,1287,460,703,643,7407,1340,1613,0,0,0,0,45,32250,1428,33723,79361,0.4249
23,QUINTANA ROO,11,COZUMEL,22,97,17308,13606,987,1035,261,533,316,1894,660,1639,111,421,7,8,16,38786,938,39740,63872,0.6222
23,QUINTANA ROO,12,FELIPE CARRILLO PUERTO,43,103,5041,14377,8841,1296,445,198,1339,3003,2654,2400,0,0,0,0,15,39594,2461,42070,58464,0.7196
23,QUINTANA ROO,13,BACALAR,65,124,5868,14353,5186,1319,4855,424,2196,3445,2187,1671,690,363,77,25,18,42659,2060,44737,65955,0.6783
23,QUINTANA ROO,14,CHETUMAL,56,120,19162,10684,2085,692,752,657,770,4069,970,3058,136,358,21,1,24,43415,1154,44593,67894,0.6568
23,QUINTANA ROO,15,CHETUMAL,78,127,18667,9456,1698,1370,657,568,917,4168,2215,2734,0,0,0,0,24,42450,1357,43831,68858,0.6365
