CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,21,B,48,65,14,40,11,11,4,36,14,7,1,6,0,0,4,257,10,271,534,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/D0985-D0986.JPG
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,1,B,42,63,27,79,3,15,9,39,38,7,1,14,0,0,2,337,16,355,735,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/D0755-D0756.JPG
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,1,C01,37,61,36,65,3,8,7,54,26,9,2,17,0,0,0,325,22,347,735,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/D0757-D0758.JPG
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,1,C02,36,54,28,87,1,7,7,54,58,7,1,9,0,1,0,350,6,356,735,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/D0759-D0760.JPG
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,1,C03,36,48,23,53,6,10,5,51,32,12,2,8,0,0,1,286,14,301,735,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/D0761-D0762.JPG
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,1,C04,36,64,34,69,5,10,11,49,33,12,0,10,0,0,0,333,25,358,735,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/D0763-D0764.JPG
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,1,C07,36,51,42,69,4,8,8,54,41,8,1,8,0,0,0,330,14,344,734,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/D0769-D0770.JPG
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,1,C08,41,63,33,61,4,3,5,50,37,10,0,9,0,0,0,316,10,326,734,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/D0771-D0772.JPG
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,1,C09,45,51,35,98,3,7,8,58,35,6,0,10,0,0,0,356,11,367,734,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/D0773-D0774.JPG
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,4,B,71,65,22,53,2,13,8,49,33,13,3,1,0,0,0,333,15,348,714,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/D0775-D0776.JPG
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,4,C01,54,77,29,47,4,14,3,51,29,6,0,6,0,0,0,320,16,336,714,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/D0777-D0778.JPG
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,4,C02,64,75,25,51,4,13,4,50,32,13,0,5,0,0,1,336,16,353,713,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/D0779-D0780.JPG
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,5,B,49,51,20,53,8,10,7,63,24,11,0,2,0,0,3,298,16,317,660,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/D0781-D0782.JPG
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,5,C01,44,57,28,56,8,13,2,59,23,12,1,3,0,0,0,306,15,321,660,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/D0783-D0784.JPG
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,5,C02,64,41,25,50,10,1,3,56,27,8,0,3,0,0,1,288,7,296,659,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/D0785-D0786.JPG
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,5,C03,50,48,17,42,6,16,6,53,26,9,0,3,0,0,4,276,9,289,659,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/D0787-D0788.JPG
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,5,C04,50,49,14,49,2,10,3,44,27,9,0,3,0,0,0,260,10,270,659,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/D0789-D0790.JPG
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,5,C05,47,51,23,39,6,11,6,47,29,6,0,3,0,0,1,268,9,278,659,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/D0791-D0792.JPG
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,21,C01,71,44,18,28,3,7,11,37,12,4,0,7,0,0,0,242,14,256,533,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/D0987-D0988.JPG
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,22,B,47,42,13,44,5,4,5,36,19,8,1,6,0,0,0,230,8,238,519,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/D0989-D0990.JPG
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,6,B,27,25,12,41,3,8,2,32,9,4,0,5,0,0,1,168,2,171,437,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/D0793-D0794.JPG
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,22,C01,50,49,15,37,6,4,4,52,20,5,2,8,0,0,0,252,7,259,519,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/D0991-D0992.JPG
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,23,B,32,25,12,44,2,3,7,49,20,0,0,0,0,0,1,194,12,207,406,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/D0993-D0994.JPG
