"","uniqueid","year","mun","state","Validation"
"1",7091,2015,"TAPILULA EXTRAORDINARIO","CHIAPAS",1
"2",7091,2015,"TAPILULA EXTRAORDINARIO","CHIAPAS",1
"3",7091,2015,"TAPILULA EXTRAORDINARIO","CHIAPAS",1
"4",7091,2015,"TAPILULA EXTRAORDINARIO","CHIAPAS",1
"5",7091,2015,"TAPILULA EXTRAORDINARIO","CHIAPAS",1
"6",8015,2013,"COYAME DEL SOTOL EXTRAORDINARIO","CHIHUAHUA",1
"7",8015,2013,"COYAME DEL SOTOL EXTRAORDINARIO","CHIHUAHUA",1
"8",8015,2013,"COYAME DEL SOTOL EXTRAORDINARIO","CHIHUAHUA",1
"9",8015,2013,"COYAME DEL SOTOL EXTRAORDINARIO","CHIHUAHUA",1
"10",13045,2016,"Omitlán De Juárez","HIDALGO",1
"11",13045,2016,"Omitlán De Juárez","HIDALGO",1
"12",13045,2016,"Omitlán De Juárez","HIDALGO",1
"13",13045,2016,"Omitlán De Juárez","HIDALGO",1
"14",13045,2016,"Omitlán De Juárez","HIDALGO",1
"15",13045,2016,"Omitlán De Juárez","HIDALGO",1
"16",13045,2016,"Omitlán De Juárez","HIDALGO",1
"17",13045,2016,"Omitlán De Juárez","HIDALGO",1
"18",13045,2016,"Omitlán De Juárez","HIDALGO",1
"19",13045,2016,"Omitlán De Juárez","HIDALGO",1
"20",14079,2009,"GOMEZ FARIAS","JALISCO",1
"21",14079,2009,"GOMEZ FARIAS","JALISCO",1
"22",14079,2009,"GOMEZ FARIAS","JALISCO",1
"23",14079,2009,"GOMEZ FARIAS","JALISCO",1
"24",14079,2009,"GOMEZ FARIAS","JALISCO",1
"25",14079,2009,"GOMEZ FARIAS","JALISCO",1
"26",14079,2009,"GOMEZ FARIAS","JALISCO",1
"27",14079,2009,"GOMEZ FARIAS","JALISCO",1
"28",14079,2009,"GÓMEZ FARÍAS EXTRAORDINARIO","JALISCO",1
"29",14079,2009,"GÓMEZ FARÍAS EXTRAORDINARIO","JALISCO",1
"30",14079,2009,"GÓMEZ FARÍAS EXTRAORDINARIO","JALISCO",1
"31",14079,2009,"GÓMEZ FARÍAS EXTRAORDINARIO","JALISCO",1
"32",14079,2009,"GÓMEZ FARÍAS EXTRAORDINARIO","JALISCO",1
"33",14079,2009,"GÓMEZ FARÍAS EXTRAORDINARIO","JALISCO",1
"34",14079,2009,"GÓMEZ FARÍAS EXTRAORDINARIO","JALISCO",1
"35",14079,2009,"GÓMEZ FARÍAS EXTRAORDINARIO","JALISCO",1
"36",14071,2009,"SAN CRISTÓBAL DE LA BARRANCA EXTRAORDINARIO","JALISCO",1
"37",14071,2009,"SAN CRISTÓBAL DE LA BARRANCA EXTRAORDINARIO","JALISCO",1
"38",14071,2009,"SAN CRISTÓBAL DE LA BARRANCA EXTRAORDINARIO","JALISCO",1
"39",14071,2009,"SAN CRISTÓBAL DE LA BARRANCA EXTRAORDINARIO","JALISCO",1
"40",14071,2009,"SAN CRISTÓBAL DE LA BARRANCA EXTRAORDINARIO","JALISCO",1
"41",15011,2003,"ATENCO","MEXICO",1
"42",15011,2003,"ATENCO","MEXICO",1
"43",15011,2003,"ATENCO","MEXICO",1
"44",15011,2003,"ATENCO","MEXICO",1
"45",15011,2003,"ATENCO","MEXICO",1
"46",15011,2003,"ATENCO","MEXICO",1
"47",15011,2003,"ATENCO","MEXICO",1
"48",15011,2003,"ATENCO","MEXICO",1
"49",15011,2003,"ATENCO","MEXICO",1
"50",15011,2003,"ATENCO","MEXICO",1
"51",15011,2003,"ATENCO","MEXICO",1
"52",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"53",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"54",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"55",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"56",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"57",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"58",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"59",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"60",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"61",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"62",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"63",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"64",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"65",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"66",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"67",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"68",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"69",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"70",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"71",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"72",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"73",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"74",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"75",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"76",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"77",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"78",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"79",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"80",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"81",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"82",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"83",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
