MUNICIPIO,DISTRITO,SECCIN,CASILLA,TIPO,PAN,PRI,PRD-PT,PVEM,MRPS,PPS,NOREGISTRADOS,NULO,TOTAL,LISTA NOMINAL
COMONDU,IX,1,1,B,156,147,158,0,0,1,0,5,467,651
COMONDU,IX,2,2,B,74,52,80,0,0,0,0,9,215,306
COMONDU,IX,3,3,B,180,132,188,0,0,0,0,10,510,667
COMONDU,IX,4,4,B,160,120,176,0,1,0,0,20,477,682
COMONDU,IX,4,4,ESP,27,30,22,0,0,0,0,10,89,200
COMONDU,IX,5,5,B,93,83,75,0,1,0,0,9,517,801
COMONDU,IX,5,5,C,93,78,81,0,0,0,0,4,,
COMONDU,IX,6,6,B,85,162,57,0,1,0,0,10,315,723
COMONDU,IX,7,7,B,194,126,130,0,1,0,0,7,458,614
COMONDU,IX,8,8,B,148,101,128,0,1,0,0,20,398,571
COMONDU,IX,9,9,B,129,83,118,0,1,0,0,15,346,540
COMONDU,IX,10,10,B,85,61,89,0,0,0,0,12,523,797
COMONDU,IX,10,10,C,96,82,86,0,2,0,0,10,,
COMONDU,IX,11,11,B,127,90,119,2,0,0,0,12,350,498
COMONDU,IX,12,12,B,99,95,78,0,1,0,0,6,279,382
COMONDU,IX,13,13,B,158,80,120,1,0,0,0,20,379,522
COMONDU,IX,14,14,B,123,114,104,0,1,0,0,6,348,519
COMONDU,IX,15,15,B,160,118,181,0,2,0,0,10,471,661
COMONDU,IX,16,16,B,196,128,148,0,0,0,0,6,478,688
COMONDU,IX,17,17,B,95,88,97,0,0,0,0,10,290,409
COMONDU,IX,33,33,B,68,104,98,0,2,0,0,12,284,365
COMONDU,IX,34,34,B,95,100,90,0,1,0,0,26,312,440
COMONDU,IX,35,35,B,8,18,12,0,1,0,0,13,147,353
COMONDU,IX,35,35,EXT,5,53,23,0,1,0,0,13,,
,,,,,,,,,,,,,,
COMONDU,X,18,18,B,107,64,99,0,3,0,0,27,594,828
COMONDU,X,18,18,C,117,74,86,0,1,0,0,16,,
COMONDU,X,19,19,B,109,133,115,0,1,0,0,10,368,517
COMONDU,X,20,20,B,170,134,173,0,0,0,0,14,491,736
COMONDU,X,21,21,B,121,60,95,0,0,0,0,12,576,839
COMONDU,X,21,21,C,107,73,92,0,1,0,0,15,,
COMONDU,X,22,22,B,150,127,207,0,3,0,0,17,504,764
COMONDU,X,23,23,B,119,63,105,0,2,0,0,12,603,841
COMONDU,X,23,23,C,101,66,117,0,1,0,0,17,,
COMONDU,X,24,24,B,135,107,129,0,1,0,0,16,388,514
COMONDU,X,25,25,B,96,65,107,0,1,0,0,10,566,850
COMONDU,X,25,25,C,82,73,117,0,0,0,0,15,,
COMONDU,X,26,26,B,97,70,103,0,0,0,0,17,577,845
COMONDU,X,26,26,C,105,72,101,0,0,0,0,12,,
COMONDU,X,27,27,B,121,132,110,0,0,0,0,23,386,571
COMONDU,X,28,28,B,92,121,144,0,1,0,0,20,771,1169
COMONDU,X,28,28,C,100,132,134,0,0,0,0,27,,
COMONDU,X,29,29,B,95,110,66,0,0,0,0,15,577,843
COMONDU,X,29,29,C,101,84,89,0,2,0,0,15,,
COMONDU,X,30,30,B,111,76,106,0,0,0,0,18,650,998
COMONDU,X,30,30,C,112,94,122,0,0,1,0,10,,
COMONDU,X,31,31,B,83,93,104,0,0,0,0,11,573,865
COMONDU,X,31,31,C,72,86,112,0,2,0,0,10,,
COMONDU,X,32,32,B,169,170,188,0,2,0,0,6,535,726
COMONDU,X,36,36,B,8,32,40,0,0,0,0,5,178,293
COMONDU,X,36,36,EXT,17,31,35,0,0,0,0,10,,
COMONDU,X,37,37,B,15,79,62,0,0,0,0,13,169,239
COMONDU,X,38,38,B,72,41,33,0,0,0,0,10,156,199
COMONDU,X,39,39,B,23,59,26,0,0,0,0,21,129,173
,,,,,,,,,,,,,,
COMONDU,XI,40,40,B,86,112,219,0,0,0,0,31,448,635
COMONDU,XI,41,41,B,67,69,112,0,0,0,0,15,518,851
COMONDU,XI,41,41,C,73,54,117,0,0,0,0,11,,
COMONDU,XI,42,42,B,71,108,236,0,2,0,0,27,444,707
COMONDU,XI,43,43,B,90,92,170,0,3,0,0,4,359,574
COMONDU,XI,44,44,B,64,60,112,0,2,0,0,11,501,775
COMONDU,XI,44,44,C,74,60,110,0,0,0,0,8,,
COMONDU,XI,45,45,B,100,97,164,0,0,0,0,4,365,576
COMONDU,XI,46,46,B,86,96,223,0,0,0,0,12,417,621
COMONDU,XI,47,47,B,77,107,170,0,0,0,0,13,367,534
COMONDU,XI,48,48,B,57,74,120,0,0,0,0,16,645,862
COMONDU,XI,48,48,C,67,81,126,0,3,0,0,12,,
COMONDU,XI,48,48,EXT,30,30,19,0,2,0,0,8,,
COMONDU,XI,49,49,B,22,55,9,0,0,0,0,12,98,132
COMONDU,XI,50,50,B,29,51,54,0,0,0,0,7,141,227
COMONDU,XI,51,51,B,25,101,39,0,0,0,0,4,169,278
COMONDU,XI,52,52,B,26,125,81,0,2,0,0,10,244,376
COMONDU,XI,53,53,B,32,144,54,0,0,0,0,8,238,320
