uniqueid,year,incumbent_party_inafed,incumbent_candidate_inafed
30001,1955,NA,C. ROBERTO CEBALLOS
30001,1961,NA,C. FERNANDO MORALES MORALES
30001,1964,NA,C. ARMANDO MORALES E.
30001,1967,NA,C. CARLOS ARENTAS CEBALLOS
30001,1970,NA,C. ROBERTO CEBALLOS M.
30001,1973,NA,C. ERNESTO HERNÁNDEZ H.
30001,1976,NA,C. ANGEL LUIS HERNÁNDEZ MORALES
30001,1979,NA,C. TIBURCIO MORALES HOYOS
30001,1982,NA,C. JAVIER RAMÍREZ MARTÍNEZ
30001,1985,NA,C. RUBÉN ALBA MORALES
30001,1988,NA,C. LUIS HERNÁNDEZ ALARCÓN
30001,1991,PRI,C. ROGELIO HERNANDEZ ALARCON
30001,1994,PRI,C. JUAN HERNANDEZ RAMOS
30001,1997,PAN,C. FAUSTINO GONZALEZ GUTIERREZ
30001,2000,PAN,C. HUMBERTO HERNANDEZ GUTIERREZ
30001,2004,CAFV,C. JUAN RAMON SEGURA VELASCO
30001,2007,CAFV,C. JOSE NOE HERNANDEZ SOTO
30001,2010,PAN,C. GAUDENCIO HERNANDEZ ARRIAGA
30001,2013,PAN,C. RANULFO ELEAZAR HERNANDEZ RODRIGUEZ
30001,2017,PVEM,C. JOEL MOLINA ROJAS
30001,2021,MORENA,LIC. SALVADOR HERNANDEZ HERNANDEZ
30002,1955,NA,C. EVODIO ALFONSO AGUILAR
30002,1961,NA,C. LUIS SALAS RIVERA
30002,1964,NA,C. HIGINIO SALAS MENDOZA
30002,1967,NA,C. DOMINGO SALAS GUTIÉRREZ
30002,1970,NA,C. ASCENCIÓN SALAS MENDOZA
30002,1973,NA,C. REGINO RENDÓN HERNÁNDEZ
30002,1976,NA,C. ASCENCIÓN SALAS MENDOZA
30002,1979,NA,C. HIGINIO SALAS MENDOZA
30002,1982,NA,C. ARTEMIO BAUTISTA SALAS
30002,1985,NA,C. PEDRO RAMÍREZ RENDÓN
30002,1988,NA,C. PEDRO SALAS FLORES
30002,1991,PRI,C. GONZALO CALLEJAS RENDON
30002,1994,PAN,C. EMIGDIO MENDOZA ABURTO
30002,1997,PAN,C. CARLOS RIVERA HERNANDEZ
30002,2000,COALICIÓN,C. FRANCISCO HERNANDEZ ORTEGA
30002,2004,PRV,C. MIGUEL ANGEL SALAS SANCHEZ
