ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD_PT,PAN_PRD,PAN_PT,PRD_PT,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,COAL_PRI_PVEM,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
32,ZACATECAS,1,APOZOL,11,12,1256,131,128,,33,105,1242,148,,,29,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,3075,156,3232,5408,0.5976
32,ZACATECAS,2,APULCO,8,9,249,881,29,857,30,408,,232,,,9,,,,,,,8,,,,,,,,,,,,,,,,,,,,0,2703,87,2790,4278,0.6522
32,ZACATECAS,3,ATOLINGA,8,8,167,595,93,266,23,,348,,,,35,,,,,,,4,,,,,,,,,,,,,,,,,,,,0,1531,84,1615,2455,0.6578
32,ZACATECAS,4,BENITO JUAREZ,9,9,1333,862,35,,42,,,74,,,15,,,,,,,11,,,,,,,,,,,,,,,,,,,,0,2372,47,2419,3452,0.7008
32,ZACATECAS,5,CALERA,21,48,3187,3699,978,1191,147,88,191,2046,773,,331,,,22,23,1,1,,,,,,,,,850,,,,,,,,997,,,,6,14525,439,14970,27063,0.5532
32,ZACATECAS,6,CAÑITAS DE FELIPE PESCADOR,10,13,1556,487,62,81,1001,131,489,233,88,,58,,,,,,,84,,,,,,,,,,,,,,71,,,,,,1,4341,113,4455,6021,0.7399
32,ZACATECAS,7,CONCEPCION DEL ORO,22,25,116,2732,301,118,88,128,59,2634,,,16,,,,,,,11,,,,,61,,,,,,,,,,,,,,,6,6264,111,6381,9330,0.6839
32,ZACATECAS,8,CUAUHTEMOC,11,18,135,2019,927,2079,439,,81,196,183,,49,,,,,,,46,,,,,,,,,,,,,,,,,,,,0,6154,180,6334,8644,0.7328
32,ZACATECAS,9,CHALCHIHUITES,21,25,185,2502,233,1665,27,,81,377,,,12,,,28,11,11,1,,,,,,,,,,,,,,,,,,,,,4,5133,120,5257,8408,0.6252
32,ZACATECAS,10,EL PLATEADO DE JOAQUIN AMARO,5,5,40,508,570,,12,,,4,,,27,,,,,,,21,,,,,,,,,,,,,,,,,,,,0,1182,12,1194,1656,0.721
32,ZACATECAS,11,EL SALVADOR,6,6,12,137,494,,964,,,49,22,,15,,,,,,,20,,,,,,,,,,,,,,,,,,,,0,1713,27,1740,2159,0.8059
32,ZACATECAS,12,GENERAL ENRIQUE ESTRADA,7,11,761,709,231,,61,,25,174,1047,,111,,,,,,,11,,,,,,,,,,,,,,,,,,,,1,3130,77,3208,4638,0.6917
32,ZACATECAS,13,FRESNILLO,204,313,9920,28946,6672,2751,1713,3264,1301,21865,4712,,616,,,144,369,32,24,,,,,5430,,,,,,,,,,,,,,,,68,87759,2379,90206,157447,0.5729
32,ZACATECAS,14,TRINIDAD GARCIA DE LA CADENA,7,8,359,774,39,67,23,,,341,,,25,,,,,,,7,,,,,,,,,,,,,,,,,,,,0,1635,46,1681,2781,0.6045
32,ZACATECAS,15,GENARO CODINA,16,18,239,313,694,174,699,53,,792,,,80,,,,,,,130,,,,,,,,,,,,706,,,,,,,,2,3880,150,4033,5921,0.681
32,ZACATECAS,16,GUADALUPE,106,214,3671,23364,4715,8959,2285,1749,1271,13264,2623,,250,,,160,302,23,20,,,,,,,,,,,,,,,,,,,2219,,122,64875,2225,67222,117677,0.5712
32,ZACATECAS,17,HUANUSCO,13,14,709,900,126,,43,,,377,,,72,,,,,,,34,,,,,,,,,,,,,,,,,,,,0,2261,48,2309,3903,0.5916
32,ZACATECAS,18,JALPA,34,44,1583,1834,229,714,168,3731,193,1681,106,,59,,,,,,,28,,,,,,,,,,,,,,,,,,,,4,10326,319,10649,19495,0.5462
32,ZACATECAS,19,JEREZ,95,115,6443,7818,621,806,320,73,384,1775,376,,196,,,55,23,22,60,,,,5863,,,,,,,2731,,,,,,,,,,11,27566,915,28492,49342,0.5774
32,ZACATECAS,20,JIMENEZ DEL TEUL,10,11,112,1130,159,55,53,,47,647,,,28,,,18,2,7,5,,,,,,,,,,,,,,,,,,,,,0,2263,50,2313,3311,0.6986
32,ZACATECAS,21,JUAN ALDAMA,23,32,91,3587,80,4429,153,,118,617,125,,3,,,,,,,64,,,,,,,,,,,,,,,,,,,,1,9267,279,9547,15609,0.6116
32,ZACATECAS,22,JUCHIPILA,20,25,2170,1629,403,129,61,22,45,1031,,,118,,,2,9,1,0,,,,,,,,,,449,,,,,,,,,,,2,6069,188,6259,10931,0.5726
