CIRCUNSCRIPCION	ID_ESTADO	NOMBRE_ESTADO	ID_DISTRITO	CABECERA_DISTRITAL	ID_MUNICIPIO	MUNICIPIO	SECCION	CASILLAS	PAN	PRI	PRD	PT	PVEM	MC	NVA_ALIANZA	MORENA	ES	PAN_PRD_PT	PRD_PAN	PAN_PT	PRD_PT	PRI_PVEM_NVA_ALIANZA	PRI_PVEM	PRI_NVA_ALIANZA	PVEM_NVA_ALIANZA	COAL_PRI_PVEM	CAND_IND7	CAND_IND8	CAND_IND9	CAND_IND10	CAND_IND11	CAND_IND12	CAND_IND13	CAND_IND14	CAND_IND15	CAND_IND16	CAND_IND17	CAND_IND18	CAND_IND19	CAND_IND20	CAND_IND21	CAND_IND22	CAND_IND23	CAND_IND24	CAND_IND25	NUM_VOTOS_CAN_NREG	NUM_VOTOS_VALIDOS	NUM_VOTOS_NULOS	TOTAL_VOTOS	LISTA_NOMINAL
2	32	ZACATECAS	14	TLALTENANGO DE SANCHEZ ROMAN	1	APOZOL	1	1	140	6	5	0	0	7	113	13	0		4							0																				0	288	12	300	463
2	32	ZACATECAS	14	TLALTENANGO DE SANCHEZ ROMAN	1	APOZOL	2	1	101	9	2	0	0	12	133	17	0		0							0																				0	274	2	276	495
2	32	ZACATECAS	14	TLALTENANGO DE SANCHEZ ROMAN	1	APOZOL	3	2	228	19	11	0	9	21	198	18	0		5							2																				0	511	27	538	907
2	32	ZACATECAS	14	TLALTENANGO DE SANCHEZ ROMAN	1	APOZOL	4	1	113	5	1	0	4	4	141	5	0		2							0																				0	275	17	292	434
2	32	ZACATECAS	14	TLALTENANGO DE SANCHEZ ROMAN	1	APOZOL	5	1	70	12	26	0	0	6	55	10	0		2							0																				0	181	11	192	335
2	32	ZACATECAS	14	TLALTENANGO DE SANCHEZ ROMAN	1	APOZOL	6	1	123	10	58	0	4	18	103	24	0		1							0																				0	341	22	363	677
2	32	ZACATECAS	14	TLALTENANGO DE SANCHEZ ROMAN	1	APOZOL	7	1	43	13	1	0	1	1	103	0	0		0							0																				0	162	10	172	322
2	32	ZACATECAS	14	TLALTENANGO DE SANCHEZ ROMAN	1	APOZOL	8	1	152	23	7	0	3	11	137	32	0		2							1																				0	368	26	394	605
2	32	ZACATECAS	14	TLALTENANGO DE SANCHEZ ROMAN	1	APOZOL	9	1	50	9	1	0	2	0	76	1	0		3							0																				0	142	7	149	245
2	32	ZACATECAS	14	TLALTENANGO DE SANCHEZ ROMAN	1	APOZOL	10	1	69	9	4	0	4	10	104	17	0		2							0																				0	219	6	225	330
2	32	ZACATECAS	14	TLALTENANGO DE SANCHEZ ROMAN	1	APOZOL	13	1	167	16	12	0	6	15	79	11	0		8							0																				1	314	16	331	595
2	32	ZACATECAS	13	JALPA	2	APULCO	14	1	58	135	5	70	3	114	0	73	0		2							0																				0	460	12	472	669
2	32	ZACATECAS	13	JALPA	2	APULCO	15	1	67	77	0	65	8	178	0	49	0		1							2																				0	447	12	459	690
2	32	ZACATECAS	13	JALPA	2	APULCO	16	1	2	31	0	29	0	18	0	19	0		0							0																				0	99	5	104	206
2	32	ZACATECAS	13	JALPA	2	APULCO	17	2	60	243	9	361	7	25	0	26	0		4							5																				0	740	25	765	1145
2	32	ZACATECAS	13	JALPA	2	APULCO	18	1	29	145	4	196	4	14	0	8	0		1							0																				0	401	16	417	626
2	32	ZACATECAS	13	JALPA	2	APULCO	19	1	5	91	3	66	2	17	0	19	0		0							0																				0	203	2	205	321
2	32	ZACATECAS	13	JALPA	2	APULCO	20	1	27	121	7	48	4	22	0	25	0		1							1																				0	256	13	269	444
2	32	ZACATECAS	13	JALPA	2	APULCO	21	1	1	38	1	22	2	20	0	13	0		0							0																				0	97	2	99	177
2	32	ZACATECAS	14	TLALTENANGO DE SANCHEZ ROMAN	3	ATOLINGA	22	1	34	167	33	55	4	0	137	0	0		15							1																				0	446	29	475	744
2	32	ZACATECAS	14	TLALTENANGO DE SANCHEZ ROMAN	3	ATOLINGA	23	1	33	76	9	46	3	0	65	0	0		5							0																				0	237	3	240	386
2	32	ZACATECAS	14	TLALTENANGO DE SANCHEZ ROMAN	3	ATOLINGA	24	1	26	115	17	59	8	0	57	0	0		7							1																				0	290	12	302	456
2	32	ZACATECAS	14	TLALTENANGO DE SANCHEZ ROMAN	3	ATOLINGA	26	1	31	104	13	20	3	0	18	0	0		3							2																				0	194	12	206	321
2	32	ZACATECAS	14	TLALTENANGO DE SANCHEZ ROMAN	3	ATOLINGA	27	1	14	40	11	35	2	0	23	0	0		0							0																				0	125	8	133	183
2	32	ZACATECAS	14	TLALTENANGO DE SANCHEZ ROMAN	3	ATOLINGA	28	1	12	36	8	15	1	0	14	0	0		3							0																				0	89	6	95	141
2	32	ZACATECAS	14	TLALTENANGO DE SANCHEZ ROMAN	3	ATOLINGA	29	1	5	32	1	17	2	0	13	0	0		0							0																				0	70	7	77	109
2	32	ZACATECAS	14	TLALTENANGO DE SANCHEZ ROMAN	3	ATOLINGA	30	1	12	25	1	19	0	0	21	0	0		2							0																				0	80	7	87	115
2	32	ZACATECAS	14	TLALTENANGO DE SANCHEZ ROMAN	4	BENITO JUAREZ	31	1	176	107	5	0	3	0	0	8	0		1							1																				0	301	8	309	409
2	32	ZACATECAS	14	TLALTENANGO DE SANCHEZ ROMAN	4	BENITO JUAREZ	32	1	208	110	8	0	10	0	0	10	0		1							2																				0	349	5	354	492
2	32	ZACATECAS	14	TLALTENANGO DE SANCHEZ ROMAN	4	BENITO JUAREZ	33	1	129	78	1	0	4	0	0	8	0		5							3																				0	228	11	239	344
2	32	ZACATECAS	14	TLALTENANGO DE SANCHEZ ROMAN	4	BENITO JUAREZ	34	1	159	124	5	0	2	0	0	19	0		1							2																				0	312	5	317	450
2	32	ZACATECAS	14	TLALTENANGO DE SANCHEZ ROMAN	4	BENITO JUAREZ	35	1	181	147	8	0	7	0	0	15	0		0							1																				0	359	5	364	588
2	32	ZACATECAS	14	TLALTENANGO DE SANCHEZ ROMAN	4	BENITO JUAREZ	36	1	156	71	2	0	3	0	0	4	0		4							0																				0	240	5	245	371
2	32	ZACATECAS	14	TLALTENANGO DE SANCHEZ ROMAN	4	BENITO JUAREZ	37	1	118	52	2	0	3	0	0	5	0		1							0																				0	181	3	184	258
2	32	ZACATECAS	14	TLALTENANGO DE SANCHEZ ROMAN	4	BENITO JUAREZ	38	1	115	118	4	0	4	0	0	3	0		1							1																				0	246	2	248	356
2	32	ZACATECAS	14	TLALTENANGO DE SANCHEZ ROMAN	4	BENITO JUAREZ	39	1	91	55	0	0	6	0	0	2	0		1							1																				0	156	3	159	184
2	32	ZACATECAS	16	RIO GRANDE	6	CAÑITAS DE FELIPE PESCADOR	61	2	273	62	14	9	107	21	52	15	38		5							11														12						0	619	10	629	822
