CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD_PT,PAN_PRD,PAN_PT,PRD_PT,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,COAL_PRI_PVEM,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
2,32,ZACATECAS,14,TLALTENANGO DE SANCHEZ ROMAN,1,APOZOL,1,B,140,6,5,,,7,113,13,,,4,,,,,,,0,,,,,,,,,,,,,,,,,,,,,288,12,300,463,ACTA CASILLA,,,
2,32,ZACATECAS,14,TLALTENANGO DE SANCHEZ ROMAN,1,APOZOL,2,B,101,9,2,,,12,133,17,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,274,2,276,495,ACTA CASILLA,,,
2,32,ZACATECAS,14,TLALTENANGO DE SANCHEZ ROMAN,1,APOZOL,3,B,105,8,8,,5,10,110,10,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,258,14,272,454,GRUPO DE GRUPO DE RECUENTO,,,
2,32,ZACATECAS,14,TLALTENANGO DE SANCHEZ ROMAN,1,APOZOL,3,C01,123,11,3,,4,11,88,8,,,3,,,,,,,2,,,,,,,,,,,,,,,,,,,,,253,13,266,453,ACTA CASILLA,,,
2,32,ZACATECAS,14,TLALTENANGO DE SANCHEZ ROMAN,1,APOZOL,4,B,113,5,1,,4,4,141,5,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,275,17,292,434,ACTA CASILLA,,,
2,32,ZACATECAS,14,TLALTENANGO DE SANCHEZ ROMAN,1,APOZOL,5,B,70,12,26,,,6,55,10,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,181,11,192,335,ACTA CASILLA,,,
2,32,ZACATECAS,14,TLALTENANGO DE SANCHEZ ROMAN,1,APOZOL,6,B,123,10,58,,4,18,103,24,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,341,22,363,677,ACTA CASILLA,,,
2,32,ZACATECAS,14,TLALTENANGO DE SANCHEZ ROMAN,1,APOZOL,7,B,43,13,1,,1,1,103,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,162,10,172,322,ACTA CASILLA,,,
2,32,ZACATECAS,14,TLALTENANGO DE SANCHEZ ROMAN,1,APOZOL,8,B,152,23,7,,3,11,137,32,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,368,26,394,605,GRUPO DE GRUPO DE RECUENTO,,,
2,32,ZACATECAS,14,TLALTENANGO DE SANCHEZ ROMAN,1,APOZOL,9,B,50,9,1,,2,,76,1,,,3,,,,,,,0,,,,,,,,,,,,,,,,,,,,,142,7,149,245,ACTA CASILLA,,,
