ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
27,TABASCO,1,TENOSIQUE,88,163,1308,11976,3669,5946,598,1334,504,25592,4789,670,,,,,,,,56386,38,2451,58875,82753,http://iepct.mx/elecciones2018/DIP/MR/1.pdf
27,TABASCO,2,CARDENAS,50,129,558,1696,5659,7131,674,652,364,30481,599,,1091,,,,,,,48905,38,1593,50536,76228,http://iepct.mx/elecciones2018/DIP/MR/2.pdf
27,TABASCO,3,CARDENAS,51,125,358,3650,9293,1797,920,908,460,27332,427,,,,,,,,,45145,9,2211,47365,70580,http://iepct.mx/elecciones2018/DIP/MR/3.pdf
27,TABASCO,4,HUIMANGUILLO,51,135,482,5349,11272,1623,735,832,303,27883,1296,,,,,,,,,49775,40,2567,52382,75030,http://iepct.mx/elecciones2018/DIP/MR/4.pdf
27,TABASCO,5,CENTLA,64,135,1297,4585,7292,7504,1099,1263,716,23777,3520,,,,,,,,,51053,20,2420,53493,72426,http://iepct.mx/elecciones2018/DIP/MR/5.pdf
27,TABASCO,6,CENTRO,58,142,1342,4793,2145,3680,912,1099,594,38609,831,,,,,,,2680,,56685,46,2063,58794,83103,http://iepct.mx/elecciones2018/DIP/MR/6.pdf
27,TABASCO,7,CENTRO,30,116,635,8652,1983,757,1418,1143,392,30682,548,,,1064,,,,,,47274,10,2332,49616,74728,http://iepct.mx/elecciones2018/DIP/MR/7.pdf
27,TABASCO,8,CENTRO,51,133,1398,4645,2049,1645,1082,1036,605,38325,1963,,,,,,,,,52748,50,2011,54809,80597,http://iepct.mx/elecciones2018/DIP/MR/8.pdf
27,TABASCO,9,CENTRO,43,129,1451,4442,2069,2062,1319,1205,588,38251,634,,,,,,,,,52021,90,2123,54234,79284,http://iepct.mx/elecciones2018/DIP/MR/9.pdf
27,TABASCO,10,CENTRO,39,134,905,3081,3732,1791,1241,1447,702,39599,1994,,,,,,,,,54492,32,2291,56815,81767,http://iepct.mx/elecciones2018/DIP/MR/10.pdf
27,TABASCO,11,TACOTALPA,64,142,969,7017,6428,6763,1527,2578,1648,22161,821,,,,,,,,,49912,68,3066,53046,73544,http://iepct.mx/elecciones2018/DIP/MR/11.pdf
27,TABASCO,12,CENTRO,53,138,1706,4833,3124,1994,1117,1428,551,38489,699,,,,,,,,,53941,39,2318,56298,83021,http://iepct.mx/elecciones2018/DIP/MR/12.pdf
27,TABASCO,13,COMALCALCO,62,165,1113,8997,15175,1452,840,925,374,38583,657,,,,,,,,,68116,37,2299,70452,94695,http://iepct.mx/elecciones2018/DIP/MR/13.pdf
27,TABASCO,14,CUNDUACAN,48,123,1148,6031,6889,1652,1193,1286,552,25265,462,,,,809,,,,,45287,45,2507,47839,73298,http://iepct.mx/elecciones2018/DIP/MR/14.pdf
27,TABASCO,15,EMILIANO ZAPATA,68,143,2491,6134,7757,5203,1105,1242,2610,24794,942,,,,,,,,,52278,103,2718,55099,74505,http://iepct.mx/elecciones2018/DIP/MR/15.pdf
27,TABASCO,16,HUIMANGUILLO,67,151,503,8068,13641,753,933,626,387,25897,573,,,,,745,,,,52126,72,2882,55080,78982,http://iepct.mx/elecciones2018/DIP/MR/16.pdf
27,TABASCO,17,JALPA DE MENDEZ,54,150,936,7104,10261,6597,1096,1131,1026,38507,,,,,,,,,727,67385,31,2456,69872,91359,http://iepct.mx/elecciones2018/DIP/MR/17.pdf
27,TABASCO,18,MACUSPANA,47,123,630,4353,2928,3766,945,632,504,30250,1561,,,,,,1230,,,46799,60,2551,49410,74787,http://iepct.mx/elecciones2018/DIP/MR/18.pdf
27,TABASCO,19,NACAJUCA,37,144,2366,4788,3628,6114,1264,1212,725,44372,537,,,,,,,,,65006,10,3124,68140,92145,http://iepct.mx/elecciones2018/DIP/MR/19.pdf
27,TABASCO,20,PARAISO,63,161,1081,7401,13687,2378,1416,1233,871,38804,436,,,,,,,,,67307,42,2719,70068,93468,http://iepct.mx/elecciones2018/DIP/MR/20.pdf
27,TABASCO,21,CENTRO,41,131,1057,6355,5317,4140,1598,1687,1851,27494,647,,,,,,,,,50146,45,2886,53077,81318,http://iepct.mx/elecciones2018/DIP/MR/21.pdf
