CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,27,TABASCO,15,EMILIANO ZAPATA,11,JONUTA,858,2,6,44,308,17,4,5,106,258,3,2,0,0,0,,,,,,,,,,753,0,42,795,969
,27,TABASCO,15,EMILIANO ZAPATA,11,JONUTA,859,2,5,21,305,3,11,14,124,355,9,0,1,0,0,,,,,,,,,,848,0,56,904,1127
,27,TABASCO,15,EMILIANO ZAPATA,11,JONUTA,860,2,15,47,257,6,2,3,72,314,5,1,3,0,1,,,,,,,,,,726,0,25,751,859
,27,TABASCO,15,EMILIANO ZAPATA,11,JONUTA,861,2,9,55,339,6,6,16,98,626,9,0,1,0,1,,,,,,,,,,1166,0,18,1184,1294
,27,TABASCO,15,EMILIANO ZAPATA,11,JONUTA,862,2,8,34,170,5,9,9,59,213,6,1,2,0,3,,,,,,,,,,519,0,55,574,641
,27,TABASCO,15,EMILIANO ZAPATA,11,JONUTA,863,3,4,56,296,7,12,12,102,487,4,0,3,0,0,,,,,,,,,,983,0,74,1057,1250
,27,TABASCO,15,EMILIANO ZAPATA,11,JONUTA,864,1,5,10,79,1,0,2,28,170,3,3,0,0,2,,,,,,,,,,303,0,18,321,368
,27,TABASCO,15,EMILIANO ZAPATA,11,JONUTA,865,2,4,76,216,10,5,10,57,373,1,1,0,0,0,,,,,,,,,,753,0,25,778,918
,27,TABASCO,15,EMILIANO ZAPATA,11,JONUTA,866,1,1,15,150,1,5,6,66,151,2,2,0,0,0,,,,,,,,,,399,0,38,437,501
,27,TABASCO,15,EMILIANO ZAPATA,11,JONUTA,867,1,1,5,179,4,1,4,49,179,7,0,1,0,0,,,,,,,,,,430,0,28,458,575
,27,TABASCO,15,EMILIANO ZAPATA,11,JONUTA,868,3,15,25,444,23,8,11,133,565,25,0,0,0,0,,,,,,,,,,1249,0,51,1300,1555
,27,TABASCO,15,EMILIANO ZAPATA,11,JONUTA,869,2,5,37,277,5,5,9,105,516,2,5,0,0,0,,,,,,,,,,966,0,63,1029,1207
,27,TABASCO,15,EMILIANO ZAPATA,11,JONUTA,870,2,2,73,202,8,8,11,107,379,2,1,0,0,2,,,,,,,,,,795,0,53,848,1114
,27,TABASCO,15,EMILIANO ZAPATA,11,JONUTA,871,2,3,98,135,29,7,3,74,330,6,0,0,0,0,,,,,,,,,,685,0,42,727,838
,27,TABASCO,15,EMILIANO ZAPATA,12,MACUSPANA,886,3,80,48,52,118,64,9,9,385,193,32,30,20,30,,,,,,,,,,1070,40,39,1149,1336
,27,TABASCO,15,EMILIANO ZAPATA,12,MACUSPANA,887,1,8,18,2,26,7,3,4,136,26,0,0,0,1,,,,,,,,,,231,0,22,253,409
,27,TABASCO,15,EMILIANO ZAPATA,12,MACUSPANA,888,1,10,34,15,29,1,3,1,108,4,0,0,1,1,,,,,,,,,,207,0,20,227,296
,27,TABASCO,15,EMILIANO ZAPATA,12,MACUSPANA,889,2,12,43,49,35,19,13,1,557,25,7,3,0,1,,,,,,,,,,765,0,42,807,1440
,27,TABASCO,15,EMILIANO ZAPATA,12,MACUSPANA,891,1,22,25,8,37,7,6,6,226,15,108,0,0,0,,,,,,,,,,460,0,0,460,599
,27,TABASCO,15,EMILIANO ZAPATA,12,MACUSPANA,897,3,16,53,43,38,26,16,8,789,25,2,1,0,2,,,,,,,,,,1019,38,57,1114,1651
,27,TABASCO,15,EMILIANO ZAPATA,12,MACUSPANA,904,2,19,21,22,40,4,13,3,79,30,3,7,0,7,,,,,,,,,,248,0,23,271,432
,27,TABASCO,15,EMILIANO ZAPATA,12,MACUSPANA,920,1,10,2,7,58,3,1,5,136,2,2,0,0,0,,,,,,,,,,226,0,10,236,359
,27,TABASCO,15,EMILIANO ZAPATA,12,MACUSPANA,921,1,27,9,2,17,4,0,0,34,0,0,0,0,0,,,,,,,,,,93,0,11,104,145
,27,TABASCO,15,EMILIANO ZAPATA,12,MACUSPANA,922,3,23,112,171,64,10,16,9,796,27,24,1,1,1,,,,,,,,,,1255,6,53,1314,1972
,27,TABASCO,15,EMILIANO ZAPATA,12,MACUSPANA,924,2,11,65,72,94,6,24,6,648,14,28,6,0,0,,,,,,,,,,974,0,31,1005,1304
,27,TABASCO,15,EMILIANO ZAPATA,12,MACUSPANA,925,3,138,66,70,120,16,29,10,499,24,11,2,3,2,,,,,,,,,,990,0,78,1068,1523
,27,TABASCO,15,EMILIANO ZAPATA,12,MACUSPANA,926,1,23,27,14,25,2,10,0,129,9,0,1,0,0,,,,,,,,,,240,0,7,247,370
,27,TABASCO,15,EMILIANO ZAPATA,12,MACUSPANA,932,2,35,9,14,65,9,18,6,289,11,1,0,0,1,,,,,,,,,,458,0,11,469,781
,27,TABASCO,15,EMILIANO ZAPATA,12,MACUSPANA,936,1,3,13,8,57,3,4,4,151,1,0,0,0,0,,,,,,,,,,244,2,28,274,445
,27,TABASCO,15,EMILIANO ZAPATA,12,MACUSPANA,937,2,16,10,63,38,15,3,3,391,0,0,0,0,0,,,,,,,,,,539,0,14,553,859
,27,TABASCO,15,EMILIANO ZAPATA,12,MACUSPANA,938,3,7,67,82,175,18,16,6,809,94,4,0,0,0,,,,,,,,,,1278,0,109,1387,2155
,27,TABASCO,15,EMILIANO ZAPATA,12,MACUSPANA,939,3,29,98,77,99,18,25,3,730,11,11,3,1,4,,,,,,,,,,1109,0,76,1185,1815
,27,TABASCO,15,EMILIANO ZAPATA,12,MACUSPANA,943,3,28,54,94,174,11,32,7,640,23,3,3,0,3,,,,,,,,,,1072,1,72,1145,1663
,27,TABASCO,15,EMILIANO ZAPATA,12,MACUSPANA,944,3,44,57,53,165,8,9,5,208,11,31,28,10,23,,,,,,,,,,652,0,21,673,1033
,27,TABASCO,15,EMILIANO ZAPATA,12,MACUSPANA,946,3,38,61,95,159,17,16,10,371,17,4,1,0,1,,,,,,,,,,790,0,93,883,1521
,27,TABASCO,15,EMILIANO ZAPATA,12,MACUSPANA,947,3,63,67,61,78,24,22,9,486,17,5,3,2,0,,,,,,,,,,837,0,20,857,1653
,27,TABASCO,15,EMILIANO ZAPATA,12,MACUSPANA,948,2,26,47,43,92,18,15,8,529,44,3,2,0,2,,,,,,,,,,829,0,33,862,1322
,27,TABASCO,15,EMILIANO ZAPATA,12,MACUSPANA,950,2,6,45,37,118,12,14,6,305,80,1,0,0,0,,,,,,,,,,624,0,36,660,1055
,27,TABASCO,15,EMILIANO ZAPATA,12,MACUSPANA,952,2,16,48,76,75,15,9,8,490,28,6,1,0,4,,,,,,,,,,776,0,60,836,1267
,27,TABASCO,15,EMILIANO ZAPATA,12,MACUSPANA,953,2,39,71,55,131,21,23,12,458,20,3,1,0,1,,,,,,,,,,835,2,54,891,1280
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,684,3,4,287,186,21,20,8,6,582,7,6,0,0,1,,,,,,34,,,,1162,0,38,1200,1626
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,685,2,2,182,118,3,7,7,1,322,6,0,0,0,0,,,,,,15,,,,663,0,15,678,897
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,686,3,2,219,265,16,21,6,12,531,5,2,2,0,2,,,,,,28,,,,1111,8,43,1162,1601
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,687,3,5,201,219,12,21,10,7,575,8,2,0,0,1,,,,,,29,,,,1090,0,44,1134,1548
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,688,2,7,188,114,10,4,9,3,316,1,3,1,0,0,,,,,,23,,,,679,0,16,695,849
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,689,2,2,132,142,7,12,9,10,456,3,0,0,0,0,,,,,,32,,,,805,16,28,849,1113
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,690,1,2,95,66,4,5,1,3,211,2,1,0,0,0,,,,,,28,,,,418,0,26,444,579
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,691,1,6,77,97,8,15,2,7,281,2,0,1,0,1,,,,,,23,,,,520,0,11,531,728
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,692,2,3,153,158,23,11,4,15,371,6,0,0,0,0,,,,,,19,,,,763,11,15,789,980
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,693,2,6,132,139,9,11,5,10,402,3,1,0,0,0,,,,,,14,,,,732,0,29,761,1024
