SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,CDEM,PSN,PAS,NO REGISTRADOS,NULOS,VTOTAL
399,399B,21,37,2,6,0,3,0,0,0,4,73
400,400B,19,139,5,3,4,43,1,5,0,18,237
401,401B,11,69,42,9,2,3,0,2,0,19,157
402,402B,127,138,18,13,1,0,0,27,0,8,332
403,403B,42,117,47,8,3,33,0,6,0,13,269
403,403C,34,158,52,10,5,22,0,7,0,12,300
404,404B,108,136,63,6,1,17,0,10,0,12,353
405,405B,40,144,61,22,6,22,2,3,0,16,316
405,405C,45,133,59,14,11,33,0,7,0,0,302
406,406B,20,113,25,9,1,22,0,1,0,11,202
406,406C,35,105,25,2,0,18,0,3,0,5,193
407,407B,40,134,38,12,2,18,0,0,0,4,248
407,407C,25,132,33,6,9,24,1,1,1,9,241
408,408B,37,156,44,29,0,28,1,5,0,0,300
408,408C,42,170,30,27,5,40,0,3,0,0,317
409,409B,58,188,53,14,8,32,1,1,0,13,368
410,410B,23,63,2,1,0,3,0,0,0,2,94
410,410EX,12,21,4,3,0,6,0,0,0,0,46
411,411B,26,153,35,1,1,40,0,3,0,9,268
412,412B,34,151,20,7,3,15,1,0,0,8,239
413,413B,40,144,14,6,2,10,1,2,0,7,226
413,413C,23,167,21,16,0,8,0,1,0,4,240
414,414B,35,79,41,1,1,27,2,0,0,4,190
414,414C,25,66,43,2,1,21,0,3,0,21,182
415,415B,51,131,69,14,1,24,0,6,0,19,315
415,415C,42,124,69,22,1,19,2,8,0,29,316
416,416B,24,134,27,26,3,57,2,17,0,20,310
417,417B,26,110,44,39,4,9,0,4,0,10,246
417,417C,31,87,48,33,1,8,0,6,0,0,214
418,418B,39,111,17,15,2,19,0,23,0,0,226
418,418C,31,137,21,9,1,22,1,15,0,1,238
419,419B,33,144,23,12,6,27,1,19,0,13,278
419,419C,30,178,29,5,1,14,1,24,0,14,296
420,420B,69,221,10,5,1,13,0,4,0,34,357
420,420EX,23,104,6,27,0,27,0,0,0,0,187
421,421B,30,63,18,1,7,19,0,4,0,6,148
421,421C,70,158,27,11,1,30,1,5,0,12,315
422,422B,36,97,27,9,1,19,1,27,1,15,233
422,422C,33,84,30,7,1,30,1,27,0,11,224
423,423B,73,146,21,6,1,13,0,19,0,12,291
423,423EX,24,133,11,9,1,11,0,4,0,20,213
424,424B,62,174,18,2,4,22,0,2,0,13,297
425,425B,49,93,22,7,2,15,0,3,0,8,199
425,425C,69,114,16,2,2,16,0,2,0,0,221
426,426B,56,86,47,4,1,30,0,3,0,16,243
426,426C,50,93,45,3,2,30,0,5,1,13,242
427,427B,60,132,33,4,5,22,0,6,0,9,271
427,427C,58,137,33,2,2,24,0,6,0,8,270
428,428B,33,105,19,2,2,15,0,0,0,9,185
428,428C,38,97,29,3,4,12,0,1,1,13,198
429,429B,36,75,5,6,0,44,0,28,0,45,239
429,429C,31,62,0,3,2,35,0,63,0,12,208
429,429EX,62,184,26,9,2,175,6,8,0,75,547
430,430B,26,94,13,3,2,108,0,0,0,29,275
431,431B,15,161,24,2,2,92,2,9,0,68,375
432,432B,18,134,72,7,2,69,2,7,0,16,327
433,433B,19,81,35,2,1,96,0,4,0,10,248
433,433C,15,87,43,1,2,82,0,1,0,7,238
434,434B,4,14,3,0,0,6,0,0,0,2,29
435,435B,14,103,73,1,1,45,0,4,0,18,259
436,436B,17,80,57,3,0,38,0,5,0,16,216
437,437B,26,134,55,0,1,68,0,8,0,11,303
437,437C,36,144,33,2,0,63,0,4,0,14,296
438,438B,33,107,19,3,0,39,0,4,0,41,246
438,438C,20,88,24,5,3,31,0,9,0,42,222
439,439B,57,108,31,5,1,48,0,2,0,28,280
439,439C,56,109,20,2,2,38,0,1,0,49,277
440,440B,42,165,15,6,1,23,0,3,0,20,275
441,441B,29,99,68,4,2,21,1,5,0,14,243
441,441C,22,111,63,4,0,33,0,9,0,10,252
442,442B,34,73,5,3,0,1,0,4,0,3,123
443,443B,82,97,12,4,0,10,0,21,0,13,239
444,444B,9,48,17,1,0,41,0,1,0,18,135
444,444EX,1,75,18,1,0,22,1,0,0,16,134
445,445B,31,21,4,2,1,40,1,2,0,27,129
446,446B,36,78,38,2,0,21,0,10,0,88,273
446,446C,33,72,23,5,3,19,2,18,1,7,183
447,447B,4,33,33,6,1,16,1,23,0,8,125
448,448B,41,68,10,6,3,12,0,11,0,3,154
448,448C,32,83,8,2,0,36,0,3,0,3,167
449,449B,64,135,16,7,2,49,0,6,0,0,279
449,449C1,58,135,21,7,3,35,0,5,0,10,274
449,449C2,69,115,26,7,0,38,0,8,0,13,276
449,449C3,63,105,29,4,2,29,0,4,0,15,251
449,449C4,75,113,28,9,4,24,0,3,0,7,263
449,449C5,68,133,25,8,1,36,1,6,0,5,283
449,449C6,74,124,23,13,1,27,0,1,0,0,263
449,449C7,74,114,22,8,4,37,0,6,1,7,273
449,449C8,79,112,31,4,1,36,0,6,0,9,278
450,450B,11,51,4,3,0,12,0,3,0,5,89
450,450EX,6,103,2,2,1,3,0,3,0,27,147
