ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PAC,PS,MORENA,ES,PRI_PVEM_NVA_ALIANZA_PS,PRI_PVEM_NVA_ALIANZA,PRI_NVA_ALIANZA_PS,PRI_NVA_ALIANZA,PRI_PS,PRI_PVEM,PRD_PT,PVEM_PS,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
29,TLAXCALA,1,AMAXAC DE GUERRERO,4,12,185,,1295,,1459,24,,351,124,1315,35,,,,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5334,138,5472,7683,0.7122
29,TLAXCALA,2,APETATITLAN DE ANTONIO CARVAJAL,7,20,1902,,1996,,,50,,1174,,421,112,1534,,,,,,,,471,144,,,,,,,,,,,,,,,,,,,,,,,1,7805,188,7993,11080,0.7214
29,TLAXCALA,3,APIZACO,37,102,10663,8856,4540,699,611,727,286,1314,185,2920,,,,,,,,,,,,4255,,,,,,,,,,,,,,,,,,,,,,155,35211,1352,36563,61976,0.5900
29,TLAXCALA,4,ATLANGATEPEC,9,11,229,1555,,,12,329,666,59,14,171,,,,,,,,508,,,,,,,,,,,,,,,,,,,,,,,,,,0,3543,89,3632,4665,0.7786
29,TLAXCALA,5,ATLTZAYANCA,19,27,421,3579,2279,49,496,29,,1537,26,265,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8728,360,9088,11688,0.7775
29,TLAXCALA,6,CALPULALPAN,21,55,2923,2600,576,816,,1448,314,2631,383,753,3714,,,,,,,,,,,,1725,,,,,,,,,,,,,,,,,,,,,24,17907,615,18522,32380,0.5720
29,TLAXCALA,7,EL CARMEN TEQUEXQUITLA,7,17,2271,3155,,,34,,,625,38,85,,,,,,,,377,,,,,,,,,,,,,,,,,,,,,,,,,,0,6585,349,6934,10812,0.6413
29,TLAXCALA,8,CUAPIAXTLA,10,20,1308,2244,119,91,2664,32,1,17,154,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7105,271,7376,9724,0.7585
29,TLAXCALA,9,CUAXOMULCO,6,9,638,441,410,255,389,33,,748,74,110,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3107,96,3203,4369,0.7331
29,TLAXCALA,10,CHIAUTEMPAN,30,83,3307,,,,,1248,376,1299,253,1804,288,,,,,,9484,8069,,,,,,1800,2636,447,,,,,,,,,,,,,,,,,,18,31029,1223,32252,49849,0.6470
