CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PAC,PS,MORENA,ES,PRI_PVEM_NVA_ALIANZA_PS,PRI_PVEM_NVA_ALIANZA,PRI_NVA_ALIANZA_PS,PRI_NVA_ALIANZA,PRI_PS,PRI_PVEM,PRD_PT,PVEM_PS,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,1,AMAXAC DE GUERRERO,1,2,23,,174,,237,2,,61,9,182,8,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,750,17,767,1051
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,1,AMAXAC DE GUERRERO,2,5,55,,569,,504,8,,140,46,532,20,,,,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2127,48,2175,3136
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,1,AMAXAC DE GUERRERO,3,4,64,,476,,585,10,,118,52,492,4,,,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1968,44,2012,2869
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,1,AMAXAC DE GUERRERO,4,1,43,,76,,133,4,,32,17,109,3,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,489,29,518,627
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,2,APETATITLAN DE ANTONIO CARVAJAL,5,4,223,,312,,,13,,140,,108,20,643,,,,,,,,187,20,,,,,,,,,,,,,,,,,,,,,,,0,1666,48,1714,2366
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,2,APETATITLAN DE ANTONIO CARVAJAL,6,2,121,,70,,,10,,139,,38,20,93,,,,,,,,41,6,,,,,,,,,,,,,,,,,,,,,,,0,538,16,554,826
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,2,APETATITLAN DE ANTONIO CARVAJAL,7,1,44,,80,,,1,,16,,8,6,40,,,,,,,,4,8,,,,,,,,,,,,,,,,,,,,,,,0,207,7,214,305
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,2,APETATITLAN DE ANTONIO CARVAJAL,8,3,356,,290,,,8,,313,,116,22,229,,,,,,,,73,37,,,,,,,,,,,,,,,,,,,,,,,0,1444,42,1486,2123
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,2,APETATITLAN DE ANTONIO CARVAJAL,9,4,650,,323,,,7,,178,,57,27,244,,,,,,,,104,18,,,,,,,,,,,,,,,,,,,,,,,0,1608,38,1646,2271
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,2,APETATITLAN DE ANTONIO CARVAJAL,10,4,322,,764,,,9,,279,,56,12,189,,,,,,,,35,34,,,,,,,,,,,,,,,,,,,,,,,1,1701,24,1725,2363
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,2,APETATITLAN DE ANTONIO CARVAJAL,11,2,186,,157,,,2,,109,,38,5,96,,,,,,,,27,21,,,,,,,,,,,,,,,,,,,,,,,0,641,13,654,826
4,29,TLAXCALA,4,APIZACO,3,APIZACO,12,2,173,159,84,16,9,8,8,15,10,44,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,0,603,35,638,1177
4,29,TLAXCALA,4,APIZACO,3,APIZACO,13,3,518,305,139,31,11,25,16,50,20,113,,,,,,,,,,,,167,,,,,,,,,,,,,,,,,,,,,,0,1395,44,1439,2191
4,29,TLAXCALA,4,APIZACO,3,APIZACO,14,6,675,491,262,41,81,168,12,62,10,260,,,,,,,,,,,,317,,,,,,,,,,,,,,,,,,,,,,2,2381,101,2482,4158
