CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PAC,PS,MORENA,ES,PRI_PVEM_NVA_ALIANZA_PS,PRI_PVEM_NVA_ALIANZA,PRI_NVA_ALIANZA_PS,PRI_NVA_ALIANZA,PRI_PS,PRI_PVEM,PRD_PT,PVEM_PS,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,22,ACUAMANALA DE MIGUEL HIDALGO,309,B,44,80,,,22,83,,55,35,77,2,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,0,480,12,492,611,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Acuamanala%20de%20Miguel%20Hidalgo.pdf
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,22,ACUAMANALA DE MIGUEL HIDALGO,309,C01,64,81,,,44,59,,47,21,84,0,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,0,466,15,481,610,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Acuamanala%20de%20Miguel%20Hidalgo.pdf
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,22,ACUAMANALA DE MIGUEL HIDALGO,310,B,53,131,,,68,71,,31,42,73,1,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,0,573,4,577,671,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Acuamanala%20de%20Miguel%20Hidalgo.pdf
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,22,ACUAMANALA DE MIGUEL HIDALGO,310,C01,32,122,,,49,83,,56,38,61,1,,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,0,549,10,559,670,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Acuamanala%20de%20Miguel%20Hidalgo.pdf
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,22,ACUAMANALA DE MIGUEL HIDALGO,311,B,70,58,,,16,89,,32,34,68,0,,,,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,0,483,19,502,566,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Acuamanala%20de%20Miguel%20Hidalgo.pdf
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,22,ACUAMANALA DE MIGUEL HIDALGO,311,C01,82,50,,,14,78,,34,33,85,0,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,1,462,4,466,566,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Acuamanala%20de%20Miguel%20Hidalgo.pdf
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,22,ACUAMANALA DE MIGUEL HIDALGO,312,B,24,86,,,11,115,,60,24,101,0,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,0,506,0,506,634,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Acuamanala%20de%20Miguel%20Hidalgo.pdf
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,59,B,13,142,61,1,24,3,,92,2,18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,359,6,365,482,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Altzayanca.pdf
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,59,C01,17,132,60,0,29,2,,102,1,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,356,8,364,481,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Altzayanca.pdf
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,60,B,34,132,107,4,47,0,,123,3,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,468,22,490,663,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Altzayanca.pdf
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,61,B,9,50,26,2,2,1,,31,0,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,134,5,139,177,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Altzayanca.pdf
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,61,E01,9,90,37,3,38,0,,36,2,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,251,18,269,363,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Altzayanca.pdf
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,62,B,9,131,56,1,25,1,,22,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,246,17,263,313,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Altzayanca.pdf
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,63,B,6,111,88,2,21,0,,18,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,250,11,261,323,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Altzayanca.pdf
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,64,B,4,65,48,0,6,2,,15,3,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,165,7,172,212,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Altzayanca.pdf
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,65,B,12,75,35,0,17,0,,43,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,188,2,190,212,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Altzayanca.pdf
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,66,B,28,142,68,0,35,1,,79,1,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,365,21,386,509,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Altzayanca.pdf
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,67,B,0,83,24,0,2,0,,53,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,167,4,171,204,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Altzayanca.pdf
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,68,B,21,194,110,1,22,1,,56,0,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,416,17,433,607,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Altzayanca.pdf
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,68,C01,13,220,91,3,12,2,,68,2,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,426,17,443,607,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Altzayanca.pdf
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,68,C02,20,195,123,0,9,0,,66,1,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,423,26,449,607,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Altzayanca.pdf
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,69,B,10,128,77,10,5,1,,50,1,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,292,14,306,399,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Altzayanca.pdf
