CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,ES,PRI_PT_NVA_ALIANZA,PRI_PT,PRI_NVA_ALIANZA,PT_NVA_ALIANZA,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,1,3,433,318,22,2,6,69,8,15,6,0,0,0,0,,,361,,,,,,1,1240,26,1267,2027
,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,10,2,313,170,20,4,12,32,15,19,3,0,0,1,0,,,132,,,,,,0,721,7,728,1188
,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,100,2,163,197,10,3,5,11,6,9,4,0,0,0,0,,,51,,,,,,0,459,12,471,1112
,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,101,3,270,176,21,5,23,13,13,28,10,0,1,0,1,,,132,,,,,,2,693,18,713,1537
,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,102,2,185,165,8,4,18,11,12,13,10,0,1,0,0,,,39,,,,,,0,466,15,481,969
,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,103,2,153,121,22,4,10,4,7,14,2,0,3,0,2,,,49,,,,,,0,391,19,410,779
,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,104,1,115,86,11,1,4,2,3,5,5,0,0,0,0,,,18,,,,,,0,250,10,260,521
,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,105,1,125,119,13,5,2,4,23,16,3,0,0,3,0,,,26,,,,,,0,339,11,350,595
,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,106,2,277,131,26,1,6,11,28,20,4,0,0,1,0,,,62,,,,,,0,567,18,585,1176
,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,107,2,246,138,23,6,10,7,18,12,6,0,0,1,0,,,55,,,,,,0,522,15,537,1096
,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,108,2,191,112,10,6,13,7,36,16,3,0,2,1,0,,,61,,,,,,0,458,22,480,962
,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,109,2,247,172,13,5,10,11,28,25,2,1,0,1,0,,,71,,,,,,1,586,14,601,1151
,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,11,2,311,152,23,5,11,18,7,17,8,0,0,1,0,,,105,,,,,,0,658,25,683,1261
,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,110,1,73,76,8,3,4,6,9,12,1,0,1,0,0,,,40,,,,,,0,233,9,242,462
,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,111,2,192,172,19,10,8,7,19,23,3,2,0,1,0,,,47,,,,,,0,503,17,520,1002
,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,112,2,272,143,27,1,10,5,7,20,8,0,0,0,0,,,109,,,,,,1,602,10,613,1176
,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,113,2,252,123,19,2,10,12,16,29,5,0,0,0,0,,,133,,,,,,1,601,15,617,1036
,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,114,2,183,121,25,1,11,9,8,16,13,0,0,0,0,,,95,,,,,,0,482,21,503,895
,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,115,2,234,194,26,3,13,8,9,15,5,2,1,3,0,,,82,,,,,,0,595,20,615,1176
