ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,ES,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
1,AGUASCALIENTES,1,AGUASCALIENTES,452,1058,117189,82179,11443,3693,4995,6215,6408,10153,4401,,,39108,,,,,,196,285784,7808,293788,606018,0.4848
1,AGUASCALIENTES,2,ASIENTOS,17,52,7130,3735,278,163,514,299,7884,366,323,,,,,,,,,9,20692,614,21315,32191,0.6621
1,AGUASCALIENTES,3,CALVILLO,31,73,12334,6220,2048,577,647,356,484,326,420,,,,,,,,,12,23412,705,24129,44001,0.5484
1,AGUASCALIENTES,4,COSIO,5,17,929,1653,83,92,1781,175,150,218,453,2101,,,,,,,,12,7635,232,7879,10895,0.7232
1,AGUASCALIENTES,5,JESUS MARIA,22,109,16009,11800,922,451,768,548,920,1095,531,,1928,,,,,,,39,34972,922,35933,72369,0.4965
1,AGUASCALIENTES,6,PABELLON DE ARTEAGA,17,49,2510,2332,8085,460,757,273,2333,239,444,,,,,,,,563,49,17996,640,18685,29249,0.6388
1,AGUASCALIENTES,7,RINCON DE ROMOS,21,57,7470,4012,308,400,936,1434,3417,526,711,,,,378,,,181,,28,19773,673,20474,35392,0.5785
1,AGUASCALIENTES,8,SAN JOSE DE GRACIA,7,12,1882,953,258,239,83,386,311,335,38,,,,,,405,,,1,4890,56,4947,6514,0.7594
1,AGUASCALIENTES,9,TEPEZALA,10,23,3554,457,225,319,3617,271,1519,178,,,,,,,,,,2,10140,291,10433,14442,0.7224
1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,10,43,4974,5414,267,237,631,134,1552,354,445,,,,,401,,,,8,14409,424,14841,28457,0.5215
1,AGUASCALIENTES,11,EL LLANO,8,25,1998,1128,2402,2432,556,763,228,77,52,,,,,,,,,2,9636,318,9956,14108,0.7057
