ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,ES,PRI_PT_NVA_ALIANZA,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
1,AGUASCALIENTES,1,AGUASCALIENTES,452,1058,117189,,11443,,4995,6215,,10153,4401,92280,,,39108,,,,,,196,285784,7808,293788,606018,0.4848
1,AGUASCALIENTES,2,ASIENTOS,17,52,7130,,278,,514,299,,366,323,11782,,,,,,,,,9,20692,614,21315,32191,0.6621
1,AGUASCALIENTES,3,CALVILLO,31,73,12334,,2048,,647,356,,326,420,7281,,,,,,,,,12,23412,705,24129,44001,0.5484
1,AGUASCALIENTES,4,COSIO,5,17,929,,83,,1781,175,,218,453,1895,2101,,,,,,,,12,7635,232,7879,10895,0.7232
1,AGUASCALIENTES,5,JESUS MARIA,22,109,16009,,922,,768,548,,1095,531,13171,,1928,,,,,,,39,34972,922,35933,72369,0.4965
1,AGUASCALIENTES,6,PABELLON DE ARTEAGA,17,49,2510,,8085,,757,273,,239,444,5125,,,,,,,,563,49,17996,640,18685,29249,0.6388
1,AGUASCALIENTES,7,RINCON DE ROMOS,21,57,7470,,308,,936,1434,,526,711,7829,,,,378,,,181,,28,19773,673,20474,35392,0.5785
1,AGUASCALIENTES,8,SAN JOSE DE GRACIA,7,12,1882,,258,,83,386,,335,38,1503,,,,,,405,,,1,4890,56,4947,6514,0.7594
1,AGUASCALIENTES,9,TEPEZALA,10,23,3554,,225,,3617,271,,178,,2295,,,,,,,,,2,10140,291,10433,14442,0.7224
1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,10,43,4974,5414,267,237,631,134,1552,354,445,,,,,,401,,,,8,14409,424,14841,28457,0.5215
1,AGUASCALIENTES,11,EL LLANO,8,25,1998,,2402,,556,763,,77,52,3788,,,,,,,,,2,9636,318,9956,14108,0.7057
