CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,ES,PRI_PT_NVA_ALIANZA,PRI_PT,PRI_NVA_ALIANZA,PT_NVA_ALIANZA,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,116,C08,132,81,8,2,8,3,8,13,3,0,0,0,0,,,57,,,,,,0,315,3,318,732,,,,
,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,116,C09,121,90,16,2,2,6,13,11,3,0,0,0,0,,,59,,,,,,0,323,8,331,732,,,,
,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,116,C10,120,83,14,0,5,5,5,8,7,0,0,1,0,,,73,,,,,,0,321,13,334,732,,,,
,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,116,C11,145,70,14,3,6,5,9,16,4,0,0,0,0,,,49,,,,,,0,321,8,329,732,,,,
,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,117,B,91,89,8,3,4,2,7,2,1,0,0,0,0,,,32,,,,,,0,239,18,257,539,,,,
,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,117,C01,97,103,4,1,2,2,3,7,7,0,0,0,0,,,31,,,,,,0,257,6,263,538,,,,
,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,117,C02,93,90,8,2,3,2,9,9,3,0,0,0,0,,,31,,,,,,0,250,7,257,538,,,,
,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,118,B,106,91,19,4,7,3,5,20,4,0,0,0,0,,,67,,,,,,0,326,17,343,692,,,,
,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,118,C01,113,89,10,2,4,6,4,9,7,0,0,0,0,,,43,,,,,,0,287,5,292,692,,,,
,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,118,C02,112,87,15,2,1,6,3,17,7,0,2,0,0,,,61,,,,,,1,313,9,323,692,,,,
,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,118,C03,111,83,14,0,7,4,6,16,12,0,0,0,0,,,52,,,,,,0,305,5,310,692,,,,
,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,118,C04,126,99,7,2,7,9,5,5,5,0,0,0,0,,,48,,,,,,0,313,7,320,692,,,,
,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,118,C05,120,102,11,2,3,8,3,17,2,0,0,0,0,,,54,,,,,,0,322,7,329,691,,,,
,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,118,C06,115,85,9,1,4,3,7,8,6,0,0,0,0,,,58,,,,,,0,296,8,304,691,,,,
,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,118,C07,135,98,7,4,2,2,6,9,7,0,0,0,0,,,61,,,,,,3,331,8,342,691,,,,
,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,118,C08,121,84,12,1,9,3,8,25,7,0,0,0,0,,,60,,,,,,2,330,12,344,691,,,,
,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,119,B,156,85,10,3,6,8,5,21,1,0,0,0,0,,,87,,,,,,0,382,8,390,660,,,,
,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,119,C01,114,74,20,4,3,11,9,15,3,2,0,2,0,,,77,,,,,,0,334,10,344,660,,,,
,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,119,C02,171,65,13,1,2,8,11,19,3,0,0,0,0,,,80,,,,,,0,373,9,382,660,,,,
,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,119,C03,154,83,7,1,2,14,3,22,7,0,0,1,0,,,89,,,,,,0,383,8,391,660,,,,
,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,119,C04,170,76,17,3,3,11,3,12,8,0,0,0,0,,,82,,,,,,0,385,13,398,660,,,,
,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,119,C05,133,76,17,3,8,10,5,23,4,0,0,0,0,,,95,,,,,,0,374,6,380,659,,,,
,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,12,B,120,63,7,2,1,3,6,5,3,1,0,0,0,,,58,,,,,,0,269,3,272,429,,,,
,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,12,C01,106,65,10,0,0,5,5,6,4,0,0,0,0,,,53,,,,,,1,254,5,260,428,,,,
,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,120,B,79,59,4,2,3,3,0,6,5,0,0,1,0,,,22,,,,,,0,184,6,190,378,,,,
,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,120,C01,75,63,5,5,2,4,4,8,5,2,0,1,0,,,19,,,,,,0,193,11,204,377,,,,
,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,121,B,150,90,8,1,3,5,7,13,3,0,0,0,0,,,54,,,,,,0,334,7,341,595,,,,
,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,122,B,104,76,8,1,5,3,5,7,4,0,0,0,0,,,30,,,,,,0,243,8,251,529,,,,
,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,122,C01,127,58,3,1,3,8,4,16,2,0,1,0,0,,,35,,,,,,1,258,9,268,528,,,,
,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,123,B,119,67,16,1,9,3,7,18,7,0,0,0,0,,,65,,,,,,0,312,13,325,650,,,,
,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,124,B,125,66,4,1,4,8,4,6,6,0,0,0,0,,,54,,,,,,1,278,6,285,493,,,,
,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,125,B,116,87,9,1,6,5,5,10,4,0,1,0,0,,,35,,,,,,2,279,9,290,519,,,,
