"CVE_ENTIDAD","YEAR","PARTIDO_GOBERNADOR"
4,1998,"PRI"
4,1999,"PRI"
4,2000,"PRI"
4,2001,"PRI"
4,2002,"PRI"
4,2003,"PRI"
4,2004,"PRI"
4,2005,"PRI"
4,2006,"PRI"
4,2007,"PRI"
4,2008,"PRI"
4,2009,"PRI"
4,2010,"PRI"
4,2011,"PRI"
4,2012,"PRI"
4,2013,"PRI"
4,2014,"PRI"
4,2015,"PRI"
4,2016,"PRI"
4,2017,"PRI"
4,2018,"PRI"
4,2019,"PRI"
4,2020,"PRI"
4,2021,"PRI"
4,2022,"MORENA"
4,2023,"MORENA"
4,2024,"MORENA"
4,2025,"MORENA"
5,1989,"PRI"
5,1990,"PRI"
5,1991,"PRI"
5,1992,"PRI"
5,1993,"PRI"
5,1994,"PRI"
5,1995,"PRI"
5,1996,"PRI"
5,1997,"PRI"
5,1998,"PRI"
5,1999,"PRI"
5,2000,"PRI"
5,2001,"PRI"
5,2002,"PRI"
5,2003,"PRI"
5,2004,"PRI"
5,2005,"PRI"
5,2006,"PRI"
5,2007,"PRI"
5,2008,"PRI"
5,2009,"PRI"
5,2010,"PRI"
5,2011,"PRI"
5,2012,"PRI"
5,2013,"PRI"
5,2014,"PRI"
5,2015,"PRI"
5,2016,"PRI"
5,2017,"PRI"
5,2018,"PRI"
5,2019,"PRI"
5,2020,"PRI"
5,2021,"PRI"
5,2022,"PRI"
5,2023,"PRI"
5,2024,"PRI"
5,2025,"PRI"
6,1989,"PRI"
6,1990,"PRI"
6,1991,"PRI"
6,1992,"PRI"
6,1993,"PRI"
6,1994,"PRI"
6,1995,"PRI"
6,1996,"PRI"
6,1997,"PRI"
6,1998,"PRI"
6,1999,"PRI"
6,2000,"PRI"
6,2001,"PRI"
6,2002,"PRI"
6,2003,"PRI"
6,2004,"PRI"
6,2005,"PRI"
6,2006,"PRI"
6,2007,"PRI"
6,2008,"PRI"
6,2009,"PRI"
6,2010,"PRI"
6,2011,"PRI"
6,2012,"PRI"
6,2013,"PRI"
6,2014,"PRI"
6,2015,"PRI"
6,2016,"PRI"
6,2016,"PRI"
6,2017,"PRI"
6,2018,"PRI"
6,2019,"PRI"
6,2020,"PRI"
6,2021,"PRI"
6,2022,"MORENA"
6,2023,"MORENA"
6,2024,"MORENA"
6,2025,"MORENA"
7,1989,"PRI"
7,1990,"PRI"
7,1991,"PRI"
7,1992,"PRI"
7,1993,"PRI"
7,1994,"PRI"
7,1995,"PRI"
7,1996,"PRI"
7,1997,"PRI"
7,1998,"PRI"
7,1999,"PRI"
7,2000,"PRI"
7,2001,"PRD"
7,2002,"PRD"
7,2003,"PRD"
7,2004,"PRD"
7,2005,"PRD"
7,2006,"PRD"
7,2007,"PRD"
7,2008,"PRD"
7,2009,"PRD"
7,2010,"PRD"
7,2011,"PRD"
7,2012,"PRD"
7,2013,"PVEM"
7,2014,"PVEM"
7,2015,"PVEM"
7,2016,"PVEM"
7,2017,"PVEM"
7,2018,"PVEM"
7,2019,"MORENA"
7,2020,"MORENA"
7,2021,"MORENA"
7,2022,"MORENA"
7,2023,"MORENA"
7,2024,"MORENA"
7,2025,"MORENA"
8,1989,"PRI"
8,1990,"PRI"
8,1991,"PRI"
8,1992,"PRI"
8,1993,"PAN"
8,1994,"PAN"
8,1995,"PAN"
8,1996,"PAN"
8,1997,"PAN"
8,1998,"PAN"
8,1999,"PRI"
8,2000,"PRI"
8,2001,"PRI"
8,2002,"PRI"
8,2003,"PRI"
8,2004,"PRI"
8,2005,"PRI"
8,2006,"PRI"
8,2007,"PRI"
8,2008,"PRI"
8,2009,"PRI"
8,2010,"PRI"
8,2011,"PRI"
8,2012,"PRI"
8,2013,"PRI"
8,2014,"PRI"
8,2015,"PRI"
8,2016,"PRI"
8,2017,"PAN"
8,2018,"PAN"
8,2019,"PAN"
8,2020,"PAN"
8,2021,"PAN"
8,2022,"PAN"
8,2023,"PAN"
8,2024,"PAN"
8,2025,"PAN"
9,1989,"PRI"
9,1990,"PRI"
9,1991,"PRI"
9,1992,"PRI"
9,1993,"PRI"
9,1994,"PRI"
9,1995,"PRI"
9,1996,"PRI"
9,1997,"PRI"
9,1998,"PRD"
9,1999,"PRD"
9,2000,"PRD"
9,2001,"PRD"
9,2002,"PRD"
9,2003,"PRD"
9,2004,"PRD"
9,2005,"PRD"
9,2006,"PRD"
9,2007,"PRD"
9,2008,"PRD"
9,2009,"PRD"
9,2010,"PRD"
9,2011,"PRD"
9,2012,"PRD"
9,2013,"PRD"
9,2014,"PRD"
9,2015,"PRD"
9,2016,"PRD"
9,2017,"PRD"
9,2018,"PRD"
9,2019,"MORENA"
9,2020,"MORENA"
9,2021,"MORENA"
9,2022,"MORENA"
9,2023,"MORENA"
9,2024,"MORENA"
9,2025,"MORENA"
10,1989,"PRI"
10,1990,"PRI"
10,1991,"PRI"
10,1992,"PRI"
10,1993,"PRI"
10,1994,"PRI"
10,1995,"PRI"
10,1996,"PRI"
10,1997,"PRI"
10,1998,"PRI"
10,1999,"PRI"
10,2000,"PRI"
10,2001,"PRI"
10,2002,"PRI"
10,2003,"PRI"
10,2004,"PRI"
10,2005,"PRI"
10,2006,"PRI"
10,2007,"PRI"
10,2008,"PRI"
10,2009,"PRI"
10,2010,"PRI"
10,2011,"PRI"
10,2012,"PRI"
10,2013,"PRI"
10,2014,"PRI"
10,2015,"PRI"
10,2016,"PRI"
10,2017,"PAN"
10,2018,"PAN"
10,2019,"PAN"
10,2020,"PAN"
10,2021,"PAN"
10,2022,"PAN"
10,2023,"PRI"
10,2024,"PRI"
10,2025,"PRI"
11,1989,"PRI"
11,1990,"PRI"
11,1991,"PRI"
11,1992,"PAN"
11,1993,"PAN"
11,1994,"PAN"
11,1995,"PAN"
11,1996,"PAN"
11,1997,"PAN"
11,1998,"PAN"
11,1999,"PAN"
11,2000,"PAN"
11,2001,"PAN"
11,2002,"PAN"
11,2003,"PAN"
11,2004,"PAN"
11,2005,"PAN"
11,2006,"PAN"
11,2007,"PAN"
11,2008,"PAN"
11,2009,"PAN"
11,2010,"PAN"
11,2011,"PAN"
11,2012,"PAN"
11,2013,"PAN"
11,2014,"PAN"
11,2015,"PAN"
11,2016,"PAN"
11,2017,"PAN"
11,2018,"PAN"
11,2019,"PAN"
11,2020,"PAN"
11,2021,"PAN"
11,2022,"PAN"
11,2023,"PAN"
11,2024,"PAN"
11,2025,"PAN"
12,1989,"PRI"
12,1990,"PRI"
12,1991,"PRI"
12,1992,"PRI"
12,1993,"PRI"
12,1994,"PRI"
12,1995,"PRI"
12,1996,"PRI"
12,1997,"PRI"
12,1998,"PRI"
12,1999,"PRI"
12,2000,"PRI"
12,2001,"PRI"
12,2002,"PRI"
12,2003,"PRI"
12,2004,"PRI"
12,2005,"PRI"
12,2006,"PRD"
12,2007,"PRD"
12,2008,"PRD"
12,2009,"PRD"
12,2010,"PRD"
12,2011,"PRD"
12,2012,"PRD"
12,2013,"PRD"
12,2014,"PRD"
12,2015,"PRD"
12,2016,"PRI"
12,2017,"PRI"
12,2018,"PRI"
12,2019,"PRI"
12,2020,"PRI"
12,2021,"PRI"
12,2022,"MORENA"
12,2023,"MORENA"
12,2024,"MORENA"
12,2025,"MORENA"
13,1989,"PRI"
13,1990,"PRI"
13,1991,"PRI"
13,1992,"PRI"
13,1993,"PRI"
13,1994,"PRI"
13,1995,"PRI"
13,1996,"PRI"
13,1997,"PRI"
13,1998,"PRI"
13,1999,"PRI"
13,2000,"PRI"
13,2001,"PRI"
13,2002,"PRI"
13,2003,"PRI"
13,2004,"PRI"
13,2005,"PRI"
13,2006,"PRI"
13,2006,"PRI"
13,2007,"PRI"
13,2008,"PRI"
13,2009,"PRI"
13,2010,"PRI"
13,2011,"PRI"
13,2012,"PRI"
13,2013,"PRI"
13,2014,"PRI"
13,2015,"PRI"
13,2016,"PRI"
13,2017,"PRI"
13,2018,"PRI"
13,2019,"PRI"
13,2020,"PRI"
13,2021,"PRI"
13,2022,"MORENA"
13,2023,"MORENA"
13,2024,"MORENA"
13,2025,"MORENA"
14,1989,"PRI"
14,1990,"PRI"
14,1991,"PRI"
14,1992,"PRI"
14,1993,"PRI"
14,1994,"PRI"
14,1995,"PRI"
14,1996,"PAN"
14,1997,"PAN"
14,1998,"PAN"
14,1999,"PAN"
14,2000,"PAN"
14,2001,"PAN"
14,2002,"PAN"
14,2003,"PAN"
14,2004,"PAN"
14,2005,"PAN"
14,2006,"PAN"
14,2007,"PAN"
14,2008,"PAN"
14,2009,"PAN"
14,2010,"PAN"
14,2011,"PAN"
14,2012,"PAN"
14,2013,"PRI"
14,2014,"PRI"
14,2015,"PRI"
14,2016,"PRI"
14,2017,"PRI"
14,2018,"PRI"
14,2019,"MC"
14,2020,"MC"
14,2021,"MC"
14,2022,"MC"
14,2023,"MC"
14,2024,"MC"
14,2025,"MC"
15,1989,"PRI"
15,1990,"PRI"
15,1991,"PRI"
15,1992,"PRI"
15,1993,"PRI"
15,1994,"PRI"
15,1995,"PRI"
15,1996,"PRI"
15,1997,"PRI"
15,1998,"PRI"
15,1999,"PRI"
15,2000,"PRI"
15,2001,"PRI"
15,2002,"PRI"
15,2003,"PRI"
15,2004,"PRI"
15,2005,"PRI"
15,2006,"PRI"
15,2007,"PRI"
15,2008,"PRI"
15,2009,"PRI"
15,2010,"PRI"
15,2011,"PRI"
15,2012,"PRI"
15,2013,"PRI"
15,2014,"PRI"
15,2015,"PRI"
15,2016,"PRI"
15,2017,"PRI"
15,2018,"PRI"
15,2019,"PRI"
15,2020,"PRI"
15,2021,"PRI"
15,2022,"PRI"
15,2023,"PRI"
15,2024,"MORENA"
15,2025,"MORENA"
16,1989,"PRI"
16,1990,"PRI"
16,1991,"PRI"
16,1992,"PRI"
16,1993,"PRI"
16,1994,"PRI"
16,1995,"PRI"
16,1996,"PRI"
16,1997,"PRI"
16,1998,"PRI"
16,1999,"PRI"
16,2000,"PRI"
16,2001,"PRI"
16,2002,"PRD"
16,2003,"PRD"
16,2004,"PRD"
16,2005,"PRD"
16,2006,"PRD"
16,2007,"PRD"
16,2008,"PRD"
16,2009,"PRD"
16,2010,"PRD"
16,2011,"PRD"
16,2012,"PRI"
16,2013,"PRI"
16,2014,"PRI"
16,2015,"PRI"
16,2016,"PRD"
16,2017,"PRD"
16,2018,"PRD"
16,2019,"PRD"
16,2020,"PRD"
16,2021,"PRD"
16,2022,"MORENA"
16,2023,"MORENA"
16,2024,"MORENA"
16,2025,"MORENA"
17,1989,"PRI"
17,1990,"PRI"
17,1991,"PRI"
17,1992,"PRI"
17,1993,"PRI"
17,1994,"PRI"
17,1995,"PRI"
17,1996,"PRI"
17,1997,"PRI"
17,1998,"PRI"
17,1999,"PRI"
17,2000,"PRI"
17,2001,"PAN"
17,2002,"PAN"
17,2003,"PAN"
17,2004,"PAN"
17,2005,"PAN"
17,2006,"PAN"
17,2007,"PAN"
17,2008,"PAN"
17,2009,"PAN"
17,2010,"PAN"
17,2011,"PAN"
17,2012,"PAN"
17,2013,"PRD"
17,2014,"PRD"
17,2015,"PRD"
17,2016,"PRD"
17,2017,"PRD"
17,2018,"PRD"
17,2019,"PES"
17,2020,"PES"
17,2021,"PES"
17,2022,"PES"
17,2023,"PES"
17,2024,"PES"
17,2025,"MORENA"
18,1989,"PRI"
18,1990,"PRI"
18,1991,"PRI"
18,1992,"PRI"
18,1993,"PRI"
18,1994,"PRI"
18,1995,"PRI"
18,1996,"PRI"
18,1997,"PRI"
18,1998,"PRI"
18,1999,"PRI"
18,2000,"PAN"
18,2001,"PAN"
18,2002,"PAN"
18,2003,"PAN"
18,2004,"PAN"
18,2005,"PAN"
18,2006,"PRI"
18,2007,"PRI"
18,2008,"PRI"
18,2009,"PRI"
18,2010,"PRI"
18,2011,"PRI"
18,2012,"PRI"
18,2013,"PRI"
18,2014,"PRI"
18,2015,"PRI"
18,2016,"PRI"
18,2017,"PRI"
18,2018,"PAN"
18,2019,"PAN"
18,2020,"PAN"
18,2021,"PAN"
18,2022,"MORENA"
18,2023,"MORENA"
18,2024,"MORENA"
18,2025,"MORENA"
19,1989,"PRI"
19,1990,"PRI"
19,1991,"PRI"
19,1992,"PRI"
19,1993,"PRI"
19,1994,"PRI"
19,1995,"PRI"
19,1996,"PRI"
19,1997,"PRI"
19,1998,"PAN"
19,1999,"PAN"
19,2000,"PAN"
19,2001,"PAN"
19,2002,"PAN"
19,2003,"PAN"
19,2004,"PRI"
19,2005,"PRI"
19,2006,"PRI"
19,2007,"PRI"
19,2008,"PRI"
19,2009,"PRI"
19,2010,"PRI"
19,2011,"PRI"
19,2012,"PRI"
19,2013,"PRI"
19,2014,"PRI"
19,2015,"PRI"
19,2016,"INDEPENDIENTE"
19,2017,"INDEPENDIENTE"
19,2018,"INDEPENDIENTE"
19,2019,"INDEPENDIENTE"
19,2020,"INDEPENDIENTE"
19,2021,"INDEPENDIENTE"
19,2022,"MC"
19,2023,"MC"
19,2024,"MC"
19,2025,"MC"
20,1989,"PRI"
20,1990,"PRI"
20,1991,"PRI"
20,1992,"PRI"
20,1993,"PRI"
20,1994,"PRI"
20,1995,"PRI"
20,1996,"PRI"
20,1997,"PRI"
20,1998,"PRI"
20,1999,"PRI"
20,2000,"PRI"
20,2001,"PRI"
20,2002,"PRI"
20,2003,"PRI"
20,2004,"PRI"
20,2005,"PRI"
20,2006,"PRI"
20,2007,"PRI"
20,2008,"PRI"
20,2009,"PRI"
20,2010,"PRI"
20,2011,"MC"
20,2012,"MC"
20,2013,"MC"
20,2014,"MC"
20,2015,"MC"
20,2016,"MC"
20,2017,"PRI"
20,2018,"PRI"
20,2019,"PRI"
20,2020,"PRI"
20,2021,"PRI"
20,2022,"PRI"
20,2023,"MORENA"
20,2024,"MORENA"
20,2025,"MORENA"
21,1989,"PRI"
21,1990,"PRI"
21,1991,"PRI"
21,1992,"PRI"
21,1993,"PRI"
21,1994,"PRI"
21,1995,"PRI"
21,1996,"PRI"
21,1997,"PRI"
21,1998,"PRI"
21,1999,"PRI"
21,2000,"PRI"
21,2001,"PRI"
21,2002,"PRI"
21,2003,"PRI"
21,2004,"PRI"
21,2005,"PRI"
21,2006,"PRI"
21,2007,"PRI"
21,2008,"PRI"
21,2009,"PRI"
21,2010,"PRI"
21,2011,"PAN"
21,2012,"PAN"
21,2013,"PAN"
21,2014,"PAN"
21,2015,"PAN"
21,2016,"PAN"
21,2017,"PAN"
21,2018,"PAN"
21,2019,"PRI"
21,2020,"MORENA"
21,2021,"MORENA"
21,2022,"MORENA"
21,2023,"MORENA"
21,2024,"MORENA"
21,2025,"MORENA"
22,1989,"PRI"
22,1990,"PRI"
22,1991,"PRI"
22,1992,"PRI"
22,1993,"PRI"
22,1994,"PRI"
22,1995,"PRI"
22,1996,"PRI"
22,1997,"PRI"
22,1998,"PAN"
22,1999,"PAN"
22,2000,"PAN"
22,2001,"PAN"
22,2002,"PAN"
22,2003,"PAN"
22,2004,"PAN"
22,2005,"PAN"
22,2006,"PAN"
22,2007,"PAN"
22,2008,"PAN"
22,2009,"PAN"
22,2010,"PRI"
22,2011,"PRI"
22,2012,"PRI"
22,2013,"PRI"
22,2014,"PRI"
22,2015,"PRI"
22,2016,"PAN"
22,2017,"PAN"
22,2018,"PAN"
22,2019,"PAN"
22,2020,"PAN"
22,2021,"PAN"
22,2022,"PAN"
22,2023,"PAN"
22,2024,"PAN"
22,2025,"PAN"
23,1989,"PRI"
23,1990,"PRI"
23,1991,"PRI"
23,1992,"PRI"
23,1993,"PRI"
23,1994,"PRI"
23,1995,"PRI"
23,1996,"PRI"
23,1997,"PRI"
23,1998,"PRI"
23,1999,"PRI"
23,2000,"PRI"
23,2001,"PRI"
23,2002,"PRI"
23,2003,"PRI"
23,2004,"PRI"
23,2005,"PRI"
23,2006,"PRI"
23,2007,"PRI"
23,2008,"PRI"
23,2009,"PRI"
23,2010,"PRI"
23,2011,"PRI"
23,2012,"PRI"
23,2013,"PRI"
23,2014,"PRI"
23,2015,"PRI"
23,2016,"PRI"
23,2017,"PRD"
23,2018,"PRD"
23,2019,"PRD"
23,2020,"PRD"
23,2021,"PRD"
23,2022,"PRD"
23,2023,"MORENA"
23,2024,"MORENA"
23,2025,"MORENA"
24,1989,"PRI"
24,1990,"PRI"
24,1991,"PRI"
24,1992,"PRI"
24,1993,"PRI"
24,1994,"PRI"
24,1995,"PRI"
24,1996,"PRI"
24,1997,"PRI"
24,1998,"PRI"
24,1999,"PRI"
24,2000,"PRI"
24,2001,"PRI"
24,2002,"PRI"
24,2003,"PRI"
24,2004,"PAN"
24,2005,"PAN"
24,2006,"PAN"
24,2007,"PAN"
24,2008,"PAN"
24,2009,"PAN"
24,2010,"PRI"
24,2011,"PRI"
24,2012,"PRI"
24,2013,"PRI"
24,2014,"PRI"
24,2015,"PRI"
24,2016,"PRI"
24,2017,"PRI"
24,2018,"PRI"
24,2019,"PRI"
24,2020,"PRI"
24,2021,"PRI"
24,2022,"PVEM"
24,2023,"PVEM"
24,2024,"PVEM"
24,2025,"PVEM"
25,1989,"PRI"
25,1990,"PRI"
25,1991,"PRI"
25,1992,"PRI"
25,1993,"PRI"
25,1994,"PRI"
25,1995,"PRI"
25,1996,"PRI"
25,1997,"PRI"
25,1998,"PRI"
25,1999,"PRI"
25,2000,"PRI"
25,2001,"PRI"
25,2002,"PRI"
25,2003,"PRI"
25,2004,"PRI"
25,2005,"PRI"
25,2006,"PRI"
25,2007,"PRI"
25,2008,"PRI"
25,2009,"PRI"
25,2010,"PRI"
25,2011,"PAN"
25,2012,"PAN"
25,2013,"PAN"
25,2014,"PAN"
25,2015,"PAN"
25,2016,"PAN"
25,2017,"PRI"
25,2018,"PRI"
25,2019,"PRI"
25,2020,"PRI"
25,2021,"PRI"
25,2022,"MORENA"
25,2023,"MORENA"
25,2024,"MORENA"
25,2025,"MORENA"
26,1989,"PRI"
26,1990,"PRI"
26,1991,"PRI"
26,1992,"PRI"
26,1993,"PRI"
26,1994,"PRI"
26,1995,"PRI"
26,1996,"PRI"
26,1997,"PRI"
26,1998,"PRI"
26,1999,"PRI"
26,2000,"PRI"
26,2001,"PRI"
26,2002,"PRI"
26,2003,"PRI"
26,2004,"PRI"
26,2005,"PRI"
26,2006,"PRI"
26,2007,"PRI"
26,2008,"PRI"
26,2009,"PRI"
26,2010,"PAN"
26,2011,"PAN"
26,2012,"PAN"
26,2013,"PAN"
26,2014,"PAN"
26,2015,"PAN"
26,2016,"PRI"
26,2017,"PRI"
26,2018,"PRI"
26,2019,"PRI"
26,2020,"PRI"
26,2021,"PRI"
26,2022,"MORENA"
26,2023,"MORENA"
26,2024,"MORENA"
26,2025,"MORENA"
27,1989,"PRI"
27,1990,"PRI"
27,1991,"PRI"
27,1992,"PRI"
27,1993,"PRI"
27,1994,"PRI"
27,1995,"PRI"
27,1996,"PRI"
27,1997,"PRI"
27,1998,"PRI"
27,1999,"PRI"
27,2000,"PRI"
27,2001,"PRI"
27,2002,"PRI"
27,2003,"PRI"
27,2004,"PRI"
27,2005,"PRI"
27,2006,"PRI"
27,2007,"PRI"
27,2008,"PRI"
27,2009,"PRI"
27,2010,"PRI"
27,2011,"PRI"
27,2012,"PRI"
27,2013,"PRD"
27,2014,"PRD"
27,2015,"PRD"
27,2016,"PRD"
27,2017,"PRD"
27,2018,"PRD"
27,2019,"MORENA"
27,2020,"MORENA"
27,2021,"MORENA"
27,2022,"MORENA"
27,2023,"MORENA"
27,2024,"MORENA"
27,2025,"MORENA"
28,1989,"PRI"
28,1990,"PRI"
28,1991,"PRI"
28,1992,"PRI"
28,1993,"PRI"
28,1994,"PRI"
28,1995,"PRI"
28,1996,"PRI"
28,1997,"PRI"
28,1998,"PRI"
28,1999,"PRI"
28,2000,"PRI"
28,2001,"PRI"
28,2002,"PRI"
28,2003,"PRI"
28,2004,"PRI"
28,2005,"PRI"
28,2006,"PRI"
28,2007,"PRI"
28,2008,"PRI"
28,2009,"PRI"
28,2010,"PRI"
28,2011,"PRI"
28,2012,"PRI"
28,2013,"PRI"
28,2014,"PRI"
28,2015,"PRI"
28,2016,"PRI"
28,2017,"PAN"
28,2018,"PAN"
28,2019,"PAN"
28,2020,"PAN"
28,2021,"PAN"
28,2022,"PAN"
28,2023,"MORENA"
28,2024,"MORENA"
28,2025,"MORENA"
29,1989,"PRI"
29,1990,"PRI"
29,1991,"PRI"
29,1992,"PRI"
29,1993,"PRI"
29,1994,"PRI"
29,1995,"PRI"
29,1996,"PRI"
29,1997,"PRI"
29,1998,"PRI"
29,1999,"PRD"
29,2000,"PRD"
29,2001,"PRD"
29,2002,"PRD"
29,2003,"PRD"
29,2004,"PRD"
29,2005,"PAN"
29,2006,"PAN"
29,2007,"PAN"
29,2008,"PAN"
29,2009,"PAN"
29,2010,"PAN"
29,2011,"PRI"
29,2012,"PRI"
29,2013,"PRI"
29,2014,"PRI"
29,2015,"PRI"
29,2016,"PRI"
29,2017,"PRI"
29,2018,"PRI"
29,2019,"PRI"
29,2020,"PRI"
29,2021,"PRI"
29,2022,"MORENA"
29,2023,"MORENA"
29,2024,"MORENA"
29,2025,"MORENA"
30,1989,"PRI"
30,1990,"PRI"
30,1991,"PRI"
30,1992,"PRI"
30,1993,"PRI"
30,1994,"PRI"
30,1995,"PRI"
30,1996,"PRI"
30,1997,"PRI"
30,1998,"PRI"
30,1999,"PRI"
30,2000,"PRI"
30,2001,"PRI"
30,2002,"PRI"
30,2003,"PRI"
30,2004,"PRI"
30,2005,"PRI"
30,2006,"PRI"
30,2007,"PRI"
30,2008,"PRI"
30,2009,"PRI"
30,2010,"PRI"
30,2011,"PRI"
30,2012,"PRI"
30,2013,"PRI"
30,2014,"PRI"
30,2015,"PRI"
30,2016,"PRI"
30,2017,"PAN"
30,2018,"PAN"
30,2019,"MORENA"
30,2020,"MORENA"
30,2021,"MORENA"
30,2022,"MORENA"
30,2023,"MORENA"
30,2024,"MORENA"
30,2025,"MORENA"
31,1989,"PRI"
31,1990,"PRI"
31,1991,"PRI"
31,1992,"PRI"
31,1993,"PRI"
31,1994,"PRI"
31,1995,"PRI"
31,1996,"PRI"
31,1997,"PRI"
31,1998,"PRI"
31,1999,"PRI"
31,2000,"PRI"
31,2001,"PRI"
31,2002,"PAN"
31,2003,"PAN"
31,2004,"PAN"
31,2005,"PAN"
31,2006,"PAN"
31,2007,"PAN"
31,2008,"PRI"
31,2009,"PRI"
31,2010,"PRI"
31,2011,"PRI"
31,2012,"PRI"
31,2013,"PRI"
31,2014,"PRI"
31,2015,"PRI"
31,2016,"PRI"
31,2017,"PRI"
31,2018,"PRI"
31,2019,"PAN"
31,2020,"PAN"
31,2021,"PAN"
31,2022,"PAN"
31,2023,"PAN"
31,2024,"PAN"
31,2025,"MORENA"
32,1989,"PRI"
32,1990,"PRI"
32,1991,"PRI"
32,1992,"PRI"
32,1993,"PRI"
32,1994,"PRI"
32,1995,"PRI"
32,1996,"PRI"
32,1997,"PRI"
32,1998,"PRI"
32,1999,"PRD"
32,2000,"PRD"
32,2001,"PRD"
32,2002,"PRD"
32,2003,"PRD"
32,2004,"PRD"
32,2005,"PRD"
32,2006,"PRD"
32,2007,"PRD"
32,2008,"PRD"
32,2009,"PRD"
32,2010,"PRD"
32,2011,"PRI"
32,2012,"PRI"
32,2013,"PRI"
32,2014,"PRI"
32,2015,"PRI"
32,2016,"PRI"
32,2017,"PRI"
32,2018,"PRI"
32,2019,"PRI"
32,2020,"PRI"
32,2021,"PRI"
32,2022,"MORENA"
32,2023,"MORENA"
32,2024,"MORENA"
32,2025,"MORENA"
