"CVE_ENTIDAD","YEAR","PARTIDO_GOBERNADOR"
1,1989,"PRI"
1,1990,"PRI"
1,1991,"PRI"
1,1992,"PRI"
1,1993,"PRI"
1,1994,"PRI"
1,1995,"PRI"
1,1996,"PRI"
1,1997,"PRI"
1,1998,"PRI"
1,1999,"PAN"
1,2000,"PAN"
1,2001,"PAN"
1,2002,"PAN"
1,2003,"PAN"
1,2004,"PAN"
1,2005,"PAN"
1,2006,"PAN"
1,2007,"PAN"
1,2008,"PAN"
1,2009,"PAN"
1,2010,"PAN"
1,2011,"PRI"
1,2012,"PRI"
1,2013,"PRI"
1,2014,"PRI"
1,2015,"PRI"
1,2016,"PRI"
1,2017,"PAN"
1,2018,"PAN"
1,2019,"PAN"
1,2020,"PAN"
1,2021,"PAN"
1,2022,"PAN"
1,2023,"PAN"
1,2024,"PAN"
1,2025,"PAN"
2,1989,"PRI"
2,1990,"PAN"
2,1991,"PAN"
2,1992,"PAN"
2,1993,"PAN"
2,1994,"PAN"
2,1995,"PAN"
2,1996,"PAN"
2,1997,"PAN"
2,1998,"PAN"
2,1999,"PAN"
2,2000,"PAN"
2,2001,"PAN"
2,2002,"PAN"
2,2003,"PAN"
2,2004,"PAN"
2,2005,"PAN"
2,2006,"PAN"
2,2007,"PAN"
2,2008,"PAN"
2,2009,"PAN"
2,2010,"PAN"
2,2011,"PAN"
2,2012,"PAN"
2,2013,"PAN"
2,2014,"PAN"
2,2015,"PAN"
2,2016,"PAN"
2,2017,"PAN"
2,2018,"PAN"
2,2019,"PAN"
2,2020,"MORENA"
2,2021,"MORENA"
2,2022,"MORENA"
2,2023,"MORENA"
2,2024,"MORENA"
2,2025,"MORENA"
3,1989,"PRI"
3,1990,"PRI"
3,1991,"PRI"
3,1992,"PRI"
3,1993,"PRI"
3,1994,"PRI"
3,1995,"PRI"
3,1996,"PRI"
3,1997,"PRI"
3,1998,"PRI"
3,1999,"PRI"
3,2000,"PRD"
3,2001,"PRD"
3,2002,"PRD"
3,2003,"PRD"
3,2004,"PRD"
3,2005,"PRD"
3,2006,"PRD"
3,2007,"PRD"
3,2008,"PRD"
3,2009,"PRD"
3,2010,"PRD"
3,2011,"PRD"
3,2012,"PAN"
3,2013,"PAN"
3,2014,"PAN"
3,2015,"PAN"
3,2016,"PAN"
3,2017,"PAN"
3,2018,"PAN"
3,2019,"PAN"
3,2020,"PAN"
3,2021,"PAN"
3,2022,"MORENA"
3,2023,"MORENA"
3,2024,"MORENA"
3,2025,"MORENA"
4,1989,"PRI"
4,1990,"PRI"
4,1991,"PRI"
4,1992,"PRI"
4,1993,"PRI"
4,1994,"PRI"
4,1995,"PRI"
4,1996,"PRI"
4,1997,"PRI"
