ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PCU,MORENA,PH,ES,MVC,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
7,CHIAPAS,1,ACACOYAGUA,6,18,1789,1212,57,0,1213,0,36,1075,419,0,11,1967,0,0,0,0,0,0,0,0,4,7779,196,7979,11270,0.708
7,CHIAPAS,2,ACALA,11,23,0,88,38,29,2502,605,340,2892,66,22,0,3435,0,0,0,0,0,0,0,0,0,10017,204,10221,13940,0.7332
7,CHIAPAS,3,ACAPETAHUA,14,37,972,805,48,439,4472,0,246,5962,144,0,6,161,0,0,0,0,0,0,0,0,0,13255,323,13578,19466,0.6975
7,CHIAPAS,4,ALTAMIRANO,9,38,93,6156,259,86,6345,0,52,823,27,0,8,698,0,0,0,0,0,0,0,0,0,14547,413,14960,18198,0.8221
7,CHIAPAS,5,AMATAN,10,25,512,3536,296,170,4389,0,44,1223,61,0,0,178,0,0,0,0,0,0,0,0,0,10409,281,10690,12565,0.8508
7,CHIAPAS,6,AMATENANGO DE LA FRONTERA,14,40,0,5249,860,213,4975,0,176,2321,49,0,9,33,0,0,0,0,0,0,0,0,0,13885,452,14337,20246,0.7081
7,CHIAPAS,7,AMATENANGO DEL VALLE,4,10,5,1552,232,0,1559,0,18,1582,8,0,0,0,0,0,0,0,0,0,0,0,0,4956,121026,5051,5558,0.9088
7,CHIAPAS,8,ANGEL ALBINO CORZO,13,31,974,478,592,414,4995,0,66,1555,123,46,836,1599,379,0,0,0,0,0,0,0,1,12057,444,12502,17070,0.7324
7,CHIAPAS,9,ARRIAGA,25,57,827,3011,373,862,3405,136,2827,3604,752,114,174,2434,0,0,0,0,0,0,0,0,0,18519,737,19256,29884,0.6444
7,CHIAPAS,10,BEJUCAL DE OCAMPO,3,9,10,823,443,0,746,0,12,716,5,0,1,7,0,0,0,0,0,0,0,0,0,2763,58,2821,4869,0.5794
7,CHIAPAS,11,BELLA VISTA,14,27,9,1534,2912,20,3669,0,30,1356,13,0,0,0,0,0,0,0,0,0,0,0,7,9543,168,9718,13173,0.7377
7,CHIAPAS,12,BERRIOZABAL,14,47,296,3959,619,0,4656,128,231,2025,336,121,568,4786,0,0,0,0,0,0,0,0,60,17725,631,18416,28005,0.6576
7,CHIAPAS,13,BOCHIL,11,41,149,6544,3113,387,2777,112,104,1037,845,0,34,0,0,0,0,0,0,0,0,0,2,15102,597,15701,20103,0.781
7,CHIAPAS,14,EL BOSQUE,8,23,183,3371,0,133,2166,21,82,1123,0,0,0,3450,0,0,0,0,0,0,0,0,87,10529,407,11023,13720,0.8034
7,CHIAPAS,15,CACAHOATAN,23,54,141,5970,338,262,6851,163,111,165,1189,260,0,4928,0,0,0,0,0,0,0,0,2,20378,735,21115,29574,0.714
7,CHIAPAS,16,CATAZAJA,11,24,2138,1395,47,0,4864,0,48,44,77,0,0,1068,0,0,0,0,0,0,0,0,36,9681,169,9886,12641,0.7821
7,CHIAPAS,17,CINTALAPA,37,96,255,12256,482,804,10233,220,484,4523,1712,197,164,1640,0,0,0,0,0,0,0,0,0,32970,0,32970,55686,0.5921
7,CHIAPAS,18,COAPILLA,5,11,4,1017,1885,0,1356,7,16,23,43,0,0,0,0,0,0,0,0,0,0,0,0,4351,75,4426,5263,0.841
7,CHIAPAS,19,COMITAN DE DOMINGUEZ,54,164,477,29858,442,616,18573,343,277,261,2918,0,218,711,0,0,0,0,0,0,0,0,14,54694,2471,57179,97858,0.5843
7,CHIAPAS,20,LA CONCORDIA,24,57,0,1614,0,0,8353,87,120,8651,377,91,0,1662,0,0,0,0,0,0,0,0,236,20955,722,21913,30279,0.7237
7,CHIAPAS,21,COPAINALA,14,30,166,3594,0,0,4168,0,135,2680,587,0,0,0,0,0,0,0,0,0,0,0,2,11330,168,11500,14309,0.8037
7,CHIAPAS,22,CHALCHIHUITAN,5,19,44,2440,1848,1631,1032,21,36,668,4,0,0,0,0,0,0,0,0,0,0,0,3,7724,338,8065,9255,0.8714
7,CHIAPAS,23,CHAMULA,39,111,123,10043,118,249,20012,0,444,4631,171,0,45,2639,0,0,0,0,0,0,0,0,5,38475,2149,40629,54665,0.7432
7,CHIAPAS,24,CHANAL,6,15,7,1867,1353,0,1732,0,15,128,15,5,0,67,0,0,0,0,0,0,0,0,0,5189,155,5344,6395,0.8357
7,CHIAPAS,25,CHAPULTENANGO,3,9,288,131,422,1085,765,0,77,192,19,0,0,521,0,0,0,0,0,0,0,0,0,3500,110,3610,4512,0.8001
7,CHIAPAS,26,CHENALHO,16,47,0,6159,478,0,6959,0,115,1237,320,0,10,76,0,0,0,0,0,0,0,0,0,15354,464,15818,24925,0.6346
7,CHIAPAS,27,CHIAPA DE CORZO,31,103,421,15196,222,483,11337,369,306,933,2893,185,153,2404,0,0,0,0,0,0,0,0,5,34902,1499,36406,62209,0.5852
7,CHIAPAS,28,CHIAPILLA,3,7,3,1140,7,0,1074,0,9,1267,12,0,0,0,0,0,0,0,0,0,0,0,0,3512,48,3560,4378,0.8132
7,CHIAPAS,29,CHICOASEN,3,6,262,39,0,0,571,0,12,333,1242,0,0,543,0,0,0,0,0,0,0,0,1,3002,82,3085,4010,0.7693
7,CHIAPAS,30,CHICOMUSELO,17,41,31,1993,128,1945,6283,0,97,4380,65,0,18,881,0,0,0,0,0,0,0,0,0,15821,561,16382,22060,0.7426
7,CHIAPAS,31,CHILON,33,115,89,15804,183,378,19238,0,295,3749,3013,178,91,4445,0,0,0,0,0,0,0,0,3,47463,2546,50012,64855,0.7711
7,CHIAPAS,32,ESCUINTLA,13,36,59,4584,1049,1573,2983,0,59,1862,452,74,0,284,0,0,0,0,0,0,0,0,0,12979,463,13442,20086,0.6692
7,CHIAPAS,33,FRANCISCO LEON,2,11,1055,12,0,0,1373,0,20,288,11,0,0,20,0,871,0,0,0,0,0,0,0,3650,57,3707,4246,0.8731
7,CHIAPAS,34,FRONTERA COMALAPA,28,79,68,14617,318,723,11011,0,203,49,381,0,39,1599,0,0,0,0,0,0,0,0,2,29008,1123,30133,45726,0.659
7,CHIAPAS,35,FRONTERA HIDALGO,5,16,511,2544,72,198,2319,243,29,31,443,25,0,146,0,0,0,0,0,0,0,0,95,6561,272,6928,9049,0.7656
7,CHIAPAS,36,LA GRANDEZA,3,9,1,1512,0,0,1702,0,2,7,11,0,0,6,0,0,0,0,0,0,0,0,27,3241,37,3305,4505,0.7336
7,CHIAPAS,37,HUEHUETAN,16,47,238,1613,2235,563,4970,0,201,1477,2379,0,174,2793,0,0,0,0,0,0,0,0,5,16643,482,17130,24802,0.6907
7,CHIAPAS,38,HUITIUPAN,10,30,0,5620,49,0,5574,0,69,46,928,0,0,0,0,0,0,0,0,0,0,0,5,12286,454,12745,14429,0.8833
