ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PCU,MORENA,PH,ES,MVC,PRI_PVEM_NVA_ALIANZA_PCU,PRI_PVEM_NVA_ALIANZA,PRI_PVEM_PCU,PRI_NVA_ALIANZA_PCU,PVEM_NVA_ALIANZA_PCU,PRI_PVEM,PRI_NVA_ALIANZA,PRI_PCU,PVEM_NVA_ALIANZA,PVEM_PCU,NVA_ALIANZA_PCU,PT_MC,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
7,CHIAPAS,1,ACACOYAGUA,6,18,1789,1212,57,0,1213,0,36,1075,419,0,11,1967,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,7786,196,7986,11270,0.7086
7,CHIAPAS,2,ACALA,11,23,0,77,36,32,2532,606,339,2888,66,23,0,3410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10009,200,10211,13940,0.7325
7,CHIAPAS,3,ACAPETAHUA,14,37,972,805,48,439,4472,0,246,5962,144,0,6,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13255,323,13578,19466,0.6975
7,CHIAPAS,4,ALTAMIRANO,9,38,93,6156,259,86,6345,0,52,823,27,0,8,698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14547,413,14960,18198,0.8221
7,CHIAPAS,5,AMATAN,10,25,512,3329,296,170,4290,0,44,1323,61,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10203,281,10484,12565,0.8344
7,CHIAPAS,6,AMATENANGO DE LA FRONTERA,14,40,0,5249,860,213,4970,0,171,2321,49,0,9,33,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,13885,452,14337,20246,0.7081
7,CHIAPAS,7,AMATENANGO DEL VALLE,4,10,5,1552,232,0,1558,0,18,1582,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4956,95,5051,5558,0.9088
7,CHIAPAS,8,ANGEL ALBINO CORZO,13,31,984,478,592,414,4836,10,67,1555,123,46,836,1599,0,0,0,0,0,0,0,0,10,0,0,0,379,0,0,0,0,0,0,0,1,11929,444,12374,17070,0.7249
7,CHIAPAS,9,ARRIAGA,25,57,827,3011,373,862,3405,136,2827,3604,752,114,174,2439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18524,737,19262,29884,0.6446
7,CHIAPAS,10,BEJUCAL DE OCAMPO,3,9,10,823,443,0,746,0,12,716,5,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2763,58,2821,4869,0.5794
