Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 72 - PURUANDIRO,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 1601 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,158,123,62,16,4,1,2,,,,,0,,0,,,0,,0,17,383,677
C1,AC,Urna tradicional,151,124,44,13,5,1,2,,,,,2,,4,,,0,,0,8,354,678
Total,,,309,247,106,29,9,2,4,0,0,0,0,2,0,4,0,0,0,0,0,25,737,1355
Sección 1602 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,206,125,51,12,8,0,4,,,,,5,,2,,,0,,0,6,419,701
C1,AC,Urna tradicional,177,118,58,26,6,0,3,,,,,8,,2,,,0,,0,9,407,701
C2,AC,Urna tradicional,190,144,48,17,3,2,4,,,,,11,,5,,,1,,0,3,428,701
Total,,,573,387,157,55,17,2,11,0,0,0,0,24,0,9,0,0,1,0,0,18,1254,2103
Sección 1603 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,165,79,34,17,6,0,5,,,,,14,,2,,,0,,0,5,327,586
C1,AC,Urna tradicional,193,97,22,19,0,1,2,,,,,10,,4,,,1,,0,7,356,587
C2,AC,Urna tradicional,188,101,44,27,6,2,2,,,,,5,,0,,,1,,0,3,379,587
C3,AC,Urna tradicional,180,97,29,24,1,0,2,,,,,5,,3,,,0,,0,8,349,587
Total,,,726,374,129,87,13,3,11,0,0,0,0,34,0,9,0,0,2,0,0,23,1411,2347
Sección 1604 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,125,80,51,14,4,1,1,,,,,1,,2,,,0,,0,5,284,535
C1,AC,Urna tradicional,136,69,46,13,4,1,1,,,,,2,,3,,,3,,0,4,282,536
C2,AC,Urna tradicional,132,87,41,21,2,2,1,,,,,5,,1,,,1,,0,6,299,536
Total,,,393,236,138,48,10,4,3,0,0,0,0,8,0,6,0,0,4,0,0,15,865,1607
Sección 1605 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,130,132,27,12,0,0,3,,,,,3,,0,,,0,,0,10,317,511
C1,AC,Urna tradicional,116,109,37,11,0,1,0,,,,,3,,3,,,2,,0,28,310,512
Total,,,246,241,64,23,0,1,3,0,0,0,0,6,0,3,0,0,2,0,0,38,627,1023
Sección 1606 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,148,87,31,6,0,2,3,,,,,8,,1,,,0,,0,7,293,489
C1,AC,Urna tradicional,145,101,28,8,0,0,0,,,,,0,,0,,,0,,0,7,289,489
Total,,,293,188,59,14,0,2,3,0,0,0,0,8,0,1,0,0,0,0,0,14,582,978
Sección 1607 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,164,133,37,22,9,0,1,,,,,4,,4,,,0,,0,11,385,692
C1,AC,Urna tradicional,172,154,42,26,5,0,3,,,,,9,,1,,,0,,1,8,421,693
C2,AC,Urna tradicional,156,163,66,21,6,2,2,,,,,5,,4,,,1,,1,3,430,693
Total,,,492,450,145,69,20,2,6,0,0,0,0,18,0,9,0,0,1,0,2,22,1236,2078
Sección 1608 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,106,125,45,14,8,1,0,,,,,3,,3,,,0,,1,11,317,550
C1,AC,Urna tradicional,137,80,40,18,5,0,2,,,,,4,,1,,,0,,0,7,294,550
C2,AC,Urna tradicional,128,111,37,19,5,1,1,,,,,2,,0,,,0,,1,12,317,551
Total,,,371,316,122,51,18,2,3,0,0,0,0,9,0,4,0,0,0,0,2,30,928,1651
Sección 1609 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,216,120,45,30,8,0,0,,,,,1,,3,,,0,,0,16,439,739
C1,AC,Urna tradicional,221,128,26,23,5,0,1,,,,,7,,1,,,1,,0,20,433,740
