Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 66 - PARACHO,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 1440 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,38,141,153,14,0,0,,,,,,,,0,,,0,,0,21,367,589
C1,AC,Urna tradicional,26,168,187,17,2,1,,,,,,,,0,,,1,,0,10,412,589
C2,AC,Urna tradicional,23,171,168,16,2,1,,,,,,,,1,,,0,,0,14,396,589
Total,,,87,480,508,47,4,2,0,0,0,0,0,0,0,1,0,0,1,0,0,45,1175,1767
Sección 1441 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,33,170,161,14,7,2,,,,,,,,0,,,0,,0,14,401,551
C1,AC,Urna tradicional,27,166,180,8,2,2,,,,,,,,0,,,0,,0,16,401,551
Total,,,60,336,341,22,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,30,802,1102
Sección 1442 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,42,162,128,10,1,0,,,,,,,,1,,,2,,0,18,364,489
C1,AC,Urna tradicional,24,173,114,17,2,0,,,,,,,,4,,,2,,0,21,357,490
Total,,,66,335,242,27,3,0,0,0,0,0,0,0,0,5,0,0,4,0,0,39,721,979
Sección 1443 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,45,200,164,20,1,2,,,,,,,,0,,,4,,0,9,445,685
C1,AC,Urna tradicional,41,222,150,18,1,2,,,,,,,,3,,,0,,0,16,453,685
Total,,,86,422,314,38,2,4,0,0,0,0,0,0,0,3,0,0,4,0,0,25,898,1370
Sección 1444 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,35,163,160,19,1,2,,,,,,,,1,,,0,,0,9,390,567
C1,AC,Urna tradicional,29,176,150,15,3,1,,,,,,,,3,,,2,,0,10,389,568
Total,,,64,339,310,34,4,3,0,0,0,0,0,0,0,4,0,0,2,0,0,19,779,1135
Sección 1445 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,41,138,181,8,9,0,,,,,,,,2,,,2,,0,18,399,579
C1,AC,Urna tradicional,39,135,181,20,1,2,,,,,,,,0,,,1,,0,15,394,580
C2,AC,Urna tradicional,38,162,156,11,2,1,,,,,,,,2,,,1,,0,12,385,580
Total,,,118,435,518,39,12,3,0,0,0,0,0,0,0,4,0,0,4,0,0,45,1178,1739
Sección 1446 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,46,181,219,22,7,1,,,,,,,,0,,,0,,0,18,494,698
C1,AC,Urna tradicional,60,171,183,12,0,1,,,,,,,,3,,,2,,0,9,441,699
C2,AC,Urna tradicional,45,202,195,22,2,1,,,,,,,,0,,,0,,0,18,485,699
Total,,,151,554,597,56,9,3,0,0,0,0,0,0,0,3,0,0,2,0,0,45,1420,2096
Sección 1447 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,25,152,182,19,0,0,,,,,,,,3,,,3,,0,18,402,632
C1,AC,Urna tradicional,32,160,183,12,1,0,,,,,,,,1,,,0,,0,13,402,632
Total,,,57,312,365,31,1,0,0,0,0,0,0,0,0,4,0,0,3,0,0,31,804,1264
Sección 1448 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,41,128,180,29,3,1,,,,,,,,2,,,0,,0,27,411,668
C1,AC,Urna tradicional,47,133,204,32,0,0,,,,,,,,3,,,3,,0,20,442,668
C2,AC,Urna tradicional,36,140,203,14,1,1,,,,,,,,2,,,1,,0,20,418,669
Total,,,124,401,587,75,4,2,0,0,0,0,0,0,0,7,0,0,4,0,0,67,1271,2005
Sección 1449 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,4,15,215,1,1,0,,,,,,,,1,,,0,,0,18,255,607
C1,AC,Urna tradicional,8,16,223,3,0,0,,,,,,,,0,,,0,,0,10,260,607
C2,AC,Urna tradicional,10,12,199,1,1,0,,,,,,,,0,,,1,,0,0,224,607
C3,AC,Urna tradicional,19,9,206,3,0,0,,,,,,,,0,,,5,,0,7,249,607
Total,,,41,52,843,8,2,0,0,0,0,0,0,0,0,1,0,0,6,0,0,35,988,2428
Sección 1450 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,55,75,190,3,2,0,,,,,,,,2,,,0,,0,25,352,642
C1,AC,Urna tradicional,75,112,167,3,1,1,,,,,,,,2,,,0,,0,33,394,642
C2,AC,Urna tradicional,70,95,168,5,3,0,,,,,,,,0,,,0,,0,22,363,643
Total,,,200,282,525,11,6,1,0,0,0,0,0,0,0,4,0,0,0,0,0,80,1109,1927
Sección 1451 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,32,156,157,1,0,1,,,,,,,,2,,,0,,0,12,361,525
C1,AC,Urna tradicional,17,199,117,4,0,0,,,,,,,,0,,,0,,0,10,347,525
C2,AC,Urna tradicional,28,186,114,7,0,0,,,,,,,,0,,,0,,0,10,345,526
Total,,,77,541,388,12,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,32,1053,1576
Sección 1452 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,32,116,117,1,3,0,,,,,,,,0,,,2,,0,24,295,600
C1,AC,Urna tradicional,33,122,109,12,0,1,,,,,,,,3,,,0,,0,11,291,600
C2,AC,Urna tradicional,17,121,102,2,3,2,,,,,,,,3,,,0,,0,15,265,600
Total,,,82,359,328,15,6,3,0,0,0,0,0,0,0,6,0,0,2,0,0,50,851,1800
Sección 1453 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,25,142,114,15,2,0,,,,,,,,0,,,0,,0,21,319,572
C1,AC,Urna tradicional,34,103,141,18,2,0,,,,,,,,0,,,0,,0,16,314,573
Total,,,59,245,255,33,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,633,1145
Sección 1454 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,29,215,146,1,0,0,,,,,,,,0,,,0,,0,36,427,597
C1,AC,Urna tradicional,27,197,163,2,2,1,,,,,,,,1,,,2,,0,20,415,597
Total,,,56,412,309,3,2,1,0,0,0,0,0,0,0,1,0,0,2,0,0,56,842,1194
Sección 1455 ,,,,,,,,,,,,,,,,,,,,,,,,
