Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 8 - AQUILA,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 136 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,156,,,1,,,225,,,,,,1,,,,,1,5,389,557
E1,AC,Urna tradicional,,122,,,0,,,184,,,,,,0,,,,,0,2,308,483
Total,,,0,278,0,0,1,0,0,409,0,0,0,0,0,1,0,0,0,0,1,7,697,1040
Sección 137 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,218,,,1,,,223,,,,,,9,,,,,1,10,462,700
C1,AC,Urna tradicional,,209,,,1,,,236,,,,,,6,,,,,0,9,461,700
C2,AC,Urna tradicional,,231,,,0,,,258,,,,,,1,,,,,1,4,495,701
Total,,,0,658,0,0,2,0,0,717,0,0,0,0,0,16,0,0,0,0,2,23,1418,2101
Sección 138 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,120,,,0,,,118,,,,,,0,,,,,0,0,238,353
E1,AC,Urna tradicional,,200,,,2,,,169,,,,,,2,,,,,0,11,384,601
Total,,,0,320,0,0,2,0,0,287,0,0,0,0,0,2,0,0,0,0,0,11,622,954
Sección 139 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,167,,,1,,,228,,,,,,6,,,,,0,3,405,583
C1,AC,Urna tradicional,,174,,,0,,,216,,,,,,2,,,,,0,3,395,584
C2,AC,Urna tradicional,,180,,,0,,,241,,,,,,3,,,,,0,3,427,584
E1,AC,Urna tradicional,,97,,,1,,,115,,,,,,2,,,,,0,0,215,302
Total,,,0,618,0,0,2,0,0,800,0,0,0,0,0,13,0,0,0,0,0,9,1442,2053
Sección 140 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,177,,,1,,,192,,,,,,2,,,,,0,2,374,525
C1,AC,Urna tradicional,,124,,,1,,,222,,,,,,2,,,,,0,9,358,525
C2,AC,Urna tradicional,,158,,,3,,,189,,,,,,3,,,,,0,4,357,526
Total,,,0,459,0,0,5,0,0,603,0,0,0,0,0,7,0,0,0,0,0,15,1089,1576
Sección 141 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,239,,,3,,,229,,,,,,7,,,,,0,4,482,604
C1,AC,Urna tradicional,,253,,,0,,,220,,,,,,0,,,,,0,2,475,605
Total,,,0,492,0,0,3,0,0,449,0,0,0,0,0,7,0,0,0,0,0,6,957,1209
Sección 142 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,268,,,0,,,96,,,,,,0,,,,,0,1,365,407
C1,AC,Urna tradicional,,254,,,6,,,97,,,,,,0,,,,,0,0,357,407
E1,AC,Urna tradicional,,185,,,0,,,170,,,,,,0,,,,,1,3,359,431
E2,AC,Urna tradicional,,254,,,0,,,96,,,,,,0,,,,,0,2,352,403
E2C1,AC,Urna tradicional,,222,,,0,,,119,,,,,,0,,,,,0,1,342,403
Total,,,0,1183,0,0,6,0,0,578,0,0,0,0,0,0,0,0,0,0,1,7,1775,2051
Sección 143 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,165,,,1,,,226,,,,,,1,,,,,0,8,401,562
C1,AC,Urna tradicional,,215,,,3,,,191,,,,,,4,,,,,0,5,418,562
Total,,,0,380,0,0,4,0,0,417,0,0,0,0,0,5,0,0,0,0,0,13,819,1124
Sección 144 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,328,,,6,,,88,,,,,,9,,,,,0,3,434,619
Total,,,0,328,0,0,6,0,0,88,0,0,0,0,0,9,0,0,0,0,0,3,434,619
Sección 145 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,172,,,0,,,206,,,,,,0,,,,,0,5,383,574
C1,AC,Urna tradicional,,124,,,1,,,254,,,,,,0,,,,,0,3,382,574
E1,AC,Urna tradicional,,7,,,0,,,201,,,,,,0,,,,,0,92,300,396
Total,,,0,303,0,0,1,0,0,661,0,0,0,0,0,0,0,0,0,0,0,100,1065,1544
Sección 146 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,202,,,0,,,105,,,,,,0,,,,,0,19,326,424
C1,AC,Urna tradicional,,231,,,0,,,58,,,,,,0,,,,,0,4,293,425
Total,,,0,433,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,23,619,849
Sección 147 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,144,,,4,,,223,,,,,,0,,,,,0,7,378,501
C1,AC,Urna tradicional,,174,,,2,,,203,,,,,,3,,,,,0,4,386,501
E1,AC,Urna tradicional,,136,,,2,,,202,,,,,,3,,,,,0,4,347,429
E1C1,AC,Urna tradicional,,122,,,0,,,214,,,,,,0,,,,,0,2,338,429
Total,,,0,576,0,0,8,0,0,842,0,0,0,0,0,6,0,0,0,0,0,17,1449,1860
Sección 148 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,126,,,1,,,143,,,,,,2,,,,,0,4,276,353
E1,AC,Urna tradicional,,309,,,0,,,263,,,,,,0,,,,,0,0,572,685
Total,,,0,435,0,0,1,0,0,406,0,0,0,0,0,2,0,0,0,0,0,4,848,1038
Total municipal,,,0,6463,0,0,41,0,0,6420,0,0,0,0,0,68,0,0,0,0,4,238,13234,18018
