DISTRITO,CABECERA,CODIGO MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PC,PT,PVEM,PPS,PDM
16,CD. OBREGON NORTE,18,CAJEME,936,X,27,220,185,7,0,0,0,0
18,CD. OBREGON SUR,18,CAJEME,991,B,44,14,50,0,0,0,0,0
18,CD. OBREGON SUR,18,CAJEME,990,B,14,69,45,3,0,1,0,0
18,CD. OBREGON SUR,18,CAJEME,989,B,13,92,192,23,0,2,0,0
18,CD. OBREGON SUR,18,CAJEME,988,B,17,90,77,0,1,2,0,0
18,CD. OBREGON SUR,18,CAJEME,987,B,27,172,317,33,3,1,0,0
18,CD. OBREGON SUR,18,CAJEME,986,B,30,218,241,21,1,3,0,0
18,CD. OBREGON SUR,18,CAJEME,985,B,18,104,242,15,2,2,0,0
18,CD. OBREGON SUR,18,CAJEME,984,B,29,152,125,0,1,2,1,0
18,CD. OBREGON SUR,18,CAJEME,983,B,52,232,242,3,5,2,0,0
18,CD. OBREGON SUR,18,CAJEME,982,B,30,113,200,0,3,2,2,1
18,CD. OBREGON SUR,18,CAJEME,981,B,29,156,246,2,3,2,0,1
18,CD. OBREGON SUR,18,CAJEME,980,B,134,141,317,1,2,1,0,0
18,CD. OBREGON SUR,18,CAJEME,979,B,96,178,289,0,9,0,0,0
18,CD. OBREGON SUR,18,CAJEME,961,B,42,198,318,4,4,0,0,0
18,CD. OBREGON SUR,18,CAJEME,928,B,45,104,305,1,1,0,1,3
16,CD. OBREGON NORTE,18,CAJEME,942,B,70,135,385,3,3,1,1,0
16,CD. OBREGON NORTE,18,CAJEME,941,B,76,111,143,0,2,1,0,1
16,CD. OBREGON NORTE,18,CAJEME,940,B,145,203,438,0,5,2,0,1
16,CD. OBREGON NORTE,18,CAJEME,939,B,117,215,345,3,0,0,0,0
16,CD. OBREGON NORTE,18,CAJEME,938,B,63,117,168,1,0,1,0,0
16,CD. OBREGON NORTE,18,CAJEME,937,B,121,221,397,2,4,1,1,2
16,CD. OBREGON NORTE,18,CAJEME,936,B,41,69,154,2,2,0,0,0
16,CD. OBREGON NORTE,18,CAJEME,935,B,38,141,177,2,4,0,0,0
16,CD. OBREGON NORTE,18,CAJEME,934,B,20,71,113,0,0,0,0,0
16,CD. OBREGON NORTE,18,CAJEME,933,B,8,46,57,0,1,0,0,0
18,CD. OBREGON SUR,18,CAJEME,932,B,74,130,364,1,3,1,0,3
18,CD. OBREGON SUR,18,CAJEME,931,B,95,126,244,0,3,3,1,0
18,CD. OBREGON SUR,18,CAJEME,930,B,113,129,350,2,4,4,0,2
18,CD. OBREGON SUR,18,CAJEME,929,B,76,155,364,2,2,3,3,0
16,CD. OBREGON NORTE,18,CAJEME,943,B,127,307,438,3,5,3,0,0
16,CD. OBREGON NORTE,18,CAJEME,944,B,60,133,267,1,1,2,0,0
16,CD. OBREGON NORTE,18,CAJEME,945,B,44,192,267,3,5,2,0,0
16,CD. OBREGON NORTE,18,CAJEME,960,B,93,193,230,1,1,4,1,0
16,CD. OBREGON NORTE,18,CAJEME,959,B,101,223,256,2,1,0,0,0
16,CD. OBREGON NORTE,18,CAJEME,958,B,100,243,270,1,0,0,0,1
16,CD. OBREGON NORTE,18,CAJEME,957,B,97,141,235,0,2,1,0,0
16,CD. OBREGON NORTE,18,CAJEME,956,B,32,92,263,1,6,1,0,0
16,CD. OBREGON NORTE,18,CAJEME,955,B,21,80,103,1,1,1,1,0
16,CD. OBREGON NORTE,18,CAJEME,954,B,20,138,290,0,2,0,1,0
16,CD. OBREGON NORTE,18,CAJEME,953,B,19,71,134,0,4,1,0,1
16,CD. OBREGON NORTE,18,CAJEME,952,B,12,86,151,1,2,3,4,1
16,CD. OBREGON NORTE,18,CAJEME,946,B,98,184,306,2,1,1,0,0
16,CD. OBREGON NORTE,18,CAJEME,947,B,100,190,451,3,1,4,1,0
16,CD. OBREGON NORTE,18,CAJEME,948,B,82,166,368,3,1,3,0,2
16,CD. OBREGON NORTE,18,CAJEME,949,B,142,257,617,4,3,6,0,3
16,CD. OBREGON NORTE,18,CAJEME,950,B,72,197,321,3,2,1,1,0
16,CD. OBREGON NORTE,18,CAJEME,951,B,237,350,703,6,14,12,2,1
7,CANANEA,19,CANANEA,81,B,344,228,54,0,0,12,0,4
7,CANANEA,19,CANANEA,82,B,480,379,76,0,0,12,0,10
7,CANANEA,19,CANANEA,83,B,406,226,105,0,0,9,0,12
7,CANANEA,19,CANANEA,84,B,459,321,109,0,0,7,0,16
7,CANANEA,19,CANANEA,85,B,264,187,49,0,0,3,0,1
7,CANANEA,19,CANANEA,86,B,101,92,59,0,0,4,0,3
7,CANANEA,19,CANANEA,87,B,40,69,19,0,0,1,0,1
7,CANANEA,19,CANANEA,88,B,38,135,75,0,0,0,0,0
7,CANANEA,19,CANANEA,80,B,246,139,56,0,0,3,0,57
7,CANANEA,19,CANANEA,79,B,256,199,124,0,0,4,0,4
7,CANANEA,19,CANANEA,78,B,346,299,122,0,0,3,0,2
7,CANANEA,19,CANANEA,70,B,344,446,134,0,0,8,0,5
7,CANANEA,19,CANANEA,71,B,383,361,91,0,0,9,0,5
7,CANANEA,19,CANANEA,72,B,434,346,97,0,0,20,0,8
7,CANANEA,19,CANANEA,73,B,464,393,233,0,0,18,0,3
