DISTRITO,CABECERA,CODIGO MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PC,PT,PVEM,PPS,PDM
8,ARIZPE,14,BAVIACORA,60,B,100,77,0,0,0,0,0,0
8,ARIZPE,14,BAVIACORA,59,B,215,242,0,0,0,0,0,0
8,ARIZPE,14,BAVIACORA,58,B,347,265,0,0,0,0,0,0
9,MOCTEZUMA,15,BAVISPE,64,B,165,244,0,0,0,0,0,0
9,MOCTEZUMA,15,BAVISPE,65,B,139,114,0,0,0,0,0,0
6,MAGDALENA,16,BENJAMIN HILL,69,B,103,375,116,0,0,0,0,0
6,MAGDALENA,16,BENJAMIN HILL,68,B,91,466,56,0,0,0,0,0
6,MAGDALENA,16,BENJAMIN HILL,67,B,88,447,32,0,0,0,0,0
6,MAGDALENA,16,BENJAMIN HILL,66,B,153,475,26,0,0,0,0,0
3,ALTAR,17,CABORCA,324,B,151,102,0,0,3,0,0,0
3,ALTAR,17,CABORCA,323,B,151,107,10,0,15,0,0,0
3,ALTAR,17,CABORCA,322,B,105,152,11,0,20,0,0,0
3,ALTAR,17,CABORCA,321,B,147,105,42,1,20,0,0,0
3,ALTAR,17,CABORCA,320,B,180,132,27,0,15,0,0,0
3,ALTAR,17,CABORCA,319,B,264,185,20,1,7,0,0,0
3,ALTAR,17,CABORCA,318,B,8,14,2,0,4,0,0,0
3,ALTAR,17,CABORCA,317,B,413,194,10,0,3,0,0,0
3,ALTAR,17,CABORCA,316,B,404,276,13,2,2,0,0,0
3,ALTAR,17,CABORCA,325,B,85,64,9,0,18,0,0,0
3,ALTAR,17,CABORCA,326,B,148,105,15,2,43,0,0,0
3,ALTAR,17,CABORCA,327,B,96,73,16,0,2,0,0,0
3,ALTAR,17,CABORCA,328,X,66,87,8,1,54,0,0,0
3,ALTAR,17,CABORCA,325,X,25,16,0,1,2,0,0,0
3,ALTAR,17,CABORCA,324,X,123,111,0,3,10,0,0,0
3,ALTAR,17,CABORCA,323,X,33,56,5,0,3,0,0,0
3,ALTAR,17,CABORCA,322,X,93,128,9,1,16,0,0,0
3,ALTAR,17,CABORCA,320,X,92,63,17,0,8,0,0,0
3,ALTAR,17,CABORCA,319,X,58,105,4,1,7,0,0,0
3,ALTAR,17,CABORCA,318,X,10,52,2,0,7,0,0,0
3,ALTAR,17,CABORCA,328,B,128,97,7,0,27,0,0,0
3,ALTAR,17,CABORCA,315,B,355,149,7,0,5,0,0,0
3,ALTAR,17,CABORCA,314,B,542,283,17,0,1,0,0,0
3,ALTAR,17,CABORCA,292,B,483,173,19,1,6,0,0,0
3,ALTAR,17,CABORCA,301,B,277,246,14,0,3,0,0,0
3,ALTAR,17,CABORCA,300,B,302,193,7,0,11,0,0,0
3,ALTAR,17,CABORCA,299,B,469,241,24,3,5,0,0,0
3,ALTAR,17,CABORCA,298,B,574,328,20,2,12,0,0,0
3,ALTAR,17,CABORCA,297,B,481,257,22,3,13,0,0,0
3,ALTAR,17,CABORCA,296,B,502,280,14,1,15,0,0,0
3,ALTAR,17,CABORCA,295,B,392,217,19,8,17,0,0,0
3,ALTAR,17,CABORCA,294,B,604,257,23,2,6,0,0,0
3,ALTAR,17,CABORCA,293,B,516,204,17,3,5,0,0,0
3,ALTAR,17,CABORCA,302,B,435,238,32,1,6,0,0,0
3,ALTAR,17,CABORCA,303,B,394,257,13,0,6,0,0,0
3,ALTAR,17,CABORCA,313,B,290,200,8,1,2,0,0,0
3,ALTAR,17,CABORCA,312,B,458,275,11,3,5,0,0,0
3,ALTAR,17,CABORCA,311,B,366,207,13,1,3,0,0,0
3,ALTAR,17,CABORCA,310,B,522,410,10,0,4,0,0,0
3,ALTAR,17,CABORCA,309,B,480,195,6,1,3,0,0,0
3,ALTAR,17,CABORCA,308,B,675,210,17,1,6,0,0,0
3,ALTAR,17,CABORCA,307,B,241,117,5,2,3,0,0,0
3,ALTAR,17,CABORCA,306,B,616,299,12,1,10,0,0,0
3,ALTAR,17,CABORCA,305,B,640,283,19,5,5,0,0,0
3,ALTAR,17,CABORCA,304,B,601,236,32,4,19,0,0,0
17,CD. OBREGON CENTRO,18,CAJEME,878,B,93,121,288,1,5,1,0,0
17,CD. OBREGON CENTRO,18,CAJEME,877,B,46,60,156,2,1,1,1,0
17,CD. OBREGON CENTRO,18,CAJEME,876,B,32,56,205,1,1,1,2,0
17,CD. OBREGON CENTRO,18,CAJEME,875,B,95,213,484,1,4,4,0,0
17,CD. OBREGON CENTRO,18,CAJEME,874,B,96,127,251,1,1,2,0,0
17,CD. OBREGON CENTRO,18,CAJEME,873,B,145,121,296,1,2,4,0,1
17,CD. OBREGON CENTRO,18,CAJEME,872,B,98,141,310,5,0,0,0,8
17,CD. OBREGON CENTRO,18,CAJEME,871,B,154,184,351,1,9,2,0,0
17,CD. OBREGON CENTRO,18,CAJEME,879,B,102,114,314,0,4,1,0,2
17,CD. OBREGON CENTRO,18,CAJEME,880,B,162,127,287,5,4,2,0,1
