CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,PUP,NVA_ALIANZA,PSD,MORENA,ES,PRS,PAN_PRD,PRI_PVEM,C_COMUN_PRI_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,2,1,193,186,12,11,22,2,0,3,0,50,,2,12,1,,,,,,,1,494,11,506,680
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,3,3,536,439,18,13,21,5,0,1,3,126,,1,30,16,,,,,,,1,1209,28,1238,1613
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,4,3,597,330,18,37,28,2,1,5,2,89,,1,21,11,,,,,,,1,1142,44,1187,1597
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,5,2,263,194,12,29,30,1,3,1,2,65,,0,7,11,,,,,,,2,618,5,625,652
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,6,3,624,328,55,6,33,7,2,4,0,147,,1,28,2,,,,,,,0,1237,33,1270,1735
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,7,2,321,185,36,2,11,17,0,3,2,47,,0,24,4,,,,,,,0,652,30,682,922
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,8,1,296,154,9,0,3,0,1,0,0,32,,0,9,2,,,,,,,0,506,10,516,712
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,9,1,276,132,17,0,3,0,0,0,0,43,,0,18,1,,,,,,,0,490,7,497,682
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,10,2,509,234,10,6,12,2,0,1,1,76,,1,30,2,,,,,,,0,884,12,896,1206
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,11,3,634,245,22,9,8,2,0,5,0,76,,3,23,9,,,,,,,0,1036,13,1049,1502
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,12,3,641,308,13,10,10,1,2,2,2,103,,0,19,1,,,,,,,0,1112,25,1137,1616
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,13,1,265,156,5,4,7,0,0,3,0,12,,0,8,2,,,,,,,0,462,13,475,613
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,14,2,282,262,4,5,7,3,1,4,0,22,,0,11,3,,,,,,,0,604,12,616,774
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,15,2,363,175,11,3,3,1,0,3,0,21,,1,13,2,,,,,,,0,596,16,612,765
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,16,1,141,81,6,1,1,6,0,2,0,16,,0,1,0,,,,,,,0,255,1,256,332
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,17,2,465,276,19,5,7,1,1,3,0,47,,2,16,2,,,,,,,0,844,18,862,1169
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,18,1,231,73,1,5,4,0,0,0,0,24,,1,8,1,,,,,,,0,348,3,351,422
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,19,1,231,142,8,3,2,0,0,0,0,21,,0,7,2,,,,,,,0,416,8,424,563
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,20,1,310,147,17,3,48,1,0,1,0,20,,0,9,1,,,,,,,0,557,10,567,674
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,21,2,263,272,63,2,78,7,2,5,2,145,,2,21,1,,,,,,,0,863,17,880,1145
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,22,1,239,114,13,7,13,0,0,5,1,9,,0,12,2,,,,,,,0,415,8,423,515
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,23,1,276,146,9,2,4,0,0,0,2,25,,0,8,4,,,,,,,0,476,10,486,639
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,24,2,342,248,5,70,11,3,2,2,23,28,,0,21,11,,,,,,,0,766,21,787,1105
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,25,2,351,102,14,22,11,2,1,3,0,38,,1,19,6,,,,,,,0,570,12,582,803
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,26,2,398,183,8,2,5,0,0,1,1,16,,0,22,2,,,,,,,0,638,9,647,871
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,27,1,210,237,5,5,16,2,1,1,1,46,,0,4,2,,,,,,,0,530,4,534,699
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,28,2,281,227,7,4,7,0,0,1,1,36,,0,3,2,,,,,,,0,569,19,588,753
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,29,2,427,324,31,2,2,3,3,2,0,17,,0,16,5,,,,,,,0,832,16,848,1092
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,30,2,277,224,31,10,5,2,3,2,1,17,,0,23,10,,,,,,,0,605,13,618,786
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,31,3,641,533,20,12,6,5,3,9,2,57,,0,31,10,,,,,,,0,1329,34,1363,1774
