AYUNTAMIENTOS
"14/11/2021 21:29 (UTC-6)"
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
5,5,0,5,100.0000,5,100.0000,0.0000,0,3106,2806,2806,90.3412

CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,MOR,C_PRI_PRD,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
310985B0100,310985B01003,31,YUCATAN,099,UAYMA,0985,1,B,0,2,2,65,566,4,570,34,245,21,263,2,0,5,570,570,627,,,1,D,b078ef810e760fc59c974e63e93f6f3b5adcfa94bbabdc608e0b7389eee0f463,"14/11/2021 21:20","14/11/2021 21:28","14/11/2021 21:29",CATD,ESCANER,"ACTA PREP"
310985C0100,310985C01003,31,YUCATAN,099,UAYMA,0985,2,C,0,2,2,61,569,4,573,20,258,27,260,2,0,6,573,573,626,,,1,D,3ef9ceb48630a16b5a92156e28f1902f6eeb8f011b66a66d24c3caf13d984667,"14/11/2021 21:15","14/11/2021 21:24","14/11/2021 21:24",CATD,ESCANER,"ACTA PREP"
310986B0100,310986B01003,31,YUCATAN,099,UAYMA,0986,1,B,0,1,2,73,634,2,636,34,291,23,284,1,0,3,636,636,701,,,1,D,a65a055dbc8ca6f6777d46baf64faa41358b789643bbf204d3708cf91285c2d6,"14/11/2021 20:50","14/11/2021 20:58","14/11/2021 20:59",CATD,ESCANER,"ACTA PREP"
310986C0100,310986C01003,31,YUCATAN,099,UAYMA,0986,2,C,0,1,2,90,615,4,619,38,275,28,270,3,0,5,619,619,701,,,1,D,f9c542f31288fb4fd30f999857b15cb79af2a2600443223df2d259bfeb1cc8f0,"14/11/2021 20:45","14/11/2021 20:55","14/11/2021 20:56",CATD,ESCANER,"ACTA PREP"
310987B0100,310987B01003,31,YUCATAN,099,UAYMA,0987,1,B,0,2,2,51,408,0,408,75,185,34,113,1,0,0,408,408,451,,,1,D,1cf20aa6f51baefa902ce68c55827804ee45eaf98bbf67d81d6bc4f337457729,"14/11/2021 19:36","14/11/2021 20:03","14/11/2021 20:05",CATD,ESCANER,"ACTA PREP"
