CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,PCP,MC,NVA_ALIANZA,MORENA,PH,ES,PAN_PT,PRI_PVEM,PRI_PVEM_NVA_ALIANZA,PRD_PT,PRD_PT_PCP,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,98,B,215,164,,5,6,4,2,4,12,,1,,7,,,,0,420,19,439,541,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,98,C01,227,170,,11,4,2,2,4,8,,5,,10,,,,1,444,8,452,541,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,99,B,55,32,,4,1,0,0,0,4,,0,,0,,,,0,96,8,104,130,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,101,B,74,61,,7,2,2,0,0,1,,0,,1,,,,0,148,11,159,229,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,102,B,90,94,,2,6,0,1,5,2,,0,,0,,,,0,200,9,209,268,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,103,B,166,95,,8,0,0,2,2,0,,0,,0,,,,0,273,16,289,366,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,105,B,102,109,,1,2,0,3,0,6,,0,,4,,,,0,227,7,234,294,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,106,B,154,126,,4,3,2,2,18,15,,0,,4,,,,0,328,17,345,475,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,106,C01,158,121,,10,4,3,1,22,13,,1,,6,,,,0,339,13,352,475,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,107,B,41,68,,5,3,0,1,2,4,,0,,0,,,,0,124,6,130,161,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,108,B,116,191,,9,9,2,1,1,10,,1,,17,,,,24,381,0,381,488,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,110,B,96,43,,5,10,2,2,1,19,,2,,0,,,,0,180,15,195,361,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,111,B,91,60,,24,5,0,0,0,0,,0,,0,,,,0,180,12,192,266,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,112,B,142,111,,14,13,1,1,6,16,,0,,3,,,,0,307,18,325,473,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,113,B,60,59,,0,2,28,0,3,2,,0,,1,,,,0,155,10,165,228,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,114,B,42,25,,21,3,13,0,1,5,,1,,4,,,,0,115,3,118,170,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,115,B,24,182,,3,4,11,2,0,2,,0,,14,,,,0,242,11,253,312,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,116,B,68,74,,0,5,5,0,1,2,,0,,0,,,,0,155,13,168,251,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,117,B,79,50,,6,8,0,0,1,0,,0,,1,,,,0,145,14,159,229,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,118,B,119,104,,51,6,4,0,0,3,,0,,1,,,,0,288,22,310,433,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,119,B,158,89,,2,10,2,5,57,15,,2,,3,,,,0,343,6,349,569,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,119,C01,139,92,,2,13,3,4,47,9,,0,,22,,,,0,331,11,342,569,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,119,C02,162,108,,1,4,4,0,39,8,,1,,10,,,,0,337,6,343,569,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,119,C03,131,99,,0,12,2,6,55,16,,3,,12,,,,0,336,15,351,569,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,120,B,121,128,,3,12,2,7,48,13,,7,,0,,,,0,341,15,356,650,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,120,C01,156,127,,2,13,2,6,44,15,,2,,0,,,,0,367,11,378,650,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,120,C02,138,126,,4,16,3,11,61,11,,1,,21,,,,0,392,14,406,649,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,121,B,120,99,,2,6,1,3,59,16,,3,,12,,,,0,321,11,332,588,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,121,C01,153,97,,4,19,1,6,38,16,,3,,24,,,,0,361,6,367,588,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,121,C02,128,148,,2,0,3,3,39,18,,1,,0,,,,0,342,10,352,587,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,122,B,168,151,,0,15,3,9,65,14,,2,,24,,,,1,452,12,464,738,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,122,C01,166,147,,2,16,6,5,69,18,,2,,20,,,,0,451,14,465,737,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,122,C02,165,147,,1,18,5,12,71,13,,4,,23,,,,0,459,8,467,737,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,123,B,36,44,,22,0,1,0,2,2,,0,,0,,,,0,107,2,109,169,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,124,B,35,77,,24,6,1,1,4,0,,0,,0,,,,0,148,13,161,296,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,125,B,69,67,,0,4,1,3,7,1,,0,,1,,,,0,153,12,165,249,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,125,E01,54,33,,2,5,0,0,2,0,,4,,3,,,,0,103,2,105,163,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,126,B,71,79,,1,19,4,0,17,3,,1,,11,,,,0,206,13,219,450,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,127,B,78,62,,1,7,1,1,8,0,,0,,10,,,,0,168,13,181,334,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,128,B,97,81,,2,10,0,1,15,1,,3,,12,,,,0,222,14,236,400,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,129,B,51,14,,0,4,0,2,10,1,,0,,0,,,,0,82,6,88,131,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,130,B,74,48,,2,5,0,1,9,1,,1,,14,,,,0,155,6,161,218,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,131,B,78,127,,1,16,1,1,12,6,,0,,26,,,,0,268,15,283,533,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,131,C01,84,140,,1,8,0,1,20,2,,1,,45,,,,0,302,12,314,533,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,132,B,40,31,,2,6,0,0,9,0,,0,,4,,,,0,92,5,97,168,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,133,B,59,88,,2,5,0,2,19,5,,1,,9,,,,0,190,14,204,330,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,134,B,71,85,,1,13,2,1,21,4,,0,,0,,,,0,198,15,213,373,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,135,B,90,170,,8,13,3,1,27,5,,1,,28,,,,0,346,12,358,607,,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,384,B,188,97,,31,6,8,5,5,17,,11,,0,,,,0,368,9,377,687,,,,
