CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,PCP,MC,NVA_ALIANZA,MORENA,PH,ES,PAN_PT,PRI_PVEM,PRI_PVEM_NVA_ALIANZA,PRD_PT,PRD_PT_PCP,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,1,2,288,224,93,15,26,127,8,62,10,,4,,33,,6,,1,897,44,941,1364
2,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,2,3,479,317,169,21,58,126,8,95,11,,4,,42,,14,,4,1348,73,1421,2032
2,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,3,1,32,26,59,17,0,2,0,15,1,,0,,0,,7,,0,159,29,188,288
2,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,4,1,35,45,72,25,3,3,1,17,0,,0,,2,,14,,0,217,32,249,349
2,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,5,1,35,59,56,0,1,0,0,0,0,,0,,0,,0,,0,151,12,163,226
2,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,6,3,381,201,98,71,27,62,7,32,3,,2,,22,,22,,1,929,95,1024,1589
2,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,7,2,165,210,172,24,22,30,10,30,10,,2,,37,,30,,0,742,90,832,1253
2,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,8,3,267,167,140,16,31,109,3,28,0,,1,,18,,23,,1,804,126,930,1434
2,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,9,1,57,26,18,0,7,19,0,11,0,,1,,3,,4,,0,146,17,163,287
2,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,10,1,18,17,16,3,0,4,0,6,0,,0,,3,,2,,0,69,9,78,139
2,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,11,2,293,121,196,35,10,47,3,59,2,,0,,17,,21,,0,804,48,852,1124
2,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,12,1,170,46,75,11,16,37,4,26,2,,0,,10,,5,,2,404,42,446,663
2,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,13,2,158,150,129,17,34,39,5,55,3,,0,,13,,12,,0,615,31,646,874
2,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,14,4,515,197,394,48,42,128,12,66,10,,1,,22,,75,,0,1510,147,1657,2010
2,24,SAN LUIS POTOSI,11,CARDENAS,2,ALAQUINES,15,1,89,65,,8,0,5,0,24,0,,0,3,3,,,,0,197,11,208,299
2,24,SAN LUIS POTOSI,11,CARDENAS,2,ALAQUINES,16,1,74,86,,12,1,1,0,11,33,,2,12,5,,,,0,237,15,252,326
2,24,SAN LUIS POTOSI,11,CARDENAS,2,ALAQUINES,17,1,61,69,,2,1,1,0,7,1,,1,6,3,,,,0,152,13,165,243
2,24,SAN LUIS POTOSI,11,CARDENAS,2,ALAQUINES,18,1,43,39,,5,1,1,0,9,3,,0,2,0,,,,0,103,3,106,148
2,24,SAN LUIS POTOSI,11,CARDENAS,2,ALAQUINES,19,1,88,105,,2,1,0,4,13,5,,0,0,0,,,,0,218,9,227,325
2,24,SAN LUIS POTOSI,11,CARDENAS,2,ALAQUINES,20,1,60,56,,3,4,4,0,2,0,,0,0,0,,,,0,129,9,138,193
2,24,SAN LUIS POTOSI,11,CARDENAS,2,ALAQUINES,21,1,80,36,,4,0,1,0,1,0,,0,0,0,,,,0,122,3,125,190
2,24,SAN LUIS POTOSI,11,CARDENAS,2,ALAQUINES,22,1,71,39,,4,1,0,2,32,1,,0,11,2,,,,0,163,6,169,278
2,24,SAN LUIS POTOSI,11,CARDENAS,2,ALAQUINES,23,1,271,140,,11,7,2,1,20,3,,2,24,6,,,,0,487,28,515,656
2,24,SAN LUIS POTOSI,11,CARDENAS,2,ALAQUINES,24,1,51,58,,2,0,0,0,3,0,,1,0,0,,,,0,115,6,121,166
2,24,SAN LUIS POTOSI,11,CARDENAS,2,ALAQUINES,26,2,286,190,,10,4,4,1,21,2,,0,40,11,,,,0,569,17,586,848
2,24,SAN LUIS POTOSI,11,CARDENAS,2,ALAQUINES,27,1,57,54,,1,0,0,0,5,0,,0,0,0,,,,0,117,10,127,195
2,24,SAN LUIS POTOSI,11,CARDENAS,2,ALAQUINES,28,1,261,165,,16,5,2,0,24,1,,0,26,4,,,,0,504,24,528,664
2,24,SAN LUIS POTOSI,11,CARDENAS,2,ALAQUINES,29,1,28,49,,2,1,4,0,3,0,,0,4,3,,,,0,94,4,98,134
2,24,SAN LUIS POTOSI,11,CARDENAS,2,ALAQUINES,30,1,100,149,,5,2,0,1,0,1,,0,7,8,,,,0,273,21,294,434
2,24,SAN LUIS POTOSI,11,CARDENAS,2,ALAQUINES,31,1,161,64,,8,0,0,0,7,2,,0,7,0,,,,0,249,14,263,360
2,24,SAN LUIS POTOSI,11,CARDENAS,2,ALAQUINES,32,1,93,80,,5,4,1,0,25,0,,1,11,7,,,,0,227,17,244,373
2,24,SAN LUIS POTOSI,11,CARDENAS,2,ALAQUINES,33,1,75,49,,10,3,2,0,25,5,,0,6,1,,,,0,176,9,185,293
2,24,SAN LUIS POTOSI,14,TANCANHUITZ,3,AQUISMON,34,3,665,711,,9,11,11,24,8,4,4,1,,,71,,,0,1519,92,1611,1957
2,24,SAN LUIS POTOSI,14,TANCANHUITZ,3,AQUISMON,35,1,233,213,,14,4,0,25,13,4,5,2,,,23,,,0,536,42,578,740
2,24,SAN LUIS POTOSI,14,TANCANHUITZ,3,AQUISMON,36,3,479,421,,8,12,1,2,5,1,3,1,,,40,,,0,973,36,1009,1281
2,24,SAN LUIS POTOSI,14,TANCANHUITZ,3,AQUISMON,37,1,122,176,,7,11,3,9,4,0,0,2,,,18,,,0,352,18,370,477
2,24,SAN LUIS POTOSI,14,TANCANHUITZ,3,AQUISMON,38,2,240,245,,11,7,4,10,9,1,0,0,,,23,,,0,550,31,581,814
2,24,SAN LUIS POTOSI,14,TANCANHUITZ,3,AQUISMON,39,3,418,550,,12,14,1,10,14,0,2,0,,,48,,,0,1069,57,1126,1525
2,24,SAN LUIS POTOSI,14,TANCANHUITZ,3,AQUISMON,40,1,60,62,,0,3,0,5,3,0,2,0,,,4,,,0,139,5,144,184
2,24,SAN LUIS POTOSI,14,TANCANHUITZ,3,AQUISMON,41,3,308,459,,26,15,3,16,8,1,3,2,,,49,,,0,890,51,941,1387
2,24,SAN LUIS POTOSI,14,TANCANHUITZ,3,AQUISMON,42,2,407,291,,13,3,0,1,2,0,0,0,,,34,,,1,752,30,782,823
2,24,SAN LUIS POTOSI,14,TANCANHUITZ,3,AQUISMON,43,3,506,471,,13,9,0,26,6,2,2,0,,,48,,,0,1083,70,1153,1531
2,24,SAN LUIS POTOSI,14,TANCANHUITZ,3,AQUISMON,44,3,552,599,,6,12,0,62,10,1,2,1,,,60,,,0,1305,39,1344,1762
2,24,SAN LUIS POTOSI,14,TANCANHUITZ,3,AQUISMON,45,3,387,372,,30,21,2,30,11,3,5,0,,,46,,,0,907,94,1001,1390
2,24,SAN LUIS POTOSI,14,TANCANHUITZ,3,AQUISMON,46,3,314,445,,40,233,7,27,23,17,3,3,,,11,,,0,1123,114,1237,1643
2,24,SAN LUIS POTOSI,14,TANCANHUITZ,3,AQUISMON,47,2,284,259,,4,11,2,40,4,1,1,0,,,9,,,0,615,63,678,911
2,24,SAN LUIS POTOSI,14,TANCANHUITZ,3,AQUISMON,48,3,554,525,,29,14,3,111,2,2,5,1,,,47,,,1,1294,105,1399,1828
2,24,SAN LUIS POTOSI,14,TANCANHUITZ,3,AQUISMON,49,2,379,245,,2,6,2,3,3,1,2,1,,,27,,,0,671,34,705,876
2,24,SAN LUIS POTOSI,14,TANCANHUITZ,3,AQUISMON,50,1,211,242,,2,5,0,11,1,0,2,0,,,32,,,0,506,39,545,723
2,24,SAN LUIS POTOSI,14,TANCANHUITZ,3,AQUISMON,51,2,398,448,,12,17,0,56,7,0,4,3,,,36,,,0,981,82,1063,1392
2,24,SAN LUIS POTOSI,14,TANCANHUITZ,3,AQUISMON,52,2,240,251,,17,13,0,39,2,4,1,0,,,30,,,0,597,40,637,847
2,24,SAN LUIS POTOSI,14,TANCANHUITZ,3,AQUISMON,53,3,483,581,,9,18,0,45,5,2,7,1,,,40,,,0,1191,79,1270,1709
2,24,SAN LUIS POTOSI,14,TANCANHUITZ,3,AQUISMON,54,2,223,359,,4,13,0,16,8,0,4,2,,,35,,,0,664,51,715,886
2,24,SAN LUIS POTOSI,14,TANCANHUITZ,3,AQUISMON,55,2,199,336,,4,10,0,13,5,0,0,0,,,55,,,0,622,45,667,857
2,24,SAN LUIS POTOSI,14,TANCANHUITZ,3,AQUISMON,56,2,323,240,,8,5,1,10,4,2,2,0,,,10,,,0,605,41,646,801
2,24,SAN LUIS POTOSI,14,TANCANHUITZ,3,AQUISMON,57,2,543,361,,12,9,0,35,5,2,4,1,,,43,,,0,1015,62,1077,1377
2,24,SAN LUIS POTOSI,14,TANCANHUITZ,3,AQUISMON,58,2,275,321,,1,5,1,6,2,0,1,1,,,9,,,0,622,26,648,820
2,24,SAN LUIS POTOSI,14,TANCANHUITZ,3,AQUISMON,59,2,426,273,,5,7,2,22,24,7,4,2,,,19,,,0,791,31,822,1087
2,24,SAN LUIS POTOSI,2,CERRITOS,4,ARMADILLO DE LOS INFANTE,60,1,103,116,6,1,12,6,2,4,1,,2,,,7,0,,0,260,21,281,431
2,24,SAN LUIS POTOSI,2,CERRITOS,4,ARMADILLO DE LOS INFANTE,61,1,137,207,20,11,15,6,1,2,2,,4,,,7,1,,0,413,40,453,176
2,24,SAN LUIS POTOSI,2,CERRITOS,4,ARMADILLO DE LOS INFANTE,63,1,15,69,1,1,0,0,0,0,0,,0,,,2,0,,0,88,5,93,100
2,24,SAN LUIS POTOSI,2,CERRITOS,4,ARMADILLO DE LOS INFANTE,64,1,131,338,4,0,6,3,2,10,6,,2,,,25,0,,0,527,16,543,665
2,24,SAN LUIS POTOSI,2,CERRITOS,4,ARMADILLO DE LOS INFANTE,65,1,75,119,7,2,3,0,1,2,2,,0,,,23,2,,0,236,30,266,320
2,24,SAN LUIS POTOSI,2,CERRITOS,4,ARMADILLO DE LOS INFANTE,68,1,137,207,20,11,15,6,1,2,2,,4,,,7,1,,0,413,40,453,593
2,24,SAN LUIS POTOSI,2,CERRITOS,4,ARMADILLO DE LOS INFANTE,69,1,36,92,15,6,7,3,1,3,2,,0,,,9,0,,0,174,15,189,246
2,24,SAN LUIS POTOSI,2,CERRITOS,4,ARMADILLO DE LOS INFANTE,70,1,65,176,3,4,6,1,2,7,46,,2,,,22,0,,0,334,16,350,467
2,24,SAN LUIS POTOSI,2,CERRITOS,4,ARMADILLO DE LOS INFANTE,71,1,19,53,2,1,7,1,0,4,13,,2,,,7,0,,0,109,11,120,178
2,24,SAN LUIS POTOSI,2,CERRITOS,4,ARMADILLO DE LOS INFANTE,72,1,30,98,2,2,3,11,0,2,0,,3,,,0,0,,0,151,9,160,197
2,24,SAN LUIS POTOSI,2,CERRITOS,4,ARMADILLO DE LOS INFANTE,77,1,31,105,10,3,6,4,2,4,1,,2,,,8,0,,0,176,18,194,348
2,24,SAN LUIS POTOSI,11,CARDENAS,5,CARDENAS,78,2,220,130,,13,4,23,9,41,15,,8,8,1,,,,0,472,22,494,774
2,24,SAN LUIS POTOSI,11,CARDENAS,5,CARDENAS,79,3,568,211,,63,13,45,18,73,56,,13,27,5,,,,0,1092,59,1151,1839
2,24,SAN LUIS POTOSI,11,CARDENAS,5,CARDENAS,80,2,406,153,,21,16,30,12,60,17,,15,16,4,,,,0,750,42,792,1147
2,24,SAN LUIS POTOSI,11,CARDENAS,5,CARDENAS,81,2,212,116,,10,15,13,10,50,19,,5,10,7,,,,0,467,29,496,770
2,24,SAN LUIS POTOSI,11,CARDENAS,5,CARDENAS,82,1,143,55,,7,3,13,12,37,20,,0,4,1,,,,1,296,19,315,457
2,24,SAN LUIS POTOSI,11,CARDENAS,5,CARDENAS,83,2,190,129,,5,13,30,14,35,16,,11,7,0,,,,0,450,27,477,1450
2,24,SAN LUIS POTOSI,11,CARDENAS,5,CARDENAS,84,2,287,135,,21,9,24,14,49,18,,11,5,6,,,,1,580,32,612,953
2,24,SAN LUIS POTOSI,11,CARDENAS,5,CARDENAS,85,2,327,202,,11,4,34,19,89,26,,14,10,6,,,,0,742,44,786,1257
2,24,SAN LUIS POTOSI,11,CARDENAS,5,CARDENAS,86,1,210,72,,11,9,31,10,48,18,,15,7,0,,,,0,431,22,453,712
2,24,SAN LUIS POTOSI,11,CARDENAS,5,CARDENAS,87,1,123,59,,7,2,28,10,37,16,,8,5,1,,,,0,296,12,308,493
2,24,SAN LUIS POTOSI,11,CARDENAS,5,CARDENAS,88,1,211,73,,12,3,17,0,9,0,,5,10,2,,,,0,342,14,356,645
2,24,SAN LUIS POTOSI,11,CARDENAS,5,CARDENAS,89,1,131,65,,8,3,22,7,23,11,,13,3,3,,,,0,289,15,304,505
2,24,SAN LUIS POTOSI,11,CARDENAS,5,CARDENAS,90,2,266,129,,23,10,24,17,55,26,,16,10,1,,,,0,577,28,605,984
2,24,SAN LUIS POTOSI,11,CARDENAS,5,CARDENAS,91,1,136,45,,5,10,16,1,10,9,,2,1,2,,,,0,237,11,248,417
2,24,SAN LUIS POTOSI,11,CARDENAS,5,CARDENAS,92,1,87,25,,6,4,2,3,3,2,,0,0,0,,,,0,132,8,140,258
2,24,SAN LUIS POTOSI,11,CARDENAS,5,CARDENAS,93,1,176,136,,6,3,18,3,12,7,,5,3,1,,,,0,370,32,402,680
2,24,SAN LUIS POTOSI,11,CARDENAS,5,CARDENAS,94,1,90,70,,3,30,4,1,5,2,,2,0,1,,,,0,208,3,211,283
2,24,SAN LUIS POTOSI,11,CARDENAS,5,CARDENAS,95,1,117,29,,12,1,8,4,6,31,,6,2,0,,,,0,216,14,230,471
