ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,CP,MC,NA,MORENA,ES,PAN_MC,PRI_NA,PRI_NA_CP,PRI_PVEM_NA,PRI_PVEM_CP,PRI_CP,PRI_PVEM,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
24,SAN LUIS POTOSI,1,MATEHUALA,176,277,,,6882,4511,10254,3059,,,16660,1291,15769,16853,,,,,,437,220,42,179,,,76157,45,6603,82805,134045,
24,SAN LUIS POTOSI,2,SAN LUIS POTOSI,105,239,,,12417,1853,7412,,,,19838,1552,22344,,9858,,,,,444,175,38,110,,4771,80812,98,5073,85983,137886,
24,SAN LUIS POTOSI,3,SANTA MARIA DEL RIO,160,275,9869,,16674,2711,,6185,3922,,8722,1362,,,,32191,,,,406,146,63,146,,,82397,144,6927,89468,135599,
24,SAN LUIS POTOSI,4,SALINAS,143,249,,,4411,5067,,,,3227,9531,956,25403,,,,32466,,,465,250,52,102,,,81930,56,7833,89819,128176,
24,SAN LUIS POTOSI,5,SOLEDAD DE GRACIANO SANCHEZ,77,224,,,19267,3346,4620,,,2161,19148,1578,9873,,,,,6503,,591,199,46,209,,,67541,82,4151,71774,138192,
24,SAN LUIS POTOSI,6,SAN LUIS POTOSI,73,217,,6349,14353,1595,2015,1837,,3823,14825,1098,19531,,,,,,,418,117,20,182,3749,,69912,88,4377,74377,136742,
24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,82,230,,10614,7121,1744,3631,1308,,3195,15879,1506,41066,,,,,,,314,100,28,96,,,86602,157,4355,91114,139781,
24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,73,237,,,12810,2075,6617,,,,20317,1661,18519,,7104,,,,,512,203,26,136,,,69980,122,4896,74998,142670,
24,SAN LUIS POTOSI,9,SOLEDAD DE GRACIANO SANCHEZ,51,205,,,21313,1900,3990,,,4542,17943,1284,10565,,,,,6628,,920,199,22,153,,,69459,44,4075,73578,133294,
24,SAN LUIS POTOSI,10,RIOVERDE,171,286,,,7560,3677,5157,,,,14663,1123,23006,,20307,,,,,545,388,116,149,,,76691,76,5751,82518,141471,
24,SAN LUIS POTOSI,11,CARDENAS,187,284,,,5042,5819,,5087,,7155,9024,894,20017,,,,,,23402,585,274,78,201,,,77578,13,9399,86990,131194,
24,SAN LUIS POTOSI,12,CIUDAD VALLES,105,224,,,9962,1710,,,,4647,21854,3473,15020,,,,17154,,,,,,,,,73820,49,4531,78400,126191,
24,SAN LUIS POTOSI,13,TAMUIN,151,235,,,9395,3521,,,,10870,15138,1872,19888,,,,15478,,,632,272,64,212,,,77342,13,6299,83654,118344,
24,SAN LUIS POTOSI,14,TANCANHUITZ,119,222,,,7775,2957,,1086,,,10374,1158,25513,,,27218,,,,333,104,44,124,,,76686,13,8428,85127,114870,
24,SAN LUIS POTOSI,15,TAMAZUNCHALE,112,220,,,7765,2849,,7236,,,13696,1076,19122,,,16922,,,,445,172,39,144,,,69466,2,8073,77541,115871,
