CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,1,1,68,189,1,6,2,5,18,98,5,5,1,3,,401,8,409,576
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,2,1,61,123,7,4,2,4,7,110,1,11,5,7,,342,12,354,648
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,3,1,82,208,1,9,4,3,7,118,1,6,1,4,,444,9,453,667
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,15,1213,1671,103,32,39,20,96,822,34,60,183,45,,4318,142,4460,9425
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,5,2,116,241,14,10,8,5,13,227,3,10,12,4,,663,23,686,1056
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,6,2,107,205,5,6,9,0,15,162,12,5,9,8,,543,20,563,961
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,7,2,95,252,13,9,7,3,22,175,1,5,11,3,,596,28,624,935
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,8,1,107,170,5,4,4,3,13,120,2,6,2,5,,441,8,449,737
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,9,6,435,895,32,26,27,23,70,717,33,28,23,38,,2347,48,2395,4280
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,10,2,114,193,18,3,3,5,12,120,1,10,10,3,,492,21,513,966
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,11,2,99,269,6,9,7,6,11,118,1,4,12,2,,544,26,570,908
