ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,29,54,2941,7110,321,231,170,90,383,4755,127,173,286,175,,16762,520,17282,27500,0.6284
4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,17,46,3584,5560,280,149,137,102,341,3368,124,172,415,166,,14398,408,14806,27038,0.5476
4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,16,47,2630,5359,369,161,199,92,384,3643,133,208,250,160,,13588,502,14090,26658,0.5285
4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,21,50,2790,6406,271,293,144,76,451,4323,153,156,451,165,,15679,497,16176,27313,0.5922
4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,24,52,3130,6927,235,235,257,95,568,4554,154,172,258,205,,16790,533,17323,28441,0.609
4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,26,59,4059,8022,573,177,235,98,437,3179,125,257,410,140,,17712,583,18295,32114,0.5697
4,CAMPECHE,7,TENABO,20,55,5804,8371,284,161,131,101,399,3265,110,277,802,152,,19857,472,20329,32371,0.628
4,CAMPECHE,8,CIUDAD DEL CARMEN,23,53,7474,3202,602,79,123,64,129,2038,126,92,302,59,,14290,358,14648,29740,0.4925
4,CAMPECHE,9,CIUDAD DEL CARMEN,22,50,7660,3330,283,77,57,76,125,2052,99,84,148,77,,14068,363,14431,29653,0.4866
4,CAMPECHE,10,CIUDAD DEL CARMEN,14,40,6051,2708,201,140,93,67,103,1799,112,99,104,43,,11520,260,11780,25850,0.4557
4,CAMPECHE,11,CIUDAD DEL CARMEN,5,35,4748,2909,226,104,57,64,107,1464,105,88,164,68,,10104,270,10374,24406,0.425
4,CAMPECHE,12,SABANCUY,48,64,8789,5495,248,137,80,85,129,2159,126,102,329,85,,17764,387,18151,35294,0.5143
4,CAMPECHE,13,ESCÁRCEGA,28,56,5656,7076,550,375,125,293,239,1732,68,74,587,94,,16869,513,17382,29293,0.5934
4,CAMPECHE,14,CANDELARIA,30,56,10294,6828,113,66,75,109,93,558,20,29,225,431,,18841,482,19323,28778,0.6714
4,CAMPECHE,15,CHAMPOTÓN,25,52,4378,8470,451,240,192,200,260,3438,96,65,415,71,,18276,640,18916,29162,0.6486
4,CAMPECHE,16,SEYBAPLAYA,31,60,4819,8866,795,220,219,255,381,4031,63,110,347,79,,20185,680,20865,31175,0.6693
4,CAMPECHE,17,CALKINÍ,24,56,1724,6578,210,180,121,148,2124,9893,137,73,285,79,,21552,443,21995,28697,0.7664
4,CAMPECHE,18,HOPELCHÉN,33,50,6908,8404,100,54,181,83,351,1251,50,15,278,18,,17693,328,18021,25054,0.7193
4,CAMPECHE,19,HECELCHAKÁN,30,56,5583,8952,185,665,56,146,750,5489,108,1478,595,48,,24055,678,24733,30297,0.8163
4,CAMPECHE,20,PALIZADA,33,57,8967,7956,178,349,53,44,123,1810,39,21,731,67,,20338,629,20967,29574,0.709
4,CAMPECHE,21,XPUJIL,26,52,6468,7911,643,146,123,97,245,689,17,31,598,79,,17047,485,17532,25202,0.6956
