ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PRI,NA,PAN_PRD_MC,PT_MORENA_ES,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
27,TABASCO,1,TENOSIQUE,88,163,10425,296,11554,32704,776,55755,21,3872,59648,82753,http://iepct.mx/elecciones2018/GUB/1.pdf
27,TABASCO,2,CARDENAS,50,129,3525,561,10047,34497,644,49274,41,1568,50883,76228,http://iepct.mx/elecciones2018/GUB/2.pdf
27,TABASCO,3,CARDENAS,51,125,3880,279,11859,28949,139,45106,28,2057,47191,70580,http://iepct.mx/elecciones2018/GUB/3.pdf
27,TABASCO,4,HUIMANGUILLO,51,135,5673,241,14041,29873,164,49992,27,2328,52347,75030,http://iepct.mx/elecciones2018/GUB/4.pdf
27,TABASCO,5,CENTLA,64,135,6500,532,14089,29827,479,51427,67,2429,53923,72426,http://iepct.mx/elecciones2018/GUB/5.pdf
27,TABASCO,6,CENTRO,58,142,8678,621,6633,40091,2082,58105,80,1263,59448,83103,http://iepct.mx/elecciones2018/GUB/6.pdf
27,TABASCO,7,CENTRO,30,116,5625,349,7208,32780,2010,47972,13,1594,49579,74728,http://iepct.mx/elecciones2018/GUB/7.pdf
27,TABASCO,8,CENTRO,51,133,6885,548,6172,38294,2069,53968,56,1242,55266,80597,http://iepct.mx/elecciones2018/GUB/8.pdf
27,TABASCO,9,CENTRO,43,129,6855,582,6421,37342,2144,53344,62,1158,54564,79284,http://iepct.mx/elecciones2018/GUB/9.pdf
27,TABASCO,10,CENTRO,39,134,4725,387,7755,41374,1599,55840,94,1338,57272,81767,http://iepct.mx/elecciones2018/GUB/10.pdf
27,TABASCO,11,TACOTALPA,64,142,7123,592,12653,27119,633,48120,7,5362,53489,73544,http://iepct.mx/elecciones2018/GUB/11.pdf
27,TABASCO,12,CENTRO,53,138,7412,532,7101,38233,1984,55262,51,1369,56682,83021,http://iepct.mx/elecciones2018/GUB/12.pdf
27,TABASCO,13,COMALCALCO,62,165,8427,549,19870,39185,454,68485,29,2039,70553,94695,http://iepct.mx/elecciones2018/GUB/13.pdf
27,TABASCO,14,CUNDUACAN,48,123,5883,403,11273,27438,737,45734,109,2504,48347,73298,http://iepct.mx/elecciones2018/GUB/14.pdf
27,TABASCO,15,EMILIANO ZAPATA,68,143,3881,2092,14736,31068,304,52081,42,4112,56235,74505,http://iepct.mx/elecciones2018/GUB/15.pdf
27,TABASCO,16,HUIMANGUILLO,67,151,8541,526,16486,26799,672,53024,119,2499,55642,78982,http://iepct.mx/elecciones2018/GUB/16.pdf
27,TABASCO,17,JALPA DE MENDEZ,54,150,8247,571,15327,41763,988,66896,18,3023,69937,91359,http://iepct.mx/elecciones2018/GUB/17.pdf
27,TABASCO,18,MACUSPANA,47,123,4272,285,6358,36155,1340,48410,69,2264,50743,74787,http://iepct.mx/elecciones2018/GUB/18.pdf
27,TABASCO,19,NACAJUCA,37,144,6723,582,10805,44751,1490,64351,43,4239,68633,92145,http://iepct.mx/elecciones2018/GUB/19.pdf
27,TABASCO,20,PARAISO,63,161,8254,606,14954,43167,956,67937,27,2479,70443,93468,http://iepct.mx/elecciones2018/GUB/20.pdf
27,TABASCO,21,CENTRO,41,131,7054,1258,8333,31334,1571,49550,65,3444,53059,81318,http://iepct.mx/elecciones2018/GUB/21.pdf
