ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
27,TABASCO,1,TENOSIQUE,88,163,1908,10425,6871,688,2301,296,27931,3318,344,56,20,54,519,90,16,142,776,55755,21,3872,59648,82753,http://iepct.mx/elecciones2018/GUB/1.pdf
27,TABASCO,2,CARDENAS,50,129,924,3525,8089,652,693,561,32708,310,195,51,15,80,494,191,36,106,644,49274,41,1568,50883,76228,http://iepct.mx/elecciones2018/GUB/2.pdf
27,TABASCO,3,CARDENAS,51,125,501,3880,10271,759,784,279,27003,497,126,72,12,93,385,168,16,121,139,45106,28,2057,47191,70580,http://iepct.mx/elecciones2018/GUB/3.pdf
27,TABASCO,4,HUIMANGUILLO,51,135,511,5673,12268,733,778,241,27465,387,321,56,11,96,993,154,18,123,164,49992,27,2328,52347,75030,http://iepct.mx/elecciones2018/GUB/4.pdf
27,TABASCO,5,CENTLA,64,135,1822,6500,10317,1025,1528,532,25345,2502,237,80,22,83,453,169,33,300,479,51427,67,2429,53923,72426,http://iepct.mx/elecciones2018/GUB/5.pdf
27,TABASCO,6,CENTRO,58,142,1283,8678,4078,942,979,621,37086,691,207,40,10,36,842,288,26,216,2082,58105,80,1263,59448,83103,http://iepct.mx/elecciones2018/GUB/6.pdf
27,TABASCO,7,CENTRO,30,116,1154,5625,4508,1453,1224,349,29791,383,185,52,25,60,702,265,21,165,2010,47972,13,1594,49579,74728,http://iepct.mx/elecciones2018/GUB/7.pdf
27,TABASCO,8,CENTRO,51,133,1261,6885,3697,942,880,548,35204,729,178,82,36,38,761,363,92,203,2069,53968,56,1242,55266,80597,http://iepct.mx/elecciones2018/GUB/8.pdf
27,TABASCO,9,CENTRO,43,129,1285,6855,3827,956,992,582,34713,304,189,64,22,42,784,341,43,201,2144,53344,62,1158,54564,79284,http://iepct.mx/elecciones2018/GUB/9.pdf
27,TABASCO,10,CENTRO,39,134,913,4725,5321,1112,1140,387,38432,453,263,42,10,66,804,315,22,236,1599,55840,94,1338,57272,81767,http://iepct.mx/elecciones2018/GUB/10.pdf
27,TABASCO,11,TACOTALPA,64,142,1290,7123,8059,1151,2680,592,24525,644,399,71,28,126,545,120,17,117,633,48120,7,5362,53489,73544,http://iepct.mx/elecciones2018/GUB/11.pdf
27,TABASCO,12,CENTRO,53,138,1931,7412,3940,948,888,532,35541,357,238,31,24,49,947,253,21,166,1984,55262,51,1369,56682,83021,http://iepct.mx/elecciones2018/GUB/12.pdf
27,TABASCO,13,COMALCALCO,62,165,1334,8427,16584,639,1113,549,37595,301,579,119,31,110,377,140,19,114,454,68485,29,2039,70553,94695,http://iepct.mx/elecciones2018/GUB/13.pdf
27,TABASCO,14,CUNDUACAN,48,123,1579,5883,7617,1080,1460,403,25050,405,426,74,35,82,535,219,25,124,737,45734,109,2504,48347,73298,http://iepct.mx/elecciones2018/GUB/14.pdf
27,TABASCO,15,EMILIANO ZAPATA,68,143,2975,3881,9602,1176,1446,2092,27072,977,366,158,51,138,862,365,82,534,304,52081,42,4112,56235,74505,http://iepct.mx/elecciones2018/GUB/15.pdf
27,TABASCO,16,HUIMANGUILLO,67,151,590,8541,14531,799,705,526,24979,325,438,96,19,107,352,161,25,158,672,53024,119,2499,55642,78982,http://iepct.mx/elecciones2018/GUB/16.pdf
27,TABASCO,17,JALPA DE MENDEZ,54,150,1246,8247,12412,1269,1140,571,39502,315,336,90,6,97,349,197,14,117,988,66896,18,3023,69937,91359,http://iepct.mx/elecciones2018/GUB/17.pdf
27,TABASCO,18,MACUSPANA,47,123,992,4272,4120,815,853,285,33341,976,283,61,12,37,593,153,42,235,1340,48410,69,2264,50743,74787,http://iepct.mx/elecciones2018/GUB/18.pdf
27,TABASCO,19,NACAJUCA,37,144,2657,6723,6072,1294,1544,582,41936,376,330,107,31,64,682,285,19,159,1490,64351,43,4239,68633,92145,http://iepct.mx/elecciones2018/GUB/19.pdf
27,TABASCO,20,PARAISO,63,161,1524,8254,11765,934,1218,606,41068,354,262,82,25,78,446,192,24,149,956,67937,27,2479,70443,93468,http://iepct.mx/elecciones2018/GUB/20.pdf
27,TABASCO,21,CENTRO,41,131,1148,7054,5111,1278,1725,1258,28402,573,219,55,12,63,655,220,35,171,1571,49550,65,3444,53059,81318,http://iepct.mx/elecciones2018/GUB/21.pdf
