CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,PAN,PRI,PT,PVEM,CPP,PSI,MORENA,PES,NAP,PAN_CPP,PT_PVEM_MORENA_PES,PT_PVEM_MORENA,PT_PVEM_PES,PT_MORENA_PES,PVEM_MORENA_PES,PT_PVEM,PT_MORENA,PT_PES,PVEM_MORENA,PVEM_PES,MORENA_PES,CNR,VN,TOTAL_VOTOS_CALCULADOS,LISTA_NOMINAL_CASILLA,OBSERVACIONES,COMPUTADA,MECANISMOS_TRASLADO,FECHA_HORA
'210075B0100',210075B01001,21,PUEBLA,8,AHUAZOTEPEC,75,1,B,0,Rural,3,8,163,5,0,4,66,82,0,21,3,0,1,0,0,0,1,1,0,0,0,0,0,10,365,571,Cotejo (Levantada en Consejo Distrital),Si,D,35:23.3
'210075C0100',210075C01002,21,PUEBLA,8,AHUAZOTEPEC,75,1,C,0,Rural,3,11,150,10,2,2,103,55,0,20,0,0,1,0,0,0,0,0,0,3,0,0,0,17,374,570,Cotejo (Levantada en Casilla),Si,D,16:39.0
'210075C0200',210075C02003,21,PUEBLA,8,AHUAZOTEPEC,75,2,C,0,Rural,3,9,162,7,0,1,72,79,0,20,1,0,3,0,1,0,0,1,0,0,0,0,0,25,381,570,Cotejo (Levantada en Casilla),Si,D,17:53.6
'210076B0100',210076B01004,21,PUEBLA,8,AHUAZOTEPEC,76,1,B,0,Rural,3,8,137,15,3,5,54,93,0,19,2,0,2,0,0,2,1,3,0,1,0,0,0,26,371,609,Cotejo (Levantada en Casilla),Si,D,19:02.2
'210076C0100',210076C01005,21,PUEBLA,8,AHUAZOTEPEC,76,1,C,0,Rural,3,5,161,14,4,2,47,89,0,22,2,1,4,0,1,1,1,2,0,1,0,1,0,33,391,609,Cotejo (Levantada en Consejo Distrital),Si,D,31:57.0
'210076C0200',210076C02006,21,PUEBLA,8,AHUAZOTEPEC,76,2,C,0,Rural,3,6,149,7,1,3,47,134,0,19,1,4,2,0,0,0,0,1,0,0,0,0,0,19,393,609,Cotejo (Levantada en Consejo Distrital),Si,D,49:34.0
'210076C0300',210076C03007,21,PUEBLA,8,AHUAZOTEPEC,76,3,C,0,Rural,3,6,164,9,0,1,51,97,0,20,2,1,3,0,0,0,1,3,0,0,0,0,0,33,391,609,Cotejo (Levantada en Consejo Distrital),Si,D,58:14.3
'210077B0100',210077B01008,21,PUEBLA,8,AHUAZOTEPEC,77,1,B,0,Rural,3,6,112,14,4,2,117,117,0,13,0,0,2,0,0,0,2,0,0,1,0,0,0,27,417,591,Cotejo (Levantada en Consejo Distrital),Si,D,10:05.4
'210077C0100',210077C01009,21,PUEBLA,8,AHUAZOTEPEC,77,1,C,0,Rural,3,4,92,21,1,2,123,106,2,31,0,1,1,0,0,0,0,1,0,4,0,2,0,33,424,591,Cotejo (Levantada en Consejo Distrital),Si,D,25:39.8
'210077C0200',210077C020011,21,PUEBLA,8,AHUAZOTEPEC,77,2,C,0,Rural,3,7,156,18,4,0,112,109,2,9,0,1,1,0,0,0,0,0,0,4,0,0,0,33,456,590,Cotejo (Levantada en Consejo Distrital),Si,D,36:07.4
'210077C0300',210077C030012,21,PUEBLA,8,AHUAZOTEPEC,77,3,C,0,Rural,3,6,97,23,1,3,124,122,0,17,0,1,1,0,1,0,1,1,0,1,0,2,0,29,430,590,Cotejo (Levantada en Casilla),Si,D,20:00.4
'210077E0100',210077E010010,21,PUEBLA,8,AHUAZOTEPEC,77,1,E,0,Rural,3,1,125,6,3,2,83,30,2,3,0,0,3,0,0,0,0,0,0,1,0,0,0,13,272,325,Cotejo (Levantada en Consejo Distrital),Si,D,44:56.0
'210078B0100',210078B010013,21,PUEBLA,8,AHUAZOTEPEC,78,1,B,0,Rural,3,4,119,10,1,1,46,64,0,25,0,3,0,0,0,0,0,0,0,0,0,0,0,21,294,421,Cotejo (Levantada en Casilla),Si,D,21:03.9
'210078C0100',210078C010014,21,PUEBLA,8,AHUAZOTEPEC,78,1,C,0,Rural,3,6,81,6,5,2,63,68,1,20,1,1,1,0,0,1,1,1,0,0,0,0,0,10,268,420,Cotejo (Levantada en Consejo Distrital),Si,D,51:49.2
