SECCION,CASILLA,NO_DTTO,CABECERA,NMpioIEEP,Municipio,PAN,PRI,PRD,PT,PVEM,CDPPN,PSN,PAS,NOREG,NULOS,VOTACIONTOTAL,LISTANOMINAL,OBS
0023,X1,21,TEZIUTLAN,160,ACATENO,69,43,3,0,0,18,0,0,0,0,133,178,
0024,B,21,TEZIUTLAN,160,ACATENO,77,52,5,0,0,19,0,0,0,0,153,230,
0024,X1,21,TEZIUTLAN,160,ACATENO,39,60,4,0,0,51,0,0,0,7,161,220,
0025,B,21,TEZIUTLAN,160,ACATENO,75,74,2,0,0,18,0,0,0,0,169,210,
0026,B,21,TEZIUTLAN,160,ACATENO,175,172,107,0,0,44,0,0,0,16,514,693,
0027,B,21,TEZIUTLAN,160,ACATENO,27,236,15,0,0,108,0,0,0,10,396,510,
0027,X1,21,TEZIUTLAN,160,ACATENO,34,112,16,0,0,74,0,0,0,5,241,332,
0028,B,12,ACATLAN DE OSORIO,56,ACATLAN,261,72,1,1,0,0,0,0,0,8,343,554,
0028,C1,12,ACATLAN DE OSORIO,56,ACATLAN,264,83,3,1,0,0,0,0,0,14,365,554,
0028,C2,12,ACATLAN DE OSORIO,56,ACATLAN,220,95,2,1,0,0,0,0,0,9,327,554,
0029,B,12,ACATLAN DE OSORIO,56,ACATLAN,248,94,6,0,0,0,0,0,0,12,360,616,
0029,C1,12,ACATLAN DE OSORIO,56,ACATLAN,282,84,2,2,0,0,0,0,0,11,381,617,
0029,C2,12,ACATLAN DE OSORIO,56,ACATLAN,283,80,2,3,0,0,0,0,0,10,378,617,
0030,B,12,ACATLAN DE OSORIO,56,ACATLAN,295,73,1,6,0,0,0,0,0,11,386,685,
0030,C1,12,ACATLAN DE OSORIO,56,ACATLAN,344,81,3,2,0,0,0,0,0,13,443,686,
0031,B,12,ACATLAN DE OSORIO,56,ACATLAN,503,169,12,16,1,26,4,1,0,0,732,634,
0031,C1,12,ACATLAN DE OSORIO,56,ACATLAN,285,61,6,3,0,0,0,0,0,16,371,634,
0031,C2,12,ACATLAN DE OSORIO,56,ACATLAN,298,48,1,1,0,0,0,0,0,21,369,634,
0032,B,12,ACATLAN DE OSORIO,56,ACATLAN,297,98,7,3,0,0,0,0,0,16,421,739,
0032,C1,12,ACATLAN DE OSORIO,56,ACATLAN,305,101,5,3,0,0,0,0,0,22,436,740,
0033,B,12,ACATLAN DE OSORIO,56,ACATLAN,379,69,2,4,0,0,0,0,0,8,462,734,
0033,C1,12,ACATLAN DE OSORIO,56,ACATLAN,339,83,7,7,0,0,0,0,0,8,444,735,
0034,B,12,ACATLAN DE OSORIO,56,ACATLAN,299,77,2,4,0,0,0,0,0,8,390,640,
0034,C1,12,ACATLAN DE OSORIO,56,ACATLAN,267,83,3,2,0,0,0,0,0,16,371,641,
0034,X1,12,ACATLAN DE OSORIO,56,ACATLAN,228,95,7,5,0,0,0,0,0,30,365,604,
0035,B,12,ACATLAN DE OSORIO,56,ACATLAN,188,143,2,4,0,0,0,0,0,21,358,572,
0035,C1,12,ACATLAN DE OSORIO,56,ACATLAN,166,156,1,2,0,0,0,0,0,17,342,573,
0035,C2,12,ACATLAN DE OSORIO,56,ACATLAN,165,151,0,3,0,0,0,0,0,26,345,573,
0036,B,12,ACATLAN DE OSORIO,56,ACATLAN,138,79,2,1,0,0,0,0,0,0,220,425,
0036,X1,12,ACATLAN DE OSORIO,56,ACATLAN,111,71,2,2,0,0,0,0,0,24,210,337,
0037,B,12,ACATLAN DE OSORIO,56,ACATLAN,182,66,5,3,0,0,0,0,0,20,276,495,
0037,C1,12,ACATLAN DE OSORIO,56,ACATLAN,178,90,6,3,0,0,0,0,0,14,291,495,
0037,X1,12,ACATLAN DE OSORIO,56,ACATLAN,223,101,3,3,0,0,0,0,0,16,346,567,
0038,B,12,ACATLAN DE OSORIO,56,ACATLAN,172,82,3,8,0,0,0,0,0,17,282,507,
0038,C1,12,ACATLAN DE OSORIO,56,ACATLAN,169,82,6,7,0,0,0,0,0,28,292,508,
0039,B,12,ACATLAN DE OSORIO,56,ACATLAN,90,177,0,0,0,0,0,0,0,4,271,414,
0039,C1,12,ACATLAN DE OSORIO,56,ACATLAN,157,94,1,0,0,0,0,0,0,8,260,414,
0039,X1,12,ACATLAN DE OSORIO,56,ACATLAN,92,97,0,1,0,0,0,0,0,3,193,311,
0039,X2,12,ACATLAN DE OSORIO,56,ACATLAN,133,62,2,3,0,0,0,0,0,5,205,347,
0040,B,12,ACATLAN DE OSORIO,56,ACATLAN,210,128,7,5,0,0,0,0,0,16,366,687,
0040,C1,12,ACATLAN DE OSORIO,56,ACATLAN,218,121,6,5,0,0,0,0,0,18,368,688,
0041,B,12,ACATLAN DE OSORIO,56,ACATLAN,45,11,1,1,0,0,0,0,0,4,62,93,
0041,X1,12,ACATLAN DE OSORIO,56,ACATLAN,144,94,3,2,0,0,0,0,0,17,260,356,
0042,B,12,ACATLAN DE OSORIO,56,ACATLAN,81,26,6,0,0,0,0,0,0,5,118,247,
0043,B,12,ACATLAN DE OSORIO,56,ACATLAN,44,79,1,2,0,0,0,0,0,17,143,356,
0044,B,12,ACATLAN DE OSORIO,56,ACATLAN,151,35,3,4,0,0,0,0,3,28,224,516,
0044,X1,12,ACATLAN DE OSORIO,56,ACATLAN,82,62,2,4,0,0,0,0,0,6,156,414,
0045,B,18,ACATZINGO,130,ACATZINGO,43,106,167,13,0,19,0,0,0,5,353,566,
0045,C1,18,ACATZINGO,130,ACATZINGO,32,114,159,15,0,17,0,0,0,6,343,566,
0045,C2,18,ACATZINGO,130,ACATZINGO,33,109,171,14,0,18,0,0,0,11,356,567,
0046,B,18,ACATZINGO,130,ACATZINGO,38,152,135,50,0,12,0,0,0,13,400,688,
0046,C1,18,ACATZINGO,130,ACATZINGO,46,155,124,41,0,22,0,0,0,11,399,688,
0046,C2,18,ACATZINGO,130,ACATZINGO,28,141,152,38,0,18,0,0,0,13,390,688,
0047,B,18,ACATZINGO,130,ACATZINGO,54,97,239,27,0,28,0,0,0,9,454,732,
0047,C1,18,ACATZINGO,130,ACATZINGO,61,97,239,32,0,30,0,0,0,3,462,733,
0048,B,18,ACATZINGO,130,ACATZINGO,32,68,123,21,0,0,0,0,0,9,253,420,
0048,C1,18,ACATZINGO,130,ACATZINGO,23,53,136,26,0,10,0,0,0,0,248,421,
0049,B,18,ACATZINGO,130,ACATZINGO,47,49,231,10,0,46,0,0,0,15,398,649,
0049,C1,18,ACATZINGO,130,ACATZINGO,21,74,254,16,0,36,0,0,0,16,417,650,
0050,B,18,ACATZINGO,130,ACATZINGO,11,149,152,27,0,15,0,0,0,20,374,644,
0050,C1,18,ACATZINGO,130,ACATZINGO,13,153,137,46,0,12,0,0,0,20,381,644,
0051,B,18,ACATZINGO,130,ACATZINGO,67,37,191,25,0,26,0,0,0,8,354,621,
0051,C1,18,ACATZINGO,130,ACATZINGO,45,59,186,22,0,23,0,0,0,10,345,622,
0052,B,18,ACATZINGO,130,ACATZINGO,57,72,140,25,0,38,0,0,0,5,337,513,
0052,C1,18,ACATZINGO,130,ACATZINGO,30,77,145,32,0,26,0,0,0,5,315,513,
0052,C2,18,ACATZINGO,130,ACATZINGO,36,76,138,35,0,37,0,0,0,10,332,513,
0053,B,18,ACATZINGO,130,ACATZINGO,5,35,13,2,0,264,0,0,0,16,335,510,
0053,C1,18,ACATZINGO,130,ACATZINGO,8,17,9,5,0,253,0,0,0,21,313,511,
0054,B,18,ACATZINGO,130,ACATZINGO,12,96,28,6,0,242,0,0,0,14,398,678,
