CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND47,CAND_IND48,CAND_IND49,CAND_IND50,CAND_IND51,CAND_IND52,CAND_IND53,CAND_IND54,CAND_IND55,CAND_IND56,CAND_IND57,CAND_IND58,CAND_IND59,CAND_IND60,CAND_IND61,CAND_IND62,CAND_IND63,CAND_IND64,CAND_IND65,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,24,B,1,0,B,27,100,10,14,9,177,12,115,0,2,0,1,1,4,0,0,6,,,,,,,,,,,,,,,,,,,,478,0,16,494,690,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,24,C,1,0,C01,28,97,3,15,9,185,0,113,2,1,0,0,1,2,0,0,0,,,,,,,,,,,,,,,,,,,,456,0,12,468,689,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,24,C,2,0,C02,34,95,8,7,2,171,15,131,6,3,0,1,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,475,0,18,493,689,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,25,B,1,0,B,34,112,7,5,2,103,9,89,4,1,1,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,369,0,11,380,489,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,25,C,1,0,C01,38,93,6,7,5,100,4,98,3,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,355,0,8,363,488,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,26,B,1,0,B,28,57,3,8,3,113,4,79,6,1,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,304,0,17,321,449,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,26,C,1,0,C01,30,58,6,6,2,106,8,84,1,0,1,1,1,3,1,0,0,,,,,,,,,,,,,,,,,,,,308,0,14,322,448,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,27,B,1,0,B,26,64,2,9,6,141,19,118,6,1,0,0,0,1,5,0,0,,,,,,,,,,,,,,,,,,,,398,0,6,404,566,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,27,C,1,0,C01,28,67,3,11,7,169,29,98,5,1,0,4,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,424,0,13,437,565,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,27,C,2,0,C02,23,77,6,19,8,132,10,94,3,3,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,377,0,9,386,565,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,28,B,1,0,B,37,138,3,16,9,136,20,135,7,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,501,0,3,504,677,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,28,C,1,0,C01,29,139,1,8,7,126,10,137,5,0,0,0,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,464,0,14,478,676,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,29,B,1,0,B,40,108,5,8,3,163,23,157,5,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,514,0,13,527,673,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,29,C,1,0,C01,70,89,9,10,9,145,20,150,3,3,0,1,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,511,0,0,511,673,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,29,C,2,0,C02,45,97,6,16,5,148,23,134,2,1,0,1,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,481,0,14,495,672,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,30,B,1,0,B,46,91,4,8,5,99,5,65,5,3,0,0,1,2,0,0,0,,,,,,,,,,,,,,,,,,,,334,0,10,344,455,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,30,C,1,0,C01,36,46,3,5,9,124,8,72,3,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,307,0,10,317,454,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,31,B,1,0,B,32,91,8,6,6,174,16,94,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,430,0,0,430,651,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,31,C,1,0,C01,25,106,5,9,8,153,14,144,2,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,467,0,8,475,651,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,31,C,2,0,C02,6,76,0,3,5,211,11,127,3,0,0,0,0,4,0,0,0,,,,,,,,,,,,,,,,,,,,446,0,12,458,651,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,31,C,3,0,C03,23,95,5,5,6,144,19,134,8,2,0,0,0,2,1,0,0,,,,,,,,,,,,,,,,,,,,444,0,9,453,650,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,32,B,1,0,B,7,57,4,8,6,103,2,44,2,0,1,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,237,1,0,238,292,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,33,B,1,0,B,16,136,6,20,4,104,20,115,7,0,0,1,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,431,0,19,450,649,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,33,C,1,0,C01,14,136,8,11,5,110,22,102,6,2,0,1,2,0,0,0,1,,,,,,,,,,,,,,,,,,,,420,0,21,441,649,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,34,B,1,0,B,14,127,1,11,4,171,6,94,4,0,0,0,2,0,1,0,1,,,,,,,,,,,,,,,,,,,,436,0,17,453,671,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,34,C,1,0,C01,33,89,5,12,9,147,9,132,5,1,0,0,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,445,0,20,465,671,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,34,C,2,0,C02,39,92,8,6,9,150,10,130,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,445,1,22,468,671,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,35,B,1,0,B,23,69,7,10,13,208,4,161,3,4,0,0,0,3,1,0,1,,,,,,,,,,,,,,,,,,,,507,0,16,523,674,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,35,C,1,0,C01,25,67,3,14,8,185,8,151,4,0,1,1,0,3,1,2,0,,,,,,,,,,,,,,,,,,,,473,0,17,490,674,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,5,AMATITAN,40,B,1,0,B,44,66,30,27,7,53,40,138,2,2,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,411,0,17,428,632,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,5,AMATITAN,40,C,1,0,C01,35,79,29,28,4,42,32,134,1,0,0,0,0,4,0,0,0,,,,,,,,,,,,,,,,,,,,388,0,17,405,631,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,5,AMATITAN,40,C,2,0,C02,39,80,35,21,12,48,37,122,3,2,1,0,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,403,0,0,403,631,Acta casilla,,,
