CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND47,CAND_IND48,CAND_IND49,CAND_IND50,CAND_IND51,CAND_IND52,CAND_IND53,CAND_IND54,CAND_IND55,CAND_IND56,CAND_IND57,CAND_IND58,CAND_IND59,CAND_IND60,CAND_IND61,CAND_IND62,CAND_IND63,CAND_IND64,CAND_IND65,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,24,3,89,292,21,36,20,533,27,359,8,6,0,2,2,8,0,0,6,,,,,,,,,,,,,,,,,,,,1409,0,46,1455,2068
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,25,2,72,205,13,12,7,203,13,187,7,1,1,0,0,2,1,0,0,,,,,,,,,,,,,,,,,,,,724,0,19,743,977
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,26,2,58,115,9,14,5,219,12,163,7,1,1,3,1,3,1,0,0,,,,,,,,,,,,,,,,,,,,612,0,31,643,897
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,27,3,77,208,11,39,21,442,58,310,14,5,0,4,1,3,6,0,0,,,,,,,,,,,,,,,,,,,,1199,0,28,1227,1696
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,28,2,66,277,4,24,16,262,30,272,12,0,0,0,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,965,0,17,982,1353
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,29,3,155,294,20,34,17,456,66,441,10,4,0,2,0,5,0,0,2,,,,,,,,,,,,,,,,,,,,1506,0,27,1533,2018
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,30,2,82,137,7,13,14,223,13,137,8,4,0,0,1,2,0,0,0,,,,,,,,,,,,,,,,,,,,641,0,20,661,909
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,31,4,86,368,18,23,25,682,60,499,14,3,0,2,0,6,1,0,0,,,,,,,,,,,,,,,,,,,,1787,0,29,1816,2603
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,32,1,7,57,4,8,6,103,2,44,2,0,1,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,237,1,0,238,292
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,33,2,30,272,14,31,9,214,42,217,13,2,0,2,2,2,0,0,1,,,,,,,,,,,,,,,,,,,,851,0,40,891,1298
