CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,C_COMUN_PAN_PRD_PRS_PHBCS,PRI,PT,PVEM,MC,NA,MORENA,ES,BCSC,MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,3,BAJA CALIFORNIA SUR,11,CD. CONSTITUCION,1,COMONDU,1,1,119,158,7,17,9,3,161,7,4,2,,,,,487,1,14,502,742
,3,BAJA CALIFORNIA SUR,11,CD. CONSTITUCION,1,COMONDU,2,1,84,71,11,4,12,3,120,1,3,0,,,,,309,0,2,311,459
,3,BAJA CALIFORNIA SUR,11,CD. CONSTITUCION,1,COMONDU,3,3,219,213,14,24,29,10,481,19,18,13,,,,,1040,1,32,1073,1604
,3,BAJA CALIFORNIA SUR,11,CD. CONSTITUCION,1,COMONDU,4,1,119,136,3,8,6,5,133,11,6,2,,,,,429,2,11,442,687
,3,BAJA CALIFORNIA SUR,11,CD. CONSTITUCION,1,COMONDU,5,2,141,152,3,29,22,3,216,6,6,9,,,,,587,1,17,605,929
,3,BAJA CALIFORNIA SUR,11,CD. CONSTITUCION,1,COMONDU,6,1,94,119,1,16,7,1,126,13,5,2,,,,,384,0,12,396,694
,3,BAJA CALIFORNIA SUR,11,CD. CONSTITUCION,1,COMONDU,7,2,186,215,1,17,14,8,235,16,11,6,,,,,709,1,29,739,1084
,3,BAJA CALIFORNIA SUR,11,CD. CONSTITUCION,1,COMONDU,8,2,169,114,10,12,13,15,298,13,12,3,,,,,659,1,47,707,478
,3,BAJA CALIFORNIA SUR,11,CD. CONSTITUCION,1,COMONDU,9,1,70,68,1,7,2,2,97,2,2,3,,,,,254,0,8,262,428
,3,BAJA CALIFORNIA SUR,11,CD. CONSTITUCION,1,COMONDU,10,2,113,125,2,14,14,3,195,5,5,4,,,,,480,0,14,494,784
,3,BAJA CALIFORNIA SUR,10,CD. CONSTITUCION,1,COMONDU,11,1,62,54,6,4,6,18,103,7,9,3,,,,,272,0,8,280,447
,3,BAJA CALIFORNIA SUR,10,CD. CONSTITUCION,1,COMONDU,12,1,66,55,6,5,3,17,47,2,2,1,,,,,204,0,10,214,337
,3,BAJA CALIFORNIA SUR,10,CD. CONSTITUCION,1,COMONDU,13,2,174,124,6,13,6,34,240,12,15,7,,,,,631,2,21,654,1048
,3,BAJA CALIFORNIA SUR,10,CD. CONSTITUCION,1,COMONDU,14,2,168,103,3,7,5,49,145,7,11,6,,,,,504,0,19,523,934
,3,BAJA CALIFORNIA SUR,10,CD. CONSTITUCION,1,COMONDU,15,1,102,58,6,4,6,27,123,3,5,1,,,,,335,0,13,348,581
,3,BAJA CALIFORNIA SUR,10,CD. CONSTITUCION,1,COMONDU,16,2,179,130,11,10,6,47,247,13,15,2,,,,,660,1,12,673,1021
,3,BAJA CALIFORNIA SUR,10,CD. CONSTITUCION,1,COMONDU,17,1,99,46,2,3,1,19,128,4,3,4,,,,,309,0,11,320,469
,3,BAJA CALIFORNIA SUR,11,CD. CONSTITUCION,1,COMONDU,18,2,176,135,6,15,19,7,281,13,13,10,,,,,675,0,22,697,1102
,3,BAJA CALIFORNIA SUR,11,CD. CONSTITUCION,1,COMONDU,19,2,106,126,11,16,20,3,194,8,7,11,,,,,502,0,28,530,888
,3,BAJA CALIFORNIA SUR,10,CD. CONSTITUCION,1,COMONDU,20,2,159,129,15,10,8,30,256,14,11,16,,,,,648,1,24,673,1234
,3,BAJA CALIFORNIA SUR,10,CD. CONSTITUCION,1,COMONDU,21,2,154,104,16,10,4,38,242,23,11,18,,,,,620,0,34,654,1089
,3,BAJA CALIFORNIA SUR,10,CD. CONSTITUCION,1,COMONDU,22,3,260,154,19,25,17,67,384,23,17,23,,,,,989,0,52,1041,1883
,3,BAJA CALIFORNIA SUR,10,CD. CONSTITUCION,1,COMONDU,23,2,105,83,7,9,0,48,200,7,10,2,,,,,471,0,29,500,860
,3,BAJA CALIFORNIA SUR,10,CD. CONSTITUCION,1,COMONDU,24,1,90,74,7,6,11,31,137,8,7,5,,,,,376,0,23,399,643
,3,BAJA CALIFORNIA SUR,10,CD. CONSTITUCION,1,COMONDU,25,2,126,80,8,8,3,31,244,9,11,12,,,,,532,0,30,562,923
,3,BAJA CALIFORNIA SUR,10,CD. CONSTITUCION,1,COMONDU,26,2,113,72,7,11,9,37,112,11,7,18,,,,,397,0,28,425,898
,3,BAJA CALIFORNIA SUR,10,CD. CONSTITUCION,1,COMONDU,27,2,118,54,14,10,9,40,200,13,19,10,,,,,487,0,24,511,867
,3,BAJA CALIFORNIA SUR,10,CD. CONSTITUCION,1,COMONDU,28,5,388,249,29,20,15,118,553,43,49,23,,,,,1487,1,74,1562,3033
,3,BAJA CALIFORNIA SUR,10,CD. CONSTITUCION,1,COMONDU,29,2,229,99,20,11,13,52,313,22,16,12,,,,,787,0,48,835,1407
,3,BAJA CALIFORNIA SUR,10,CD. CONSTITUCION,1,COMONDU,30,3,257,139,24,15,9,75,339,33,11,23,,,,,925,0,58,983,1757
,3,BAJA CALIFORNIA SUR,10,CD. CONSTITUCION,1,COMONDU,31,2,156,89,8,13,8,40,208,15,12,9,,,,,558,1,27,586,964
,3,BAJA CALIFORNIA SUR,10,CD. CONSTITUCION,1,COMONDU,32,2,185,87,16,15,10,53,253,27,13,9,,,,,668,2,26,696,1101
,3,BAJA CALIFORNIA SUR,10,CD. CONSTITUCION,1,COMONDU,33,1,60,50,6,0,4,25,79,5,8,2,,,,,239,0,14,253,363
,3,BAJA CALIFORNIA SUR,10,CD. CONSTITUCION,1,COMONDU,34,1,137,97,8,5,2,37,126,20,15,11,,,,,458,0,33,491,723
,3,BAJA CALIFORNIA SUR,10,CD. CONSTITUCION,1,COMONDU,35,1,48,4,1,1,1,21,23,1,0,0,,,,,100,0,6,106,146
